Date,Open,High,Low,Close,Adj Close,Volume
3/29/2010,35.60,36.01,35.60,35.74,35.74,5055700
3/30/2010,35.78,35.90,35.29,35.68,35.68,3469800
3/31/2010,35.62,35.70,35.27,35.37,35.37,4436700
4/1/2010,35.54,35.88,35.24,35.74,35.74,5467700
4/5/2010,35.68,36.07,35.66,35.99,35.99,5267100
4/6/2010,35.56,35.93,35.55,35.70,35.70,4211400
4/7/2010,35.56,35.64,34.95,35.06,35.06,6632100
4/8/2010,35.03,35.08,34.63,34.94,34.94,5726800
4/9/2010,34.57,35.47,34.44,35.47,35.47,7205500
4/12/2010,35.42,35.54,34.91,35.02,35.02,5690600
4/13/2010,34.86,35.09,34.51,34.75,34.75,5825700
4/14/2010,34.63,35.04,34.57,35.02,35.02,5037400
4/15/2010,35.09,35.10,34.17,34.39,34.39,9548000
4/16/2010,34.54,34.58,33.53,34.00,34.00,12718300
4/19/2010,33.81,34.20,33.32,33.82,33.82,6817200
4/20/2010,34.19,35.14,34.10,34.93,34.93,8632000
4/21/2010,34.80,35.09,34.79,34.92,34.92,6889200
4/22/2010,35.41,36.02,35.00,35.97,35.97,11650000
4/23/2010,35.84,36.29,35.72,36.25,36.25,6528500
4/26/2010,36.21,36.35,35.99,36.15,36.15,5610500
4/27/2010,35.91,36.00,35.19,35.34,35.34,6938700
4/28/2010,35.48,35.61,35.05,35.47,35.47,5290000
4/29/2010,35.27,35.56,34.54,34.96,34.96,10958300
4/30/2010,34.97,34.99,33.56,33.60,33.60,12735800
5/3/2010,33.68,33.96,33.40,33.59,33.59,8863200
5/4/2010,33.12,33.17,32.22,33.14,33.14,11030000
5/5/2010,32.68,33.58,32.54,32.96,32.96,12226200
5/6/2010,32.80,33.74,30.24,32.49,32.49,14650200
5/7/2010,32.76,32.96,31.68,32.42,32.42,14897300
5/10/2010,32.75,34.29,32.75,34.28,34.28,11416600
5/11/2010,33.95,34.38,33.70,33.80,33.80,6929000
5/12/2010,34.12,34.93,34.06,34.80,34.80,7973900
5/13/2010,34.79,35.40,34.36,34.41,34.41,4958000
5/14/2010,34.24,34.40,33.26,33.72,33.72,6832100
5/17/2010,33.98,34.22,33.18,33.81,33.81,6235300
5/18/2010,33.72,34.31,33.04,33.28,33.28,6208900
5/19/2010,33.22,33.66,32.53,32.88,32.88,6098200
5/20/2010,32.20,32.55,31.62,31.74,31.74,8094200
5/21/2010,31.15,32.33,30.97,32.18,32.18,7758200
5/24/2010,31.82,32.17,31.61,31.63,31.63,6543800
5/25/2010,30.75,31.56,30.48,31.55,31.55,6368800
5/26/2010,31.65,31.72,30.80,30.94,30.94,8820600
