Date,Open,High,Low,Close,Adj Close,Volume
3/29/2010,135.37,136.63,134.33,135.12,135.12,4626900
3/30/2010,135.74,138.19,135.36,136.58,136.58,6192700
3/31/2010,136.00,136.80,134.48,135.77,135.77,4600600
4/1/2010,135.80,136.51,131.18,131.81,131.81,8785800
4/5/2010,132.85,133.74,130.78,131.49,131.49,5816500
4/6/2010,131.23,136.00,131.18,135.56,135.56,7950300
4/7/2010,135.96,136.08,133.86,134.87,134.87,5945400
4/8/2010,134.71,141.25,134.71,140.96,140.96,12689100
4/9/2010,140.72,141.33,139.07,140.06,140.06,6011100
4/12/2010,140.00,142.91,139.68,141.20,141.20,5445300
4/13/2010,141.23,141.98,139.12,140.16,140.16,4785500
4/14/2010,140.34,144.50,139.20,144.28,144.28,7900300
4/15/2010,144.55,147.09,144.00,145.82,145.82,7829600
4/16/2010,144.88,147.17,141.45,142.17,142.17,8396800
4/19/2010,142.35,143.67,139.13,142.43,142.43,6022000
4/20/2010,143.83,144.64,142.10,144.20,144.20,4311700
4/21/2010,145.17,149.00,143.52,146.43,146.43,7374400
4/22/2010,147.01,151.09,145.88,150.09,150.09,15165800
4/23/2010,145.38,149.09,142.42,143.63,143.63,18975200
4/26/2010,143.20,147.73,142.90,147.11,147.11,9318300
4/27/2010,145.55,146.44,141.11,142.02,142.02,8639000
4/28/2010,142.59,142.75,138.69,139.35,139.35,9235300
4/29/2010,140.09,142.45,139.79,141.73,141.73,6314200
4/30/2010,141.40,141.40,136.91,137.10,137.10,6113500
5/3/2010,137.20,139.44,136.11,137.49,137.49,5654600
5/4/2010,135.62,135.81,128.38,129.83,129.83,12667800
5/5/2010,128.00,131.61,127.55,130.93,130.93,9458100
5/6/2010,130.00,132.33,120.60,128.71,128.71,10189000
5/7/2010,127.97,131.18,123.76,124.98,124.98,11927600
5/10/2010,129.73,132.21,129.26,131.29,131.29,6806100
5/11/2010,129.95,133.08,128.47,130.46,130.46,6044100
5/12/2010,131.41,134.13,129.68,133.87,133.87,5904500
5/13/2010,133.93,136.99,131.00,131.47,131.47,5940200
5/14/2010,130.36,131.00,126.76,128.53,128.53,5277800
5/17/2010,128.24,129.95,125.80,128.91,128.91,5642200
5/18/2010,130.14,131.25,125.51,126.28,126.28,5256900
5/19/2010,125.51,127.93,123.80,124.59,124.59,6463300
5/20/2010,122.64,125.00,118.78,119.71,119.71,8594400
5/21/2010,117.90,124.97,117.52,122.72,122.72,7966900
5/24/2010,122.57,124.50,120.65,122.12,122.12,4535900
5/25/2010,118.54,125.19,118.50,124.86,124.86,6913400
5/26/2010,125.05,125.79,122.30,123.21,123.21,6964600
5/27/2010,124.98,126.85,120.60,126.70,126.70,4747700
5/28/2010,126.07,127.60,124.01,125.46,125.46,3954800
6/1/2010,124.97,126.57,123.02,123.24,123.24,3659500
6/2/2010,124.02,126.43,121.65,126.31,126.31,4764700
6/3/2010,126.25,129.15,124.85,128.76,128.76,5276900
6/4/2010,126.33,128.20,122.18,122.77,122.77,5497700
6/7/2010,125.84,126.61,121.67,122.01,122.01,6566400
6/8/2010,122.00,122.00,115.80,118.84,118.84,11484400
6/9/2010,120.31,121.47,117.36,117.91,117.91,7369200
6/10/2010,120.00,123.50,119.20,123.21,123.21,6061800
6/11/2010,121.39,123.53,120.29,123.03,123.03,4204600
6/14/2010,124.24,125.70,123.50,123.83,123.83,3923000
6/15/2010,123.20,126.92,122.50,126.84,126.84,4541000
6/16/2010,125.39,127.98,125.36,126.90,126.90,3964300
6/17/2010,126.74,127.80,124.69,125.89,125.89,3479000
6/18/2010,126.48,127.48,125.07,125.83,125.83,3836000
6/21/2010,126.79,127.48,121.41,122.55,122.55,5327700
6/22/2010,122.65,125.23,121.55,122.31,122.31,6207200
6/23/2010,122.11,123.22,120.04,121.45,121.45,5455100
6/24/2010,120.61,120.85,116.80,118.33,118.33,7771100
6/25/2010,118.14,121.76,117.63,121.00,121.00,5769700
6/28/2010,118.85,120.04,117.10,117.80,117.80,5612200
6/29/2010,116.26,116.48,106.01,108.61,108.61,12866300
6/30/2010,108.58,112.68,108.11,109.26,109.26,9740700
7/1/2010,108.90,111.69,106.70,110.96,110.96,8529800
7/2/2010,110.92,111.29,108.56,109.14,109.14,4477100
7/6/2010,110.65,112.53,109.00,110.06,110.06,5219300
