Date,Close/Last,Open,High,Low,Volume
03/27/2020,247.74,252.75,255.87,247.05,51054150
03/26/2020,258.44,246.52,258.68,246.36,63140170
03/25/2020,245.52,250.75,258.25,244.30,75900510
03/24/2020,246.88,236.36,247.69,234.30,71882770
03/23/2020,224.37,228.08,228.50,212.61,84188210
03/20/2020,229.24,247.18,251.83,228.00,100423300
03/19/2020,244.78,247.39,252.84,242.61,67964260
03/18/2020,246.67,239.77,250.00,237.12,75058410
03/17/2020,252.86,247.51,257.61,238.40,81013970
03/16/2020,242.21,241.95,259.08,240.00,80605870
03/13/2020,277.97,264.89,279.92,252.95,92683030
03/12/2020,248.23,255.94,270.00,248.00,104618500
03/11/2020,275.43,277.39,281.22,271.86,64094970
03/10/2020,285.34,277.14,286.44,269.37,71322520
03/09/2020,266.17,263.75,278.09,263.00,71686210
03/06/2020,289.03,282.00,290.82,281.23,56544250
03/05/2020,292.92,295.52,299.55,291.41,46893220
03/04/2020,302.74,296.44,303.40,293.13,54794570
03/03/2020,289.32,303.67,304.00,285.80,79868850
03/02/2020,298.81,282.28,301.44,277.72,85349340
02/28/2020,273.36,257.26,278.41,256.37,106721200
02/27/2020,273.52,281.10,286.00,272.96,80151380
02/26/2020,292.65,286.53,297.88,286.50,49678430
02/25/2020,288.08,300.95,302.53,286.13,57668360
02/24/2020,298.18,297.26,304.18,289.23,55548830
02/21/2020,313.05,318.62,320.45,310.50,32426420
02/20/2020,320.30,322.63,324.65,318.21,25141490
02/19/2020,323.62,320.00,324.57,320.00,23495990
02/18/2020,319.00,315.36,319.75,314.61,38190550
02/14/2020,324.95,324.74,325.98,322.85,20028450
02/13/2020,324.87,324.19,326.22,323.35,23686890
02/12/2020,327.20,321.47,327.22,321.47,28432570
02/11/2020,319.61,323.60,323.90,318.71,23580780
02/10/2020,321.55,314.18,321.55,313.85,27337220
02/07/2020,320.03,322.37,323.40,318.00,29421010
02/06/2020,325.21,322.57,325.22,320.26,26356390
02/05/2020,321.45,323.52,324.76,318.95,29706720
02/04/2020,318.85,315.31,319.64,313.63,34154130
02/03/2020,308.66,304.30,313.49,302.22,43496400
01/31/2020,309.51,320.93,322.68,308.29,49897100
01/30/2020,323.87,320.54,324.09,318.75,31685810
01/29/2020,324.34,324.45,327.85,321.38,54149930
01/28/2020,317.69,312.60,318.40,312.19,40558490
01/27/2020,308.95,310.06,311.77,304.88,40485010
01/24/2020,318.31,320.25,323.33,317.52,36634380
01/23/2020,319.23,317.92,319.56,315.65,26117990
01/22/2020,317.70,318.58,319.99,317.31,25458120
01/21/2020,316.57,317.19,319.02,316.00,27710810
01/17/2020,318.73,316.27,318.74,315.00,34454120
01/16/2020,315.24,313.59,315.70,312.09,27207250
01/15/2020,311.34,311.85,315.50,309.55,30480880
01/14/2020,312.68,316.70,317.57,312.17,40653460
01/13/2020,316.96,311.64,317.07,311.15,30521720
01/10/2020,310.33,310.60,312.67,308.25,35217270
01/09/2020,309.63,307.24,310.43,306.20,42621540
01/08/2020,303.19,297.16,304.44,297.16,33090950
01/07/2020,298.39,299.84,300.90,297.48,27877660
01/06/2020,299.80,293.79,299.96,292.75,29644640
01/03/2020,297.43,297.15,300.58,296.50,36633880
01/02/2020,300.35,296.24,300.60,295.19,33911860
12/31/2019,293.65,289.93,293.68,289.52,25247630
12/30/2019,291.52,289.46,292.69,285.22,36059610
12/27/2019,289.80,291.12,293.97,288.12,36592940
12/26/2019,289.91,284.82,289.98,284.70,23334000
12/24/2019,284.27,284.69,284.89,282.92,12119710
12/23/2019,284.00,280.53,284.25,280.37,24677880
12/20/2019,279.44,282.23,282.65,278.56,69032740
12/19/2019,280.02,279.50,281.18,278.95,24626950
12/18/2019,279.74,279.80,281.90,279.12,29024690
12/17/2019,280.41,279.57,281.77,278.80,28575800
12/16/2019,279.86,277.00,280.79,276.98,32081110
12/13/2019,275.15,271.46,275.30,270.93,33432810
12/12/2019,271.46,267.78,272.56,267.32,34437040
12/11/2019,270.77,268.81,271.10,268.50,19723390
12/10/2019,268.48,268.60,270.07,265.86,22632380
12/09/2019,266.92,270.00,270.80,264.91,32182650
12/06/2019,270.71,267.48,271.00,267.30,26547490
12/05/2019,265.58,263.79,265.89,262.73,18661340
12/04/2019,261.74,261.07,263.31,260.68,16810390
12/03/2019,259.45,258.31,259.53,256.29,29377270
12/02/2019,264.16,267.27,268.25,263.45,23693550
11/29/2019,267.25,266.60,268.00,265.90,11654360
11/27/2019,267.84,265.58,267.98,265.31,16386120
11/26/2019,264.29,266.94,267.16,262.50,26334880
11/25/2019,266.37,262.71,266.44,262.52,21029520
11/22/2019,261.78,262.59,263.18,260.84,16331260
11/21/2019,262.01,263.69,264.01,261.18,30348780
11/20/2019,263.19,265.54,266.08,260.40,26609920
11/19/2019,266.29,267.90,268.00,265.39,19069600
11/18/2019,267.10,265.80,267.43,264.23,21700900
11/15/2019,265.76,263.68,265.78,263.01,25093670
11/14/2019,262.64,263.75,264.88,262.10,22395560
11/13/2019,264.47,261.13,264.78,261.07,25817590
11/12/2019,261.96,261.55,262.79,260.92,21847230
11/11/2019,262.20,258.30,262.47,258.28,20507460
11/08/2019,260.14,258.69,260.44,256.85,17520500
11/07/2019,259.43,258.74,260.35,258.11,23735080
11/06/2019,257.24,256.77,257.49,255.37,18966120
11/05/2019,257.13,257.05,258.19,256.32,19974430
11/04/2019,257.50,257.33,257.85,255.38,25817950
11/01/2019,255.82,249.54,255.93,249.16,37781330
10/31/2019,248.76,247.24,249.17,237.26,34790520
10/30/2019,243.26,244.76,245.30,241.21,31130520
10/29/2019,243.29,248.97,249.75,242.57,35709870
10/28/2019,249.05,247.42,249.25,246.72,24143240
10/25/2019,246.58,243.16,246.73,242.88,18369300
10/24/2019,243.58,244.51,244.80,241.81,17916260
10/23/2019,243.18,242.10,243.24,241.22,19932550
10/22/2019,239.96,241.16,242.20,239.62,22684000
10/21/2019,240.51,237.52,240.99,237.32,22367480
10/18/2019,236.41,234.59,237.58,234.29,24377170
10/17/2019,235.28,235.09,236.15,233.52,17272900
10/16/2019,234.37,233.37,235.24,233.20,19286690
10/15/2019,235.32,236.39,237.65,234.88,23040480
10/14/2019,235.87,234.90,238.13,234.67,24413480
10/11/2019,236.21,232.95,237.64,232.31,41990210
10/10/2019,230.09,227.93,230.44,227.30,28962980
10/09/2019,227.03,227.03,227.79,225.64,19029420
10/08/2019,224.40,225.82,228.06,224.33,29282700
10/07/2019,227.06,226.27,229.93,225.84,30889270
10/04/2019,227.01,225.64,227.49,223.89,34755550
10/03/2019,220.82,218.43,220.96,215.13,30352690
10/02/2019,218.96,223.06,223.58,217.93,35767260
10/01/2019,224.59,225.07,228.22,224.20,36187160
09/30/2019,223.97,220.90,224.58,220.79,26318580
09/27/2019,218.82,220.54,220.96,217.28,25361290
09/26/2019,219.89,220.00,220.94,218.83,19088310
09/25/2019,221.03,218.55,221.50,217.14,22481010
09/24/2019,217.68,221.03,222.49,217.19,31434370
09/23/2019,218.72,218.95,219.84,217.65,19419650
09/20/2019,217.73,221.38,222.56,217.47,57977090
09/19/2019,220.96,222.01,223.76,220.37,22187880
09/18/2019,222.77,221.06,222.85,219.44,25643090
09/17/2019,220.70,219.96,220.82,219.12,18386470
09/16/2019,219.90,217.73,220.13,217.56,21158140
09/13/2019,218.75,220.00,220.79,217.02,39763300
09/12/2019,223.09,224.80,226.42,222.86,32226670
09/11/2019,223.59,218.07,223.71,217.73,44289650
09/10/2019,216.70,213.86,216.78,211.71,31777930
09/09/2019,214.17,214.84,216.44,211.07,27309400
09/06/2019,213.26,214.05,214.42,212.51,19362290
09/05/2019,213.28,212.00,213.97,211.51,23946880
09/04/2019,209.19,208.39,209.48,207.32,19216820
09/03/2019,205.70,206.43,206.98,204.22,20059570
08/30/2019,208.74,210.16,210.45,207.20,21162560
08/29/2019,209.01,208.50,209.32,206.66,21007650
08/28/2019,205.53,204.10,205.72,203.32,15957630
08/27/2019,204.16,207.86,208.55,203.53,25897340
08/26/2019,206.49,205.86,207.19,205.06,26066130
08/23/2019,202.64,209.43,212.05,201.00,46882840
08/22/2019,212.46,213.19,214.44,210.75,22267820
08/21/2019,212.64,212.99,213.65,211.60,21564750
08/20/2019,210.36,210.88,213.35,210.32,26919530
08/19/2019,210.35,210.62,212.73,210.03,24431920
08/16/2019,206.50,204.28,207.16,203.84,28813620
08/15/2019,201.74,203.46,205.14,199.67,27883360
08/14/2019,202.75,203.16,206.44,202.59,36547440
08/13/2019,208.97,201.02,212.14,200.83,47539790
08/12/2019,200.48,199.62,202.05,199.15,22481890
08/09/2019,200.99,201.30,202.76,199.29,24619750
08/08/2019,203.43,200.20,203.53,199.39,27009520
08/07/2019,199.04,195.41,199.56,193.82,33364400
08/06/2019,197.00,196.31,198.07,194.04,35824790
08/05/2019,193.34,197.99,198.65,192.58,52392970
08/02/2019,204.02,205.53,206.43,201.63,40862120
08/01/2019,208.43,213.90,218.03,206.74,54017920
07/31/2019,213.04,216.42,221.37,211.30,69281360
07/30/2019,208.78,208.76,210.16,207.31,33935720
07/29/2019,209.68,208.46,210.64,208.44,21673390
07/26/2019,207.74,207.48,209.73,207.14,17618870
07/25/2019,207.02,208.89,209.24,206.73,13909560
07/24/2019,208.67,207.67,209.15,207.17,14991570
07/23/2019,208.84,208.46,208.91,207.29,18355210
07/22/2019,207.22,203.65,207.23,203.61,22277930
07/19/2019,202.59,205.79,206.50,202.36,20929310
07/18/2019,205.66,204.00,205.88,203.70,18582160
07/17/2019,203.35,204.05,205.09,203.27,14107450
07/16/2019,204.50,204.59,206.11,203.50,16866820
07/15/2019,205.21,204.09,205.87,204.00,16947420
07/12/2019,203.30,202.45,204.00,202.20,17595210
07/11/2019,201.75,203.31,204.39,201.71,20191840
07/10/2019,203.23,201.85,203.73,201.56,17897140
07/09/2019,201.24,199.20,201.51,198.81,20578020
07/08/2019,200.02,200.81,201.40,198.41,25338630
07/05/2019,204.23,203.35,205.08,202.90,17265520
07/03/2019,204.41,203.28,204.44,202.69,11362050
07/02/2019,202.73,201.41,203.13,201.36,16935220
07/01/2019,201.55,203.17,204.49,200.65,27316740
06/28/2019,197.92,198.68,199.50,197.05,31110640
06/27/2019,199.74,200.29,201.57,199.57,20899720
06/26/2019,199.80,197.77,200.99,197.35,26067510
06/25/2019,195.57,198.43,199.26,195.29,21070330
06/24/2019,198.58,198.54,200.16,198.17,18220420
06/21/2019,198.78,198.80,200.85,198.15,47800590
06/20/2019,199.46,200.37,200.61,198.03,21513990
06/19/2019,197.87,199.68,199.88,197.31,21124240
06/18/2019,198.45,196.05,200.29,195.21,26551000
06/17/2019,193.89,192.90,194.96,192.17,14669140
