Date,Open,High,Low,Close,Adj Close,Volume
4/28/2017,17.80,19.33,17.73,18.10,18.10,14871500
5/1/2017,18.97,19.09,18.16,18.19,18.19,1728700
5/2/2017,18.37,18.49,18.10,18.39,18.39,720200
5/3/2017,18.31,20.12,18.21,20.12,20.12,1520100
5/4/2017,21.10,22.02,19.25,19.58,19.58,3256400
5/5/2017,20.05,20.66,19.32,19.97,19.97,1055100
5/8/2017,20.26,20.28,19.54,19.59,19.59,781600
5/9/2017,19.65,20.23,19.63,20.05,20.05,624300
5/10/2017,20.17,20.50,19.85,19.99,19.99,730900
5/11/2017,20.01,20.08,19.53,19.94,19.94,494600
5/12/2017,19.88,20.88,19.65,20.80,20.80,672500
5/15/2017,21.00,21.50,20.50,21.35,21.35,1189500
5/16/2017,21.65,23.08,20.84,20.97,20.97,1445800
5/17/2017,20.79,20.82,19.80,20.10,20.10,985700
5/18/2017,20.10,20.88,19.91,20.11,20.11,687000
5/19/2017,20.12,20.35,19.65,20.01,20.01,689800
5/22/2017,20.02,21.15,19.82,20.91,20.91,726000
5/23/2017,21.04,21.80,20.96,21.59,21.59,912800
5/24/2017,21.55,23.35,21.45,22.55,22.55,1185400
5/25/2017,22.63,23.02,21.90,22.36,22.36,590900
5/26/2017,22.39,22.50,22.12,22.29,22.29,267900
5/30/2017,22.39,22.58,21.50,21.51,21.51,446800
5/31/2017,21.55,21.63,20.32,20.75,20.75,679300
6/1/2017,20.84,21.90,20.55,21.86,21.86,501400
6/2/2017,21.95,23.00,21.85,22.87,22.87,769800
6/5/2017,22.67,23.16,22.40,22.56,22.56,467500
6/6/2017,22.50,23.32,22.39,22.57,22.57,923900
6/7/2017,22.78,23.00,22.40,22.61,22.61,833900
6/8/2017,22.80,23.11,22.48,22.99,22.99,1975500
6/9/2017,20.00,20.50,19.06,19.41,19.41,7658900
6/12/2017,19.53,19.53,18.31,18.48,18.48,1915000
6/13/2017,18.69,19.07,17.75,17.81,17.81,1876300
6/14/2017,17.93,17.99,16.75,16.88,16.88,2122200
6/15/2017,16.36,16.74,15.86,16.11,16.11,1458800
6/16/2017,16.07,17.41,16.00,17.40,17.40,2319700
6/19/2017,17.70,17.78,17.04,17.47,17.47,1607400
6/20/2017,17.50,17.63,17.16,17.31,17.31,1026900
6/21/2017,17.36,17.46,16.86,17.02,17.02,962000
6/22/2017,17.01,17.13,16.35,16.72,16.72,1150000
6/23/2017,16.59,16.69,16.16,16.35,16.35,2390600
6/26/2017,16.28,16.71,16.22,16.23,16.23,733500
6/27/2017,16.32,16.42,15.90,16.00,16.00,721800
6/28/2017,16.05,16.20,15.81,15.84,15.84,627700
6/29/2017,15.93,15.93,15.40,15.68,15.68,744000
6/30/2017,15.59,16.20,15.56,16.02,16.02,703700
7/3/2017,16.02,16.20,15.82,15.84,15.84,230000
7/5/2017,15.90,16.05,15.79,15.88,15.88,668500
7/6/2017,15.85,16.86,15.85,16.47,16.47,661800
7/7/2017,16.59,16.70,16.21,16.66,16.66,405400
7/10/2017,16.63,16.85,16.27,16.39,16.39,402300
7/11/2017,16.25,16.50,16.02,16.34,16.34,756200
7/12/2017,16.50,16.77,16.42,16.49,16.49,423900
7/13/2017,16.59,16.74,16.16,16.53,16.53,342400
7/14/2017,16.38,17.15,16.38,17.01,17.01,576400
7/17/2017,17.07,18.15,17.04,18.02,18.02,552600
7/18/2017,17.93,18.34,17.58,18.25,18.25,649700
7/19/2017,18.35,19.25,18.16,18.78,18.78,982500
7/20/2017,18.74,19.10,18.67,18.80,18.80,564200
7/21/2017,18.80,18.87,17.96,18.25,18.25,724400
7/24/2017,18.24,18.90,18.10,18.75,18.75,550800
7/25/2017,18.85,19.09,18.77,18.95,18.95,380000
7/26/2017,18.99,19.04,18.38,18.60,18.60,1006800
7/27/2017,18.51,18.65,17.13,17.80,17.80,1408500
7/28/2017,17.73,18.33,17.26,18.13,18.13,990000
7/31/2017,18.20,18.21,17.20,17.25,17.25,667500
8/1/2017,17.50,17.50,16.44,17.06,17.06,605600
8/2/2017,17.05,17.28,16.77,17.21,17.21,461500
8/3/2017,17.20,17.37,17.00,17.26,17.26,297600
8/4/2017,17.34,17.35,17.08,17.27,17.27,274400
8/7/2017,17.30,17.52,17.02,17.31,17.31,223400
8/8/2017,17.40,17.59,17.15,17.30,17.30,205400
8/9/2017,17.10,17.31,17.00,17.29,17.29,275500
8/10/2017,17.14,17.30,16.85,16.89,16.89,422100
8/11/2017,16.68,17.19,16.65,17.13,17.13,225300
8/14/2017,17.23,18.14,17.23,17.85,17.85,515900
8/15/2017,17.94,18.10,17.64,17.64,17.64,345700
8/16/2017,17.70,18.03,17.53,17.90,17.90,245600
8/17/2017,17.77,17.95,17.54,17.55,17.55,166700
8/18/2017,17.46,17.69,17.24,17.48,17.48,264100
8/21/2017,17.47,17.47,17.00,17.23,17.23,216800
8/22/2017,17.32,17.74,17.30,17.66,17.66,290600
8/23/2017,17.50,17.78,17.50,17.60,17.60,178300
8/24/2017,17.70,18.31,17.60,18.20,18.20,391400
8/25/2017,18.20,18.39,18.20,18.30,18.30,241400
8/28/2017,18.50,18.67,18.18,18.56,18.56,210300
8/29/2017,18.22,18.63,18.18,18.52,18.52,264300
8/30/2017,18.50,18.65,18.32,18.54,18.54,281300
8/31/2017,18.62,19.60,18.53,19.40,19.40,492400
9/1/2017,19.34,19.60,18.83,19.23,19.23,532000
9/5/2017,19.10,20.14,19.10,20.04,20.04,762300
9/6/2017,19.94,21.51,19.74,21.05,21.05,1199900
9/7/2017,21.00,21.44,20.40,21.41,21.41,1676600
9/8/2017,22.03,22.40,20.31,20.99,20.99,2442900
9/11/2017,21.39,21.39,18.69,18.80,18.80,1975500
9/12/2017,19.00,19.16,18.25,18.88,18.88,895800
9/13/2017,19.06,19.44,18.80,19.08,19.08,785400
9/14/2017,19.00,19.15,18.79,18.90,18.90,719300
9/15/2017,18.83,18.93,18.23,18.38,18.38,755700
9/18/2017,18.00,18.03,16.86,17.32,17.32,1580600
9/19/2017,17.45,17.45,17.00,17.13,17.13,702900
9/20/2017,17.20,17.43,17.08,17.17,17.17,768900
9/21/2017,17.19,17.49,17.07,17.29,17.29,472900
9/22/2017,17.33,17.45,16.71,16.91,16.91,864800
9/25/2017,16.95,17.09,16.06,16.08,16.08,813800
9/26/2017,16.36,16.97,16.30,16.46,16.46,806100
9/27/2017,16.63,16.89,16.40,16.59,16.59,991100
9/28/2017,17.35,17.72,16.76,17.02,17.02,8309300
9/29/2017,16.93,17.13,16.52,16.62,16.62,1966100
10/2/2017,16.50,16.87,16.26,16.54,16.54,1469200
10/3/2017,16.42,17.20,16.34,17.17,17.17,1272200
10/4/2017,17.00,17.56,16.99,17.39,17.39,1336500
10/5/2017,17.40,17.70,17.03,17.50,17.50,1229400
10/6/2017,17.32,17.46,16.70,16.80,16.80,3181100
10/9/2017,16.86,17.02,16.68,16.80,16.80,792600
10/10/2017,16.80,16.81,16.21,16.31,16.31,1138300
10/11/2017,16.31,16.35,15.72,15.78,15.78,1689300
10/12/2017,15.80,16.21,15.63,16.21,16.21,1319200
10/13/2017,16.24,16.24,15.68,15.72,15.72,1148900
10/16/2017,15.75,15.80,15.13,15.38,15.38,1673100
10/17/2017,15.30,15.77,15.17,15.51,15.51,1124700
10/18/2017,15.58,15.59,15.23,15.48,15.48,865700
10/19/2017,15.31,15.62,15.15,15.61,15.61,844800
10/20/2017,15.64,16.32,15.46,16.25,16.25,1743000
10/23/2017,16.35,16.38,16.07,16.32,16.32,780100
10/24/2017,16.34,16.39,16.02,16.15,16.15,1004700
10/25/2017,15.55,15.81,14.91,15.22,15.22,4558900
10/26/2017,15.29,15.29,14.62,14.63,14.63,1765200
10/27/2017,14.55,15.00,14.50,14.90,14.90,2417800
10/30/2017,15.05,15.40,14.93,15.15,15.15,3182800
10/31/2017,15.15,15.24,14.90,15.13,15.13,1179500
11/1/2017,15.31,15.41,15.08,15.26,15.26,1240700
11/2/2017,15.26,15.49,15.17,15.48,15.48,1536700
11/3/2017,15.45,15.75,14.85,15.71,15.71,1701200
