Date,Open,High,Low,Close,Adj Close,Volume
3/29/2010,96.52,98.16,96.18,97.09,80.32,955000
3/30/2010,97.32,98.35,97.24,97.97,81.05,539600
3/31/2010,97.41,98.33,97.02,97.34,80.53,645100
4/1/2010,98.33,100.00,97.94,98.90,81.82,776200
4/5/2010,98.68,102.52,98.55,101.61,84.06,662300
4/6/2010,101.49,103.00,99.97,101.45,83.93,887500
4/7/2010,101.21,102.17,100.70,101.63,84.08,532500
4/8/2010,101.60,102.26,100.21,101.89,84.29,345700
4/9/2010,101.89,102.92,101.31,102.66,84.93,459300
4/12/2010,102.32,103.00,102.02,102.98,85.19,502900
4/13/2010,102.33,102.82,100.44,101.21,83.73,827400
4/14/2010,100.67,101.60,100.33,101.35,83.85,642600
4/15/2010,101.44,102.28,100.43,100.46,83.11,471800
4/16/2010,99.78,100.63,98.95,99.62,82.42,747700
4/19/2010,99.02,99.44,96.49,97.85,80.95,1214600
4/20/2010,98.13,99.50,97.93,99.26,82.12,514400
4/21/2010,98.68,101.83,98.68,100.62,83.24,819300
4/22/2010,96.98,98.55,93.20,96.08,79.49,2774700
4/23/2010,96.52,96.55,94.79,95.74,79.21,541900
4/26/2010,98.94,103.88,98.94,103.21,85.39,2289700
4/27/2010,102.41,104.14,101.36,102.34,84.67,1085700
4/28/2010,102.50,102.55,98.16,100.10,82.81,1127500
4/29/2010,100.62,101.46,98.32,101.35,83.85,786500
4/30/2010,101.61,101.61,100.10,100.65,83.27,1232600
5/3/2010,100.27,103.35,100.26,103.29,85.45,1085300
5/4/2010,102.24,102.55,99.61,100.15,82.85,1235300
5/5/2010,99.46,99.49,93.12,95.11,78.68,2809200
5/6/2010,94.70,96.62,87.95,92.45,76.48,2054700
5/7/2010,92.45,93.27,89.45,91.45,75.66,1315500
5/10/2010,95.46,99.23,95.40,98.38,81.39,2054500
5/11/2010,97.68,99.72,97.40,98.50,81.49,1029600
5/12/2010,99.21,100.00,98.38,99.25,82.11,756700
5/13/2010,98.89,107.44,98.83,101.68,84.12,3444100
5/14/2010,101.00,101.77,98.55,99.65,82.44,958800
5/17/2010,99.84,100.55,97.52,98.74,81.69,512900
5/18/2010,99.00,99.71,95.79,96.57,79.89,722600
5/19/2010,96.53,98.49,95.31,96.84,80.12,823400
5/20/2010,94.76,95.66,92.05,92.27,76.33,1313900
5/21/2010,91.45,93.70,90.52,92.17,76.25,1217500
5/24/2010,91.81,93.25,91.42,91.51,75.71,775200
5/25/2010,89.85,91.06,87.86,90.84,75.15,714200
5/26/2010,91.45,94.26,91.10,91.34,75.57,884800
5/27/2010,93.47,94.17,92.00,93.97,77.74,678400
5/28/2010,93.52,94.55,90.75,92.01,76.12,962200
6/1/2010,90.92,92.47,88.67,88.73,73.41,1069700
6/2/2010,88.60,91.57,88.53,91.46,75.66,1031400
6/3/2010,91.45,93.22,91.03,91.17,75.42,932800
6/4/2010,89.96,90.38,86.73,86.89,71.88,1379600
6/7/2010,86.60,87.16,82.47,82.81,68.51,1719600
6/8/2010,82.74,82.74,78.72,80.88,66.91,2224500
6/9/2010,83.79,87.25,82.47,83.10,68.75,2227200
6/10/2010,84.00,84.81,83.23,84.60,69.99,1456800
6/11/2010,84.35,85.47,83.10,84.65,70.03,1169200
6/14/2010,85.11,85.45,82.17,82.44,68.20,1360400
6/15/2010,82.65,85.11,82.40,85.05,70.36,1490000
6/16/2010,84.96,87.33,84.72,86.06,71.20,1623400
6/17/2010,85.92,86.47,83.99,84.45,69.87,701200
6/18/2010,84.07,84.90,83.57,84.87,70.21,813800
6/21/2010,85.42,86.44,84.61,85.07,70.38,1815700
6/22/2010,84.99,85.32,82.98,83.08,68.73,921500
6/23/2010,82.96,84.02,82.16,83.74,69.28,1163500
6/24/2010,83.60,83.60,82.45,82.88,68.57,1169100
6/25/2010,83.03,84.59,82.62,84.10,69.58,996700
6/28/2010,84.25,84.44,83.14,83.50,69.08,789300
6/29/2010,82.50,82.66,79.13,79.45,65.73,892300
6/30/2010,79.49,82.55,79.17,81.22,67.19,888000
7/1/2010,80.41,81.32,78.24,79.39,65.68,986000
7/2/2010,79.59,79.84,78.37,78.69,65.10,431900
7/6/2010,80.00,80.89,77.85,78.57,65.00,450200
7/7/2010,76.87,80.16,76.29,79.41,65.70,2129700
7/8/2010,80.17,82.82,80.00,82.49,68.24,1346200
7/9/2010,82.23,84.00,80.67,83.62,69.18,730400
7/12/2010,83.15,83.64,81.40,82.29,68.08,517400
7/13/2010,83.17,85.34,82.66,84.92,70.25,922900
7/14/2010,85.16,85.66,84.12,85.20,70.49,1318500
7/15/2010,85.04,86.16,84.02,86.03,71.17,995000
7/16/2010,85.34,85.82,82.04,82.24,68.04,1039100
7/19/2010,82.72,83.32,81.95,83.05,68.71,459300
7/20/2010,81.90,84.58,80.97,84.37,69.80,543600
7/21/2010,84.64,85.40,84.35,84.72,70.09,742900
7/22/2010,85.45,87.03,85.27,86.51,71.57,748900
7/23/2010,86.39,89.05,85.16,88.81,73.47,1078900
7/26/2010,88.85,90.96,88.83,90.84,75.15,1075500
7/27/2010,91.44,92.29,89.09,90.45,74.83,1269400
7/28/2010,90.38,90.98,87.47,88.06,72.85,1122600
7/29/2010,91.44,94.25,91.05,93.82,77.62,2699700
7/30/2010,92.21,93.84,90.95,93.51,77.36,1448500
8/2/2010,93.99,94.16,92.87,94.01,77.77,933000
8/3/2010,93.55,94.19,93.11,94.04,77.80,838700
8/4/2010,94.30,94.71,93.80,94.23,77.96,684800
8/5/2010,93.94,94.50,93.07,94.00,77.77,953200
8/6/2010,93.04,94.59,92.35,93.38,77.25,1575700
8/9/2010,94.02,94.74,92.99,93.87,77.66,677800
8/10/2010,92.91,94.64,91.73,94.30,78.01,708000
8/11/2010,92.56,93.53,90.61,90.71,75.04,974000
8/12/2010,90.98,90.98,89.16,89.96,74.42,734500
8/13/2010,89.49,90.71,89.49,89.83,74.32,415300
8/16/2010,89.13,90.84,88.51,90.08,74.52,578600
8/17/2010,90.65,91.61,89.97,90.56,74.92,433400
8/18/2010,90.37,91.28,89.73,90.47,74.85,369100
8/19/2010,89.84,90.75,89.34,90.17,74.60,766300
8/20/2010,89.75,90.18,89.55,90.02,74.47,588300
