Date,Open,High,Low,Close,Adj Close,Volume
5/18/2012,42.05,45.00,38.00,38.23,38.23,573576400
5/21/2012,36.53,36.66,33.00,34.03,34.03,168192700
5/22/2012,32.61,33.59,30.94,31.00,31.00,101786600
5/23/2012,31.37,32.50,31.36,32.00,32.00,73600000
5/24/2012,32.95,33.21,31.77,33.03,33.03,50237200
5/25/2012,32.90,32.95,31.11,31.91,31.91,37149800
5/29/2012,31.48,31.69,28.65,28.84,28.84,78063400
5/30/2012,28.70,29.55,27.86,28.19,28.19,57267900
5/31/2012,28.55,29.67,26.83,29.60,29.60,111639200
6/1/2012,28.89,29.15,27.39,27.72,27.72,41855500
6/4/2012,27.20,27.65,26.44,26.90,26.90,35230300
6/5/2012,26.70,27.76,25.75,25.87,25.87,42473400
6/6/2012,26.07,27.17,25.52,26.81,26.81,61489200
6/7/2012,27.00,27.35,26.15,26.31,26.31,26159500
6/8/2012,26.55,27.76,26.44,27.10,27.10,38034000
6/11/2012,27.18,28.07,26.84,27.01,27.01,28219600
6/12/2012,27.48,27.77,26.96,27.40,27.40,15816800
6/13/2012,27.66,28.10,27.10,27.27,27.27,17102800
6/14/2012,27.65,28.32,27.38,28.29,28.29,16855000
6/15/2012,28.51,30.10,28.35,30.01,30.01,43563800
6/18/2012,29.96,32.08,29.41,31.41,31.41,42978900
6/19/2012,31.54,32.18,30.70,31.91,31.91,30849000
6/20/2012,31.92,31.93,31.15,31.60,31.60,15553600
6/21/2012,31.67,32.50,31.51,31.84,31.84,21875300
6/22/2012,32.41,33.45,32.06,33.05,33.05,74834000
6/25/2012,32.86,33.02,31.55,32.06,32.06,24352900
6/26/2012,32.69,33.44,32.50,33.10,33.10,24858700
6/27/2012,32.46,32.90,31.90,32.23,32.23,28568000
6/28/2012,31.96,32.19,30.90,31.36,31.36,17713300
6/29/2012,31.92,31.99,30.76,31.10,31.10,19526900
7/2/2012,31.25,31.73,30.55,30.77,30.77,14122000
7/3/2012,30.91,31.44,30.80,31.20,31.20,8763600
