Date,Open,High,Low,Close,Adj Close,Volume
3/29/2010,280.45,281.31,279.24,280.17,280.17,6232200
3/30/2010,280.36,282.76,279.09,282.30,282.30,3970500
3/31/2010,281.47,283.81,280.35,282.50,282.50,6084200
4/1/2010,284.61,285.65,281.72,283.34,283.34,4221100
4/5/2010,284.38,286.37,283.44,284.44,284.44,3817200
4/6/2010,283.67,284.38,281.64,283.05,283.05,4135600
4/7/2010,282.59,283.31,279.88,280.72,280.72,5181200
4/8/2010,280.61,283.86,278.98,282.69,282.69,3909500
4/9/2010,282.69,283.32,280.95,282.05,282.05,4128600
4/12/2010,282.62,285.93,282.05,285.30,285.30,4722400
4/13/2010,285.20,293.34,284.50,292.29,292.29,7853900
4/14/2010,293.93,295.06,290.91,293.40,293.40,6830900
4/15/2010,294.98,297.80,293.05,296.54,296.54,13574200
4/16/2010,280.45,283.34,273.79,274.05,274.05,24562600
4/19/2010,273.35,275.96,271.48,274.02,274.02,7817100
4/20/2010,276.05,278.79,274.50,276.48,276.48,5977000
4/21/2010,277.19,279.08,275.05,276.12,276.12,4800800
4/22/2010,274.97,275.22,270.66,272.51,272.51,6585900
4/23/2010,272.60,273.63,270.12,271.48,271.48,4194300
4/26/2010,271.47,271.48,263.62,264.83,264.83,8770300
4/27/2010,263.49,268.16,262.63,263.54,263.54,7718100
4/28/2010,265.06,266.42,259.54,263.61,263.61,6837700
4/29/2010,265.69,267.25,262.35,265.01,265.01,6140700
4/30/2010,264.57,267.84,261.74,261.87,261.87,4888900
5/3/2010,262.27,265.46,261.56,264.31,264.31,3729500
5/4/2010,262.28,262.39,251.16,252.24,252.24,12198000
5/5/2010,249.55,256.90,249.30,253.93,253.93,9198600
5/6/2010,253.43,257.79,229.14,248.40,248.40,10037600
5/7/2010,249.05,251.72,239.77,245.65,245.65,10216000
5/10/2010,256.03,260.43,255.34,259.85,259.85,8286800
5/11/2010,256.87,258.97,253.16,253.57,253.57,6670000
5/12/2010,255.06,255.06,250.06,251.75,251.75,7732400
5/13/2010,257.29,260.03,254.23,254.49,254.49,6676400
5/14/2010,253.93,254.54,247.20,252.82,252.82,8262800
5/17/2010,252.44,253.23,248.24,253.04,253.04,5608400
5/18/2010,254.05,254.53,247.61,248.25,248.25,5672100
5/19/2010,247.20,248.79,242.96,246.29,246.29,6917100
5/20/2010,241.63,241.88,236.02,236.62,236.62,9863400
5/21/2010,233.65,241.59,231.33,235.14,235.14,19454100
5/24/2010,239.47,243.98,237.51,237.69,237.69,8723600
