headlines,date
2014 leaders and laggards,01-01-15
2015 leaders and laggards,01-01-16
How will the FAANGs perform in 2019?,01-01-19
Bezos loses $7.4B in Amazon's worst year since 2008,01-02-15
OPTIONS: Large Tech Option Implied Volatility,01-02-19
DXC's Luxoft Expands Collaboration With Microsoft on Vehicle-Related Products,01-02-20
Report: Amazon India to offer streaming services,01-02-15
"CFRA: History Suggests Owning 'Barbell Portfolio' of Last Year's 10 Best, 10 Worst Sub-Industries",01-02-18
"Evercore lowers Amazon target, revenue estimates",01-02-19
"Check Point, Zscaler, Fortinet, Qualys, CyberArk Named As Wedbush's Favorite Cybersecurity Stocks For 2019",01-02-19
Retail jolt: Amazon seen making a run at Target,01-02-18
Amazon’s Best of Prime 2017 Reveals the Year’s Biggest Trends —More than 5 Billion Items Shipped with Prime in 2017,01-02-18
"Thinking about trading options or stock in Amazon.com, Boeing, Mastercard, Microsoft, or Verizon?",01-02-20
Market Chatter: Target Shares Rise As Analyst Predicts Co May Be Acquired by Amazon in 2018,01-02-18
Amazon bull wants gas stations,01-02-19
Amazon shipped 5B items to Prime members last year,01-02-18
Ambarella and Amazon to Enable Artificial Intelligence on Connected Cameras,01-02-20
"The Information: Amazon, Salesforce seeking Oracle alternatives",01-02-18
"--Analyst Actions: Evercore Cuts PT on Amazon to $1,800 vs $1,990; Maintains Outperform Rating",01-02-19
Ring launching new security lights?,01-02-19
Amazon.com's Prime Service Ships More Than 5 Bln Items in 2017,01-02-18
Amazon Reportedly Threatens Termination for Employees Speaking Out on Climate Change,01-02-20
Sector Update: Tech Stocks Lifting Broader Markets Higher,01-02-20
Sector Update: Consumer Discretionary Stocks Surge While Shares of Consumer Staple Firms Retreat,01-02-18
Sector Update: Tech Stocks Leading Markets Higher in 2020 Debut,01-02-20
"Stocks Fluctuate Between Gains and Losses Before Energy, Financials Send US Measures Higher",01-02-19
MT Newswires After-Hours News Movers,01-02-19
OPTIONS: Large Cap Tech Stocks Option Implied Volatility,01-03-18
Internet Stocks Expected by Goldman Sachs to Outperform Broader Market in 2017,01-03-17
Amazon Prime Video Greenlights Season Three of Emmy Award-Winning and Top-Streamed Original Dramatic Series The Man in the High Castle,01-03-17
Amazon Prime Video and ITV Greenlight Original Dramatic Series The Widow Starring Kate Beckinsale,01-03-18
Canaccord ups Alphabet on modest Amazon competition,01-03-19
Amazon workers on strike in Spain,01-03-19
"Goldman Sachs coverage on Facebook, Alphabet, Amazon, Netflix steady at Buy",01-03-17
Whirlpool Teams With Amazon on Voice-Controlled Appliances,01-03-17
The free delivery gambit in retail,01-03-15
"Amazon Confirms Second Jacksonville Fulfillment Center and Additional 1,000 Full-Time Jobs",01-04-17
Amazon confirms second Jacksonville fulfillment center,01-04-17
Explaining Amazon's focus on Echo,01-04-18
Amazon.com to Open Second Fulfillment Center in Jacksonville,01-04-17
