headlines,date
Apple closes first negative year since 2008,01-01-16
How will the FAANGs perform in 2019?,01-01-19
2019 leaders and laggards,01-01-20
Imagination Technologies Inks Licensing Deal With Apple,01-02-20
OPTIONS: Large Tech Option Implied Volatility,01-02-19
Hong Kong Hang Seng Opens 2018 With 2% Surge; Tech Stocks Gain,01-02-18
RBC: Apple core holding despite headwinds,01-02-19
Sector Update: Tech,01-02-18
"Apple More Than Just iPhones as Investors Look at Segmentation, Streaming Services, Reallocation, RBC Says",01-02-19
More rumors about Apple's Indian dreams,01-02-17
Apple instructs Stores to offer $29 battery regardless of diagnostic test,01-02-18
Apple makes new deal with Imagination Tech,01-02-20
Sector Update: Technology Stocks Tip Higher Ahead of First Trading Day of 2018,01-02-18
Sector Update: Tech Stocks Drop In Wednesday's Pre-Bell Trade,01-02-19
Sector Update: Top Tech Stocks Rise During Pre-Market Trading Thursday,01-02-20
"Thinking about buying stock in Apple, BioPharmX, China Ceramics Co., Netflix or Weatherford International?",01-02-19
"Thinking about investing in Apple, Alibaba, Netflix, NVIDIA and Tesla Motors in the new year?",01-02-18
Market Chatter: Taiwan Semiconductor to Begin Producing 5nm Chips for Apple iPhones in Q2,01-02-20
Roku Adding Premium Subscription Services to Bolster Entertainment Offerings,01-02-19
"Dell Laptops to Soon Enable Drag-and-Drop File Transfer, Content Mirroring with Apple's iPhones",01-02-20
"Apple analyst says low iPhone X estimates still ""too high""",01-02-18
Netflix Stops Taking Payment Through Apple's iTunes,01-02-19
Tech gains after China eases monetary policy,01-02-20
Britain's Chip Maker Imagination Strikes New Licensing Deal With Apple,01-02-20
HBO's Plepler signs five-year Apple deal,01-02-20
Market Chatter: Apple Signs Five-Year Deal With Former HBO Chief Plepler's Production Company for Apple TV Plus Content,01-02-20
TechCrunch: Apple acquires mobile app iteration company,01-02-18
"--Apple Sets Record High, Trades Above $300/Share For First Time",01-02-20
"Stocks Surge to New Highs on Chinese Stimulus, Trade Optimism",01-02-20
--Apple Shares Halted After-Hours - News Pending,01-02-19
Letter from Tim Cook to Apple Investors,01-02-19
Apple Slashes Q1 Revenue Expectations Below Street Consensus - Due off Halt at 4:50 pm ET,01-02-19
Apple cuts Q1 revenue guidance,01-02-19
"Apple Did Not Foresee Magnitude of Economic Deceleration, Details Weak iPhone Sales",01-02-19
--Apple Resumes Trade - Slumping 6% on Q1 Revenue Cut,01-02-19
--Apple Holding Downside Range of 147.80 to 144.51 in After-Hours - Swoon Follows Q1 Revenue Warning,01-02-19
"Cook discusses iPhone sales, Services forecast",01-02-19
MT Newswires After-Hours News Movers,01-02-19
AAPL and SWKS among after hour movers,01-02-19
"MT Newswires' After Hours Watch List: IZEA, GNMX, AAPL",01-02-19
"Apple, AAPL Investment Losses Alert: Bernstein Liebhard LLP Announces First Investigation of Apple Inc. - AAPL",01-02-19
New all-time high as Apple tops $300,01-03-20
Pre-Market Briefing: US Equities Eye Positive Start to New Year,01-03-17
Apple warning reverberates among suppliers,01-03-19
Pre-Market Briefing: US Equities Futures Rise on Global Optimism,01-03-18
Hong Kong Hang Seng Pulls Back; Shanghai Finishes Flat,01-03-19
Market Chatter: Apple Said to Cut iPhone Production by 10% in Q1,01-03-17
Market Chatter: Apple India Partner Wistron Said to Seek OK to Expand Plant,01-03-17
Apple Buys Vancouver-Based App Development Startup Buddybuild,01-03-18
Apple First Quarter Sales Guidance Lowered After Greater China Weakness Hits iPhone Sales,01-03-19
Analyst Actions: Goldman Sachs Cuts Apple PT To $140 vs $180; Shares Slump 8.9% Pre-Bell,01-03-19
"Apple, AAPL Investment Losses Alert: Bernstein Liebhard LLP Announces Investigation Of Apple Inc. - AAPL",01-03-19
"--Analyst Actions: RBC Raises Price Target on Apple to $330 From $295, Maintains Outperform Rating",01-03-20
"Analyst Actions: Apple's Price Target From BMO Slashed to $153 From $213, Rating Kept at Market Perform",01-03-19
"Analyst Actions: Apple's Price Target From RBC Cut To $185 From $220, Outperform Rating Maintained",01-03-19
Goldman expects more Apple cuts,01-03-19
"Analyst Actions: Apple's Price Target From Wedbush Slashed To $200 From $275, Rating Kept At Outperform",01-03-19
US Stock Futures Sink After Apple's Q1 Revenue Warning,01-03-19
Sector Update: Tech,01-03-18
--Analyst Actions: Apple Downgraded to Hold From Buy at Jefferies,01-03-19
"Apple targets raised on iPhone, wearables strength",01-03-20
Analyst Actions: Macquarie Downgrades Apple to Neutral From Outperform,01-03-19
Analyst Actions: Apple Receives Boost to Price Target From RBC as Social Media Point to Higher Satisfaction With iPhones,01-03-20
Sector Update: Tech,01-03-17
"Analyst Actions: BofA Securities Lifts Apple's Price Target to $330 From $290, Reiterates Buy Rating",01-03-20
Wall Street Rattles Ahead of Opening Bell After Apple's Revenue Warning,01-03-19
Analyst Actions: Loop Capital Downgrades Apple to Hold From Buy,01-03-19
Sector Update: Technology Stocks Mixed in Pre-Market Trading; BlackBerry Adds Nearly 5% on Autonomous Car Technology Collaboration With Baidu,01-03-18
Wearable Devices Market Continues to be Driven by Innovation,01-03-17
Sector Update: Tech Stocks Sink in Thursday Pre-Bell Trade,01-03-19
"AAPL, STM and BMY among premarket losers",01-03-19
Morgan Stanley Lowers Price Target on Apple After Company's First Negative Pre-Announcement in 15 Years,01-03-19
CDC heavily debated cellphone radiation risk,01-03-16
Sector Update: Technology Stocks Edge Lower In Pre-Market Trade,01-03-17
"Analyst Actions: DZ Bank Downgrades Apple to Hold From Buy, Raises Price Target to $290 From $275",01-03-20
TSX May Open Lower As Apple Guidance Hurt Global Stocks; Rising Commodities May Limit Losses,01-03-19
"Thinking about buying stock in Apple, Randgold Resources, Histogenics Corp., Roku Inc. or Synergy Pharmaceuticals?",01-03-19
"Investors: Target a 18% return on Apple, or get option-trade ideas on Citigroup, Freeport-McMoRan, AT&T and Exxon Mobil or any stock you choose",01-03-17
"Poll: Only 5.4% of U.S. iPhone owners ""very likely"" to buy Apple Watch",01-03-15
"Analyst Actions: Morgan Stanley Lowers Apple's Price Target to $211 From $236, Reiterates Overweight Rating",01-03-19
Qualcomm Posts $1.53 Bln in Bonds in Germany to Enforce Power Saving Ruling Against iPhones,01-03-19
"Wedbush bullish despite ""Apple's darkest day""",01-03-19
"Stock Indexes Plunge Early Thursday as Apple Heads to Worst Day in Six Years, Jobless Claims Top Forecasts",01-03-19
Analyst Actions: Zacks Investment Research Boosts Price Target for Neutral-Rated Apple to $315 From $269,01-03-20
"--Analyst Actions: JP Morgan Cuts Apple Price Target to $228 From $266, Maintains at Overweight",01-03-19
A double-whammy for Berkshire Hathaway,01-03-19
App Store Caps Off Record-Breaking 2018 with Blockbuster Holiday Week,01-03-19
New Age Beverages and China XD Plastics among consumer gainers; Apple and Fabrinet among losers,01-03-19
"S&P 500 Movers: Celgene Jumps 25%, Leads Gainers; Bristol-Myers Squibb Slips 12%",01-03-19
"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of Apple Inc. (AAPL)",01-03-19
App Store made $1.22B over holidays,01-03-19
"Mid-Day Update: Apple Sales Warning, Soft Manufacturing Data Rekindles Fears of Slower Economic Growth",01-03-19
"Analyst Actions: Apple's Price Target Cut to $190 From $225 at Canaccord Genuity, Buy Rating Reiterated",01-03-19
Sector Update: Apple Weighs Hard on Tech Stocks Thursday,01-03-19
Warren Buffett's Berkshire Stands to Lose Over $3 Bln on Apple Share Plunge After Fiscal Q1 Guidance Cut,01-03-19
"Apple App Store Customers Spend $1.22 Bln Over Holiday Week, Break Sales Record on New Year's Day",01-03-19
"Analyst Actions: Oppenheimer Sidelining Apple, Sees Longer-Term Risks Not Priced-In Yet - Stock Dives 9%",01-03-19
Apple suing security vendor for trafficking goods,01-03-20
"Analyst Actions: Canaccord Bets on Qualcomm's Dispute Deals with Apple/Huawei Amid 5G Build-Up, Reaffirms Buy, PT $75 - Stock Dips 3%",01-03-19
"--Apple Touching Fresh Day Low of $142, Down More than 10%",01-03-19
Research Alert: CFRA Maintains Buy Opinion On Shares Of Apple Inc.,01-03-20
"Market Chatter: Apple Dips, Unlikely to Get Concessions From India to Manufacture iPhones",01-03-17
Sector Update: Tech Stocks Lead Markets' Decline After Apple Warning Ignites Global Growth Worries,01-03-19
