,date,em_tweets3_compound,em_tweets3_sentiment
0,2010-06-04,0.4939,1
1,2011-12-01,0.8932,1
2,2011-12-03,0.5994,1
3,2011-12-04,0.7346,1
4,2011-12-21,1.6115999999999997,1
5,2011-12-22,0.4019,1
6,2011-12-24,0.7695,1
7,2011-12-26,1.6001,1
8,2011-12-27,0.7579,1
9,2011-12-28,0.7485,1
10,2011-12-29,2.3767,1
11,2011-12-30,4.0647,1
12,2011-12-31,-0.8243,-1
13,2012-01-01,0.7739,1
14,2012-01-03,1.7167,1
15,2012-01-06,0.3182,1
16,2012-01-11,0.6616,1
17,2012-01-12,0.7353000000000001,1
18,2012-01-13,0.34,1
19,2012-01-14,-0.8027,-1
20,2012-01-17,0.3819,1
21,2012-01-18,-0.4939,-1
22,2012-01-22,0.0,-1
23,2012-01-23,0.6361,1
24,2012-01-24,0.17360000000000006,1
25,2012-01-27,0.5994,1
26,2012-01-28,0.2203,1
27,2012-01-31,0.079,1
28,2012-02-01,0.9537,1
29,2012-02-02,0.4576,1
30,2012-02-04,0.6369,1
31,2012-02-05,0.0,-1
32,2012-02-06,0.25,1
33,2012-02-07,0.6096,1
34,2012-02-08,0.7552,1
35,2012-02-09,0.5106,1
36,2012-02-10,0.7189,1
37,2012-02-12,0.5859,1
38,2012-02-14,0.3612,1
39,2012-02-17,0.2023,1
40,2012-02-21,0.4199,1
41,2012-02-22,0.128,1
42,2012-02-25,1.0263,1
43,2012-02-28,0.4588,1
44,2012-02-29,0.0,-1
45,2012-03-02,0.0,-1
46,2012-03-07,0.0,-1
47,2012-03-11,0.5719,1
48,2012-03-12,0.126,1
49,2012-03-13,0.6956,1
50,2012-03-14,0.0,-1
51,2012-03-15,0.7063,1
52,2012-03-20,0.8439,1
53,2012-03-22,0.6124,1
54,2012-03-28,0.0,-1
55,2012-03-31,0.937,1
56,2012-04-01,0.4019,1
57,2012-04-03,0.1027,1
58,2012-04-04,0.6369,1
59,2012-04-05,1.3818,1
60,2012-04-09,1.4243,1
61,2012-04-11,0.7506,1
62,2012-04-14,0.6249,1
63,2012-04-18,0.2263,1
64,2012-04-19,1.3889,1
65,2012-04-21,0.5994,1
66,2012-04-22,0.6588,1
67,2012-04-23,0.8679,1
68,2012-04-24,0.4588,1
69,2012-04-30,0.3007000000000001,1
70,2012-05-03,1.1203,1
71,2012-05-05,0.7322,1
72,2012-05-08,0.3612,1
73,2012-05-09,0.5562,1
74,2012-05-10,0.743,1
75,2012-05-11,-0.3698,-1
76,2012-05-14,-0.6597,-1
77,2012-05-19,0.3017,1
78,2012-05-20,0.6597,1
79,2012-05-22,4.0271,1
80,2012-05-23,0.0,-1
81,2012-05-24,0.6486,1
82,2012-05-25,0.6588,1
83,2012-05-31,0.318,1
84,2012-06-05,0.0,-1
85,2012-06-14,0.4404,1
86,2012-06-16,0.5994,1
87,2012-06-18,0.325,1
88,2012-06-20,0.4588,1
89,2012-06-22,0.0,-1
90,2012-06-27,0.8963,1
91,2012-06-28,0.0,-1
92,2012-06-30,0.5423,1
93,2012-07-01,0.8918,1
94,2012-07-05,0.2791,1
95,2012-07-07,0.0772,1
96,2012-07-12,0.6429,1
97,2012-07-14,-0.6597,-1
98,2012-07-15,0.6369,1
99,2012-07-17,0.902,1
100,2012-07-21,1.2955,1
101,2012-07-23,-0.8422,-1
102,2012-07-27,2.4688,1
103,2012-07-31,1.9521,1
104,2012-08-01,2.2315,1
105,2012-08-03,1.5894,1
106,2012-08-04,0.3506,1
107,2012-08-13,-0.6908,-1
108,2012-08-22,1.6086,1
109,2012-08-25,0.6486,1
110,2012-08-27,0.6846,1
111,2012-08-29,1.1474,1
112,2012-09-06,0.0,-1
113,2012-09-13,0.5859,1
114,2012-09-14,0.2263,1
115,2012-09-17,0.5697,1
