date,compound,neg,neu,pos
2014-01-20,0.4588,0.0,0.625,0.375
2014-11-18,-0.3612,0.385,0.615,0.0
2014-12-18,0.3818,0.0,0.658,0.342
2014-12-23,0.0,0.0,1.0,0.0
2015-01-26,0.0,0.0,1.0,0.0
2015-02-05,0.4588,0.0,0.625,0.375
2015-02-18,0.0,0.0,1.0,0.0
2015-02-19,0.4588,0.0,0.5,0.5
2015-02-20,0.5574,0.0,0.66,0.34
2015-03-05,0.0,0.0,1.0,0.0
2015-03-13,0.0,0.0,1.0,0.0
2015-03-17,0.2516,0.0,0.8336666666666667,0.16633333333333333
2015-03-23,0.0,0.0,1.0,0.0
2015-03-27,0.0,0.0,1.0,0.0
2015-03-31,0.1027,0.0,0.811,0.189
2015-04-13,0.0,0.0,1.0,0.0
2015-04-14,0.5574,0.0,0.685,0.315
2015-04-15,0.296,0.0,0.833,0.167
2015-04-16,0.6124,0.0,0.667,0.333
2015-04-20,0.5267,0.0,0.702,0.298
2015-04-22,0.4939,0.0,0.682,0.318
2015-04-23,0.0,0.0,1.0,0.0
2015-04-28,0.0,0.0,1.0,0.0
2015-04-29,0.14161666666666664,0.0765,0.777,0.1465
2015-05-04,0.0,0.0,1.0,0.0
2015-05-07,0.26139999999999997,0.04625,0.69,0.26375
2015-05-12,0.6124,0.0,0.688,0.312
2015-05-19,0.0,0.0,1.0,0.0
2015-05-20,0.40886666666666666,0.0,0.759,0.241
2015-05-28,0.0,0.0,1.0,0.0
2015-05-29,0.24695,0.0,0.869,0.131
2015-06-02,0.1366,0.0,0.8845000000000001,0.1155
2015-06-04,0.0,0.0,1.0,0.0
2015-06-23,0.296,0.0,0.804,0.196
2015-06-24,-0.6249,0.339,0.661,0.0
2015-07-09,0.296,0.0,0.833,0.167
2015-07-14,0.0,0.0,1.0,0.0
2015-07-29,0.4588,0.0,0.667,0.333
2015-08-04,0.4588,0.0,0.8,0.2
2015-08-05,0.296,0.0,0.784,0.216
2015-08-13,0.0,0.0,1.0,0.0
2015-08-14,0.37739999999999996,0.0,0.7304999999999999,0.26949999999999996
2015-08-17,0.0,0.0,1.0,0.0
2015-08-25,0.4939,0.0,0.652,0.348
2015-09-04,0.4215,0.0,0.833,0.167
2015-09-08,0.1591,0.0,0.9195,0.0805
2015-09-10,0.743,0.0,0.526,0.474
2015-09-23,-0.0928,0.1665,0.7464999999999999,0.087
2015-09-25,0.0,0.0,1.0,0.0
2015-09-28,0.32152,0.0,0.7133999999999999,0.2866
2015-09-29,0.37895,0.033,0.7815,0.1855
2015-10-05,0.296,0.0,0.833,0.167
2015-10-07,0.0172,0.038,0.9193333333333333,0.043000000000000003
2015-10-13,0.0772,0.0,0.885,0.115
2015-10-14,0.296,0.0,0.833,0.167
2015-10-15,0.7269,0.0,0.643,0.357
2015-10-21,0.1591,0.0,0.9065,0.0935
2015-10-23,0.0,0.0,1.0,0.0
2015-10-26,0.0,0.0,1.0,0.0
2015-10-27,0.0,0.0,1.0,0.0
2015-10-28,0.13108571428571428,0.0,0.881,0.119
2015-10-29,0.4588,0.0,0.8,0.2
2015-11-02,-0.2732,0.116,0.884,0.0
2015-11-03,0.0,0.0,1.0,0.0
2015-11-04,0.2294,0.0,0.8634999999999999,0.1365
2015-11-06,0.0,0.0,1.0,0.0
2015-11-11,0.296,0.0,0.804,0.196
2015-11-13,0.40486666666666665,0.0,0.7573333333333334,0.24266666666666667
