headlines,date
BAML unveils its high conviction calls,01-02-19
MEDIA ALERT: Equinix to Speak at Upcoming Citi 2019 TMT West Conference,01-02-19
MEDIA ALERT: Equinix to Speak at Upcoming Citi 2018 Global TMT West Conference,01-03-18
Analyst Actions: Equinix Upgraded To Outperform At Wells Fargo Securities,01-04-16
Equinix +0.9% as Stifel upgrades to Buy,01-05-16
Equinix Appoints Adaire Fox-Martin to Board of Directors,01-07-20
Equinix Invests $85 Million to Build Fourth Data Center in Singapore,01-07-19
Equinix invests $85M in Singapore data center,01-07-19
"Equinix CIO: Company about 'interconnection,' moving beyond data centers",01-07-16
This just in: REITs outperform,01-08-16
Analyst Actions: Berenberg Bank Initiates Coverage on Equinix With Buy Rating and $477 PT,01-08-19
Equinix Secures €1.0 Billion of New Term Debt and Reprices Existing Term Loans,01-09-17
Equinix Completes US$175 Million Acquisition of Three Data Centers in Mexico,01-09-20
"BMO likes HCP, CTRE, DRE in another volatile year for REITs",01-09-19
Equinix closes $175M deal for Mexico data centers,01-09-20
"S&P 500 Movers: Constellation Brands Slumps 10%, Leads Losers; PG&E Corp. Adds 8%",01-09-19
Equinix secures €1B in loans to ease Verizon data centers purchase,01-09-17
Equinix to Extend Interconnection and Data Center Services to Hamburg,01-10-19
Equinix Buys Hamburg Property For New Data Center,01-10-19
Equinix (EQIX) Wraps Up $175M Buyout of 3 Mexican Data Centers,01-10-20
Equinix extending data-center reach to Hamburg,01-10-19
Beeks Financial Cloud Joins Equinix Cloud Exchange to Continue Global Expansion,01-11-17
MEDIA ALERT: Equinix to Speak at PTC 2017,01-12-17
MEDIA ALERT: Equinix Sets Conference Call for Fourth Quarter Results,01-13-20
MEDIA ALERT: Equinix to Speak at PTC 2016,01-13-16
Top Picks 2020- Equinix EQIX,01-14-20
Equinix to Acquire Bare Metal Leader Packet,01-14-20
Equinix Expands its Global Footprint to South Korea with New Data Center in Seoul,01-14-19
Equinix is acquiring bare metal cloud provider Packet,01-14-20
Equinix to acquire Packet,01-14-20
Equinix plans Seoul data center,01-14-19
"Equinix to Acquire Bare Metal Firm Packet, Terms Undisclosed",01-14-20
MEDIA ALERT: Equinix Sets Conference Call for Fourth Quarter Results,01-15-19
Telstra and Equinix Collaborate to Provide Secure Multicloud Connectivity in 38 Global Markets,01-15-20
Equinix to Fortify Hybrid Multicloud Efforts With Packet Buyout,01-15-20
John Hughes Appointed to Equinix Board of Directors,01-15-16
Equinix Completes Acquisition of U.K.'s TelecityGroup For $3.8 Bln in Cash and Stock,01-15-16
"Equinix closes Telecity deal, becomes top data center player in Europe",01-15-16
"Telstra, Equinix team on multicloud connectivity",01-15-20
