Headline,Date
Internet stocks beat S&P 500 in 2019,12-31-2019
"Equities at US Record Highs in 2019 Mark 'Polar Opposites' of Beaten-Down Market as Year, Decade Began, Janney Says",12-31-2019
Sector Update: Solid Gains for Tech Stocks Monday Not Enough to Reverse 15% Sector Drop This Year,12-31-2018
Sector Update: Tech Stocks Advance in Monday Afternoon Trading,12-31-2018
Analyst: Market needs FAANG to recover,12-31-2018
Sector Update: Tech Stocks Higher in Pre-Market Trading Monday,12-31-2018
"Facebook's Zuckerberg: Company 'Very Different' Than A Year Ago, Altered To Focus More on Harm Prevention",12-31-2018
Facebook Adds 1% in Pre-Market As Government Shutdown Reportedly Stalls FTC Probe,12-31-2018
OPTIONS: Option Implied Volatility for Social Media,12-31-2018
Market Chatter: Facebook Relies on Indian Outsourcing to Clean Up its Social Media Platform,12-31-2018
"Market Chatter: Facebook Shares Slip, Free Basics Sponsored-Service Suspended in Egypt: Reuters",12-31-2015
US Stocks Ease From Record Highs as Tech Takes a Breather From Strong 2019 Run,12-30-2019
Facebook gets new Street-high target,12-30-2019
Market Chatter: Facebook Reportedly Gets Slapped With $1.6 Million Fine for Sharing User Information to App Developers,12-30-2019
"Analyst Actions: Aegis Capital Lifts Facebook Price Target to $300 From $240, Maintains Buy Rating",12-30-2019
"Thinking about trading options or stock in Anthem, CVS, Facebook, Shopify, or Target?",12-30-2019
Brazil fines Facebook for data sharing,12-30-2019
"Apple, Microsoft Account for Nearly 15% of S&P 500's Year-to-Date Total Return -S&P Dow Jones Indices",12-30-2019
Stocks to watch next week,12-30-2017
Chief Operating Officer Sandberg Sheryl Files To Sell $13.0M of FB on 12/22/16,12-30-2016
Technical Indicators Pointing to Improved Commodities in 2016,12-30-2015
US Stocks Set For Lower Open on Penultimate Day of The Year Amid Weaker Oil,12-30-2015
Market Chatter: Court Allows Facebook Investors To Pursue Group Claims In IPO Suit,12-30-2015
Facebook must face class actions over IPO,12-30-2015
Austria makes plans to tax digital giants,12-29-2018
Shareholder Chan Zuckerberg Foundation Mark Zuckerberg Ttee Files To Sell $32.5M of FB on 12/20/16,12-29-2016
Shareholder CZI Holdings LLC Files To Sell $15.0M of FB on 12/20/16,12-29-2016
Officer Cox Christopher K Sells $1.8M of FB on 12/27/16,12-29-2016
"INVESTOR ALERT: Law Offices of Howard G. Smith Commences Investigation on Behalf of Facebook, Inc. Investors",12-29-2016
"Bank of America, Facebook, Micron, Pfizer Inc. and Starbucks offer trade returns of over 23%",12-29-2016
New York Times Exceeds 100 Mln Views on Facebook Live,12-29-2016
"Facebook experimenting with multiple news feeds, shopping marketplace",12-29-2015
FANG Stocks Reach New Heights as Investors Looking For Safer Bets in 2016,12-29-2015
"Covered Call Alerts For Facebook, PayPal Holdings Inc., SolarCity, Qualcomm and Rovi Corporation Released By InvestorsObserver",12-29-2015
"Zuckerberg says Facebook ""fundamentally"" altered its DNA",12-28-2018
Shutdown slows FTC's Facebook probe,12-28-2018
Market Chatter: Facebook's Moderators Reportedly Use Inaccurate Information at Times to Police Content,12-28-2018
NYT leaks Facebook moderation documents,12-28-2018
Shareholder HS Trust Michael Schroepfer Ttee Files To Sell $4.3M of FB on 12/13/16,12-28-2016
Facebook's Oculus acquires eye-tracking operation,12-28-2016
Evercore ISI spotlights Amazon and more into 2017,12-28-2016
Germany may fine Facebook per fake news item,12-28-2016
Update: Market Chatter: Alphabet's YouTube May Be Worth Two Times More Than Netflix - Barron's,12-28-2015
Sector Update: Tech Stocks Posting Small Gains to Conclude Holiday-Shortened Week,12-27-2019
"Market Chatter: Facebook's Cryptocurrency Project Libra Has 'Failed' in Current Form, Swiss President Says",12-27-2019
"Facebook's Libra fails in current form, Swiss president says",12-27-2019
Facebook: Bug caused Instagram feed change,12-27-2018
"Facebook's Instagram Rolls Out, Takes Back New Feed Appearance With 'Bug' Blamed",12-27-2018
OPTIONS: Large Tech Option Implied Volatility,12-27-2018
Sector Update: Technology Stocks On Track to Open Mostly Higher; NII Holdings Rise As Joseph Samberg Discloses 9.5% Stake,12-27-2017
"Facebook's WhatsApp to Stop Working on Windows Phone 8, BlackBerry 10 Devices by New Year's Day",12-27-2017
OPTIONS: Large Cap Tech Stocks' Option Implied Volatility is Low as Shares Near Record High,12-27-2017
Chief Operating Officer Sandberg Sheryl Exer. Acquires $544.4K of FB on 12/22/16,12-27-2016
Stocks Close at Record Highs as Positive Holiday-Shopping Reports Fuel Gains,12-26-2019
OPTIONS: Option Implied Volatility for Communication Services Sector SPDR ETF (XLC) Holdings,12-26-2019
Citron Research 'Backing Up the Sleigh' on Facebook With $160 PT; Stock Up More than 3%,12-26-2018
Facebook +3% as Citron sets $160 target,12-26-2018
Citron boosts Facebook; shares up 3.5%,12-26-2018
"Thinking about buying stock in Aurora Cannabis Inc., Facebook, Inc., Mindbody Inc., Marin Software Inc, or Netflix, Inc.?",12-26-2018
"WhatsApp ending support for BlackBerry OS, Windows Phones",12-26-2017
CNBC: Amazon planning ad push in 2018,12-26-2017
Italy follows France on digital tax,12-25-2019
"Thinking about buying stock in Boeing, Nike, Microbot Medical, Facebook, or Canopy Growth Corp?",12-24-2019
Bias concerns kill new Facebook feature,12-24-2018
Analyst Actions: Outperform-Rated Facebook Struck From Wedbush's Best Ideas List,12-24-2018
Wedbush removes Facebook from Best Ideas,12-24-2018
Facebook signs video clips deal with NFL,12-24-2014
TikTok looks for HQ outside of China - WSJ,12-23-2019
Officer Cox Christopher K Files To Sell $715.3K of FB on 12/15/16,12-23-2016
"Investors: Target a 21% return on Facebook, or get option-trade ideas on General Electric, Pfizer Inc., Walmart Stores Inc. and Weight Watchers or any stock you choose",12-23-2016
Market Chatter: Alphabet's Google Working on New Mobile-Messaging App,12-23-2015
Chairman of the Board Zuckerberg Mark Sells $95.0M of FB on 12/20/16-12/21/16,12-22-2016
The Effects of Social Media on Advertising and Marketing,12-22-2016
Officer Cox Christopher K Files To Sell $624.5K of FB on 12/15/15,12-22-2015
Officer Cox Christopher K Sells $1.6M of FB on 12/21/15,12-22-2015
Facebook takes out October highs,12-22-2014
Equities Extend Plunge to Post Sharp Weekly Losses as Nasdaq Closes in Bear Market,12-21-2018
"Analyst Actions: Needham Reduces Facebook's Price Target to $170 From $215, Reiterates Buy Rating",12-21-2018
"S&P 500 Movers: Perrigo Sinks 26%, Leads Losers; Nike Jumps 7%",12-21-2018
"Facebook -5% on crypto plans, DZ Bank downgrade",12-21-2018
"Option-trading opportunities on eBay Inc., Facebook, Inc., Altria Group, Inc., Morgan Stanley, and Verizon Communications Inc.",12-21-2018
Facebook Is Reportedly Developing Cryptocurrency For WhatsApp,12-21-2018
Facebook developing crypto for WhatsApp transfers - Bloomberg,12-21-2018
