date,compound,neg,neu,pos
2014-11-12,0.0,0.333,1.417,0.25
2014-11-14,0.4588,0.0,0.7,0.3
2014-11-19,0.34,0.0,1.745,0.255
2014-11-21,0.25,0.0,0.8,0.2
2014-11-25,0.0,0.0,2.0,0.0
2014-11-27,0.0,0.0,1.0,0.0
2014-12-01,0.0,0.0,1.0,0.0
2014-12-03,0.0,0.0,1.0,0.0
2014-12-05,0.4588,0.0,0.7,0.3
2014-12-10,0.2023,0.0,0.735,0.265
2014-12-11,0.0,0.0,1.0,0.0
2014-12-12,-0.4588,0.429,0.571,0.0
2014-12-15,0.5719,0.0,0.598,0.402
2014-12-16,-0.4939,0.375,0.625,0.0
2014-12-17,0.0,0.0,1.0,0.0
2014-12-19,0.0,0.0,1.0,0.0
2014-12-22,0.4588,0.0,0.667,0.333
2014-12-24,0.0,0.0,1.0,0.0
2014-12-29,-0.4404,0.42,0.58,0.0
2014-12-30,0.34,0.0,0.676,0.324
2014-12-31,0.2732,0.0,0.656,0.344
2015-01-08,0.0,0.306,1.426,0.268
2015-01-15,0.6486,0.116,0.476,0.408
2015-01-18,0.0,0.0,1.0,0.0
2015-01-19,0.0,0.0,1.0,0.0
2015-01-20,0.0,0.0,1.0,0.0
2015-01-21,-0.4588,0.273,0.727,0.0
2015-01-26,0.3182,0.221,0.39,0.39
2015-01-27,0.0,0.0,1.0,0.0
2015-01-28,0.0,0.0,1.0,0.0
2015-01-29,-0.296,0.39,2.61,0.0
2015-01-30,0.0,0.0,2.0,0.0
2015-02-03,0.4588,0.0,0.5,0.5
2015-02-05,-0.128,0.143,0.857,0.0
2015-02-10,-0.4802,0.434,1.4089999999999998,0.157
2015-02-13,0.0,0.0,1.0,0.0
2015-02-15,-0.4588,0.333,0.667,0.0
2015-02-18,0.5574,0.0,0.66,0.34
2015-02-23,0.2935,0.176,1.5379999999999998,0.286
2015-02-25,-0.1027,0.167,0.833,0.0
2015-03-02,0.0,0.0,1.0,0.0
2015-03-03,0.0,0.0,1.0,0.0
2015-03-04,0.0,0.0,2.0,0.0
2015-03-05,0.0,0.0,1.0,0.0
2015-03-07,0.0,0.0,1.0,0.0
2015-03-10,-0.3182,0.28,1.561,0.159
2015-03-11,0.0,0.0,2.0,0.0
2015-03-20,0.0,0.0,1.0,0.0
2015-03-23,0.0,0.0,1.0,0.0
2015-03-24,0.0,0.0,1.0,0.0
2015-03-25,0.4588,0.0,0.727,0.273
2015-03-26,0.0,0.0,1.0,0.0
2015-03-27,-0.1027,0.189,0.811,0.0
2015-03-31,0.4588,0.0,0.727,0.273
2015-04-02,0.0,0.0,1.0,0.0
2015-04-05,0.2023,0.0,0.795,0.205
2015-04-08,-0.2732,0.189,1.811,0.0
2015-04-11,-0.5023,0.31,0.594,0.096
2015-04-13,0.0,0.0,1.0,0.0
2015-04-14,0.0,0.0,1.0,0.0
2015-04-15,0.0,0.0,1.0,0.0
2015-04-20,0.4588,0.0,0.75,0.25
2015-04-21,0.4588,0.0,0.75,0.25
2015-04-22,0.732,0.147,2.406,0.447
2015-04-23,-0.4739,0.679,2.13,0.191
2015-04-24,0.5267,0.0,1.726,0.274
2015-04-28,0.25780000000000003,0.423,1.216,0.361
2015-04-29,0.0,0.0,1.0,0.0
2015-05-05,0.5267,0.0,0.773,0.227
2015-05-06,0.0,0.0,1.0,0.0
2015-05-15,0.0,0.0,1.0,0.0
2015-05-16,0.4588,0.0,0.75,0.25
2015-05-18,-0.2732,0.189,0.811,0.0
2015-05-19,0.0,0.0,1.0,0.0
2015-05-21,1.3243,0.0,3.452,0.548
2015-05-26,-0.1027,0.053,0.947,0.0
2015-05-27,0.4588,0.0,1.625,0.375
2015-05-28,0.3818,0.104,0.672,0.224
2015-06-04,0.0,0.0,1.0,0.0
2015-06-07,-0.1531,0.211,0.789,0.0
2015-06-08,0.296,0.0,0.872,0.128
2015-06-12,0.7597,0.239,1.149,0.612
2015-06-17,1.3178999999999998,0.0,1.383,0.617
2015-06-19,0.3612,0.143,0.571,0.286
2015-06-23,0.4588,0.0,0.571,0.429
2015-06-29,-0.2732,0.35,0.429,0.221
2015-06-30,0.0,0.0,1.0,0.0
2015-07-01,0.0,0.0,1.0,0.0
