Headlines,Date
"ÔHonestly, we donÕt know what to expectÕ: Meg WhitmanÕs big-money streaming startup Quibi to launch in a new world",04-05-2020
"Zoom Video lurches from boom to backlash amid privacy issues, ÔZoom bombingÕ attacks",04-05-2020
Are Lockdowns Working? Google Offers Location Data to Help Pandemic Fight,04-05-2020
AmericaÕs housing market is showing the first signs of trouble from the coronavirus pandemic,04-04-2020
Two. Trillion. Dollars? HereÕs where all that coronavirus stimulus is going,04-04-2020
20 technology stocks with low debt to consider owning in a down market,04-04-2020
"Zoom green screens, but not pants: Here are the new work from home essentials",04-04-2020
"Everyone Is Worried About the Internet. So Far, ItÕs Actually Doing Just Fine.",04-03-2020
Google and Facebook CanÕt Save the Advertising Industry This Time,04-03-2020
New York CityÕs Economy Is in the Crucible of the Crisis. The Rest of the Country Is Next.,04-03-2020
Apple Acquires AI Startup to Better Understand Natural Language,04-03-2020
Tech Giants Such as Facebook and Google Continue Hiring as Startups Conduct Layoffs,04-03-2020
Google Joins With U.K. Researchers to Track Coronavirus Cases,04-03-2020
"Can Top Funds Revive Apple, Netflix, Microsoft, Google In Coronavirus Crash?",04-03-2020
"The Zacks Analyst Blog Highlights: Amazon, Microsoft, Alphabet and Alibaba",04-03-2020
Quibi Smartphone Video Service To Debut Amid Coronavirus Quarantines,04-03-2020
Earnings Reports for the Week of April 6-10,04-03-2020
Facebook (FB) Launches Messenger for Windows and Mac Desktop,04-03-2020
Tech Players Fight Fake News as Coronavirus Fears Escalate,04-03-2020
Are lockdowns working? Google location data says...,04-03-2020
Alphabet A Stock Falls 3%,04-03-2020
Sector Update: Leading Tech Stocks Mostly Lower In Pre-Bell Friday Trading,04-03-2020
Europe's north-south lockdown divide revealed by Google data,04-03-2020
Google data shines light on whether coronavirus lockdowns worldwide are working,04-03-2020
Google Launches New Tool To Help Track Lockdowns,04-03-2020
Alphabet target trimmed on ad exposure,04-03-2020
Google Is Tracking You - To See if You're Spreading the Coronavirus,04-03-2020
They Rented Their Cars Out Online. Then Things Fell Apart,04-03-2020
OPTIONS: Option Implied Volatility for Digital Content Providers,04-03-2020
Atlanta Population Boom: Region poised to 'bounce back',04-03-2020
Google offers location data for coronavirus lockdowns,04-03-2020
Google Shares Data on How Virus Has Changed Movement in Cities,04-03-2020
[video]Strong App Store Activity Could Prove a Silver Lining for Apple and Google,04-02-2020
Sources: Apple offers reduced pay to some suspended hourly workers,04-02-2020
ÔFractional investmentÕ app backed by actor Will Smith and NFL star J.J. Watt surges in popularity as coronavirus fears roil financial markets,04-02-2020
"Humu, a Startup Run by Former Google HR Boss, Cuts Jobs",04-02-2020
"Zacks Market Edge Highlights: Facebook, Alphabet, Apple, Amazon and Netflix",04-02-2020
Google Will Start Allowing Political Ads That Mention Covid-19,04-02-2020
"Nancy PelosiÕs Husband Bought Up Slack, Microsoft, and Alphabet Securities",04-02-2020
Cloud companies appear to be silver lining as coronavirus dampens IT spending,04-02-2020
"Google to allow some coronavirus ads, starting with hospitals, then political ads",04-02-2020
Fast-growing Minneapolis-based cloud services company acquired,04-02-2020
Cash and Credit Cards Are Dirty. Apple Pay Is Looking Better.,04-02-2020
Sector Update: Tech Heavyweights Mixed Pre-Market Thursday,04-02-2020
Alphabet: A Truly Remarkable Investment Opportunity,04-02-2020
4 Cloud Stocks to Win Big in the Wake of Coronavirus,04-02-2020
Self-Driving Car Engineer Demands $180M Compensation From Uber For Google Trade-Secret Theft Case,04-02-2020
Coronavirus Fact-checking Groups Get $6.5 Million Donation From Google,04-02-2020
"Demand for Health Gadgets Surges in Lockdown, Likely to Last",04-01-2020
An April Fools climate hoax in the middle of a pandemic,04-01-2020
Google Data CentersÕ Secret Cost: Billions of Gallons of Water,04-01-2020
Apple Lets Some Video Apps Sell Shows Without Taking 30% Cut,04-01-2020
YouTube Plans to Release Short-Form Video Feature by 2020-End to Rival TikTok,04-01-2020
YouTube preparing TikTok rival feature - report,04-01-2020
"Prince George's readies $15 million in grants, loans to help businesses survive coronavirus",04-01-2020
Lyft hires senior Waymo engineer,04-01-2020
Are the FAANG Stocks on Sale During the Coronavirus Crisis?,04-01-2020
Engineer Says Uber Owes Him $180 Million for Run-In With Google,04-01-2020
German Startups Join Forces to Create Virus Tracking App,04-01-2020
"The Top 5 Alphabet (Google) Shareholders (GOOG, GOOGL)",04-01-2020
Sector Update: Top Tech Stocks Decline Pre-Market Wednesday,04-01-2020
Here's How The 'MAGA' Tech Giant Stocks Performed In Q1,04-01-2020
Alphabet (GOOGL) Gains As Market Dips: What You Should Know,03-31-2020
The True Cost of All Your Amazon Deliveries,03-31-2020
What Google And Is Doing To Fight The Coronavirus,03-31-2020
Silicon Valley Wins as FCC Moves to Open Airwaves for Wi-Fi,03-31-2020
"Free workouts from Peloton, Nike and others to help you stay active during your quarantine",03-31-2020
Google Cloud CEO says video-conferencing use is soaring into the clouds,03-31-2020
"Facebook, Twitter, YouTube Remove Posts From Bolsonaro",03-31-2020
"The Zacks Analyst Blog Highlights: Alphabet, Procter & Gamble, Philip Morris, Novo Nordisk and Tesla",03-31-2020
Facebook (FB) Offers $100M for Coronavirus-Hit News Outlets,03-31-2020
Huawei says more U.S. pressure could result in retaliation,03-31-2020
Zoom Video Under Scrutiny for Data Privacy and Security Practices,03-31-2020
Schools ArenÕt Ready for Online Learning,03-31-2020
Fitbit announces Charge 4 device in attempt to move beyond step counts,03-31-2020
Sector Update: Top Tech Stocks Slip Pre-Market Tuesday,03-31-2020
"Tech giants such as Google, Facebook seek to defer Indian digital tax: sources",03-31-2020
Google Japan defends impartiality of search results amid lockdown rumors,03-31-2020
Theater Streams BeckettÕs ÔEndgameÕ to Reach Isolated Audiences,03-31-2020
Huawei Warns of ÔPandoraÕs BoxÕ If U.S. Curbs Taiwan Supply,03-31-2020
Tech Billionaires Are Making Friends With Big Brother,03-31-2020
A Smart Plan to End the U.S. Lockdown Arrives Just in Time,03-30-2020
6 Stocks Cashing In On The $30 Trillion Impact Investing Trend,03-30-2020
Ad Sales Decrease With Covid-19 But Digital Holds The Key,03-30-2020
"Top Analyst Reports for Alphabet, Procter & Gamble & Philip Morris",03-30-2020
Analysts Keep Lowering Estimates for Ad-Backed Internet Stocks,03-30-2020
"--Analyst Actions: Morgan Stanley Cuts Alphabet's Price Target to $1,310 From $1,650, Reiterates Overweight Rating",03-30-2020
Alphabet Upgraded: Google Parent Better Positioned Than Facebook,03-30-2020
"Hot Hands, Winning Streaks and Perception",03-30-2020
Alphabet A Stock Rises 3%,03-30-2020
Best Growth Stocks for April 2020,03-30-2020
"Stock Market News for Mar 30, 2020",03-30-2020
"Analyst Actions: UBS Cuts Alphabet's Price Target to $1,530 From $1,675, Reiterates Buy Rating",03-30-2020
Alphabet's Google to Donate $800M to Combat Coronavirus,03-30-2020
Google Stock: Is It A Buy Right Now Amid The Coronavirus Bear Market?,03-30-2020
Sector Update: Tech Majors Climb Pre-Market Monday,03-30-2020
Is Salesforce Stock A Buy? Coronavirus Recession Slows Digital Transformation,03-30-2020
Morgan Stanley cuts internet names on weaker ad spend,03-30-2020
Alphabet stock rises after BMO upgrade,03-30-2020
Alphabet upgraded on recovery positioning,03-30-2020
"TechÕs Shadow Workforce Sidelined, Leaving Social Media to the Machines",03-30-2020
SoftBank-Backed Farming Startup Plenty Is In Talks to Raise Cash,03-29-2020
To the investors gobbling up stocks: The intraweek rally attempt faces a better-than-even chance of failure,03-28-2020
Netflix Watches as Instagram Unites a Quarantined World,03-28-2020
Google-parent Alphabet to donate $800 million in response to coronavirus crisis,03-27-2020
Capturing Our Anxious Times in Google Search,03-27-2020
"Google pledges $800M in ads, cash, Google Cloud credits for COVID-19",03-27-2020
"Ad-Spending Collapse Will Be Worse Than in the Financial Crisis, Survey Finds",03-27-2020
"4 Top Stock Trades for Monday: GOOGL, SNAP, PINS, CHWY",03-27-2020
"Google Set to Offer More Than $800 Million to Businesses, WHO to Manage COVID-19 Pandemic Effects",03-27-2020
"Market Chatter: Alphabet's Verily Ramps Up Drive-thru COVID-19 Testing With 1,000 Volunteers From Google",03-27-2020
Google Offers Ad Credits to SMBs as Part of $800 Million Coronavirus Relief Package,03-27-2020
Google-parent Alphabet to donate $800 million in response to coronavirus crisis,03-27-2020
Google sets aside $800M in ads and loans to help in COVID-19 fight,03-27-2020
"Google Offers $800 Million to Virus Relief, Including Ad Credits",03-27-2020
"This security guard at a cowboy museum is learning the ropes on Twitter, and itÕs everything right now",03-27-2020
Apple Joins Others in Launching Covid-19 Screening Tools,03-27-2020
