headlines,date
Netflix poaches CFO from Activision Blizzard - Reuters,01-01-19
2015 leaders and laggards,01-01-16
Scorecard for the markets in 2018,01-01-19
How will the FAANGs perform in 2019?,01-01-19
Friends' bids farewell to Netflix,01-01-20
Netflix pulls episode critical of Saudi Arabia,01-02-19
Market Chatter: Netflix Reportedly Hires Activision Blizzard's Spencer Neumann as CFO,01-02-19
OPTIONS: Large Tech Option Implied Volatility,01-02-19
Netflix -2% after SunTrust reels in high-flying price target,01-02-19
MTNewswires' Opening Bell Momentum Stocks: NFLX,01-02-19
Sector Update: Consumer,01-02-19
Wall Street Set to Open in the Red on Weak Chinese Data,01-02-19
Netflix rides Macquarie confidence higher,01-02-18
"Update: Activision Blizzard Names Dennis Durkin CFO, Succeeding Spencer Neumann",01-02-19
Sector Update: Consumer Stocks Retreat Pre-Market,01-02-19
"Thinking about buying stock in Apple, BioPharmX, China Ceramics Co., Netflix or Weatherford International?",01-02-19
"Thinking about investing in Apple, Alibaba, Netflix, NVIDIA and Tesla Motors in the new year?",01-02-18
"--Analyst Actions: Macquarie Upgrades Netflix to Outperform From Neutral, Raises PT to $220 From $200",01-02-18
Netflix Removes From Service in Saudi Arabia a Comedy Episode Critical of Saudi Heir,01-02-19
"US Stocks Higher as Oil Prices Hold at Two-Year Highs, Manufacturing Activity Rises",01-02-18
Roku Adding Premium Subscription Services to Bolster Entertainment Offerings,01-02-19
Spencer Neumann named Netflix Chief Financial Officer,01-02-19
Netflix confirms it's named Activision's Neumann as CFO,01-02-19
Netflix Names Activision Blizzard's Spencer Neumann as Chief Financial Officer,01-02-19
"Netflix Names Activision Blizzard's Neumann to Become New CFO, Replacing Wells",01-02-19
Netflix up 2.3% amid positive survey data,01-02-15
Netflix Stops Taking Payment Through Apple's iTunes,01-02-19
"Analyst Actions: Analyst Action: Netflix Buy Rating Maintained at SunTrust, PT Slashed to $355",01-02-19
Sector Update: Consumer Discretionary Stocks Stretching Out Gains in Afternoon Trade,01-02-19
Sector Update: Consumer Staple Stocks Fade as Wednesday Trade Ends,01-02-19
"Stocks Surge to New Highs on Chinese Stimulus, Trade Optimism",01-02-20
OPTIONS: Large Cap Tech Stocks Option Implied Volatility,01-03-18
Internet Stocks Expected by Goldman Sachs to Outperform Broader Market in 2017,01-03-17
Netflix to produce Bright sequel,01-03-18
Netflix reportedly seeing lower Android usage,01-03-20
"Goldman Sachs coverage on Facebook, Alphabet, Amazon, Netflix steady at Buy",01-03-17
"Analyst Actions: Netflix Downgraded To Neutral At Robert W. Baird, Price Target Cut To $115",01-04-16
Goldman Sachs dials up the conviction on Netflix,01-04-19
Netflix slumps in early 2016 trading,01-04-16
Slew of Downgrades Hit Tech Sector,01-04-16
Netflix reportedly prepping Russian launch,01-04-16
OPTIONS: Option implied Volatility into CES Keynote Addresses,01-04-16
Analyst Actions: Goldman Sachs Upgrades Buy-Rated Netflix to Conviction Buy; Price Target is $400,01-04-19
"Financialinsiders.com: 'Roller Coaster Week' Market News Recap Ending January 4th, 2019",01-04-19
"Thinking about buying stock in Canopy Growth Corp, Gamestop Corporation, Intel, Netflix or Tesla?",01-04-19
"Stock Indexes Jump Early Friday as Nonfarm Payrolls Easily Top Forecasts; Netflix, Alphabet Shares Improve",01-04-19
"S&P 500 Movers: Advanced Micro Devices Jumps 8%, Leads Gainers; Newmont Mining Slips 1%",01-04-19
"Analyst Actions: Roku Drops 7% After Morgan Stanley Cut to Underweight from Equal Weight, PT At $30",01-04-18
"S&P 500 Movers: Fossil Sinks 7%, Leads Losers; Chesapeake Energy Up 4%",01-04-16
Sector Update: Consumer Discretionary Stocks Tearing Ahead Friday,01-04-19
"Pacific Crest names FOX, AMCX, NFLX, TWX top 2016 network picks",01-04-16
Sector Update: Consumer Staple Stocks Languish Somewhat Compared with Other Sectors,01-04-19
MT Newswires' Analyst Notebook: NFLX,01-04-19
"Stocks Post Wide Swing Higher as US Payrolls, Powell Comments Soothe Market Fears",01-04-19
Love Alarm Set To Become Netflix First Korean Original Series,01-04-17
OPTIONS: Option Implied Volatility Into 2017 Consumer Electronics Show,01-05-18
S&P 500 Expected by Goldman Sachs to Climb 7% in 2018; Firm Sees 2018 Total Return at 9%,01-05-18
"DreamWorks +2.7% as it extends, expands deal with Netflix",01-05-16
Netflix Expands Multi-Yr Deal with DreamWorks Animation - DWA Shares Up 2%,01-05-16
Netflix bumps with news of Letterman show debut featuring Obama,01-05-18
Dish asks cord-cutters how does $20 per month sound?,01-05-15
DreamWorks Animation Widens Pact with NetFlix,01-05-16
Tech giants prep for legal fight against FCC's rule repeal,01-05-18
Night of upsets at 2020 Golden Globes,01-06-20
Disney's 'Star Wars' Dips 53% But Still Wins Weekend Box-Office; Universal's '1917' Clinches Best Picture at Golden Globes,01-06-20
Stocks to watch next week,01-06-18
"Trade Alerts: Bristol-Myers Squibb, Nordstrom, Netflix, Regions Financial Corporation and Constellation Brands trade ideas that offer returns of 23% or more!",01-06-17
Netflix adds more Hollywood space for production,01-06-17
Hudson Pacific Properties Leases CUE Office Building in Hollywood to Netflix,01-06-17
"S&P 500 Movers: AutoNation Slumps 12%, Leads Losers; Time Warner Up 5%",01-06-16
Netflix Is Now Available Around the World,01-06-16
Netflix expands to 130+ additional countries; shares +6.2%,01-06-16
Binge Watching Goes Global as Netflix Launches Service to 130 New Countries,01-06-16
More from Netflix's CES presentation,01-06-16
DISH Network to Integrate Netflix in Search Functionality for Hopper 3; Netflix Launches Service in Over 130 Extra Countries,01-06-16
Stocks End Higher Despite Rising Tensions in Middle East Over Killing of Iranian General,01-06-20
"Intel details new laptop, graphics processors at CES",01-06-20
Netflix Copycats Get Put to the Test in 2020,01-07-20
iQIYI's Overseas Expansion to Stir Up Streaming Competition,01-07-20
"Covered Call Alerts For Netflix, Activision Blizzard, The Kroger Co, Weight Watchers and NVIDIA Released By InvestorsObserver",01-07-16
Netflix set to debut Gwyneth Paltrow's Goop lifestyle show,01-07-20
"JPMorgan Projects That Netflix Global Paid Subscribers Will Nearly Double By 2024, Driven By International Growth",01-07-20
JPMorgan lifts estimates on Netflix,01-07-20
"The Zacks Analyst Blog Highlights: Exxon Mobil, AT&T, Disney, Netflix and United Parcel Service",01-07-20
Netflix rallies after strong Golden Globes haul,01-07-19
"The Zacks Analyst Blog Highlights: Netflix, Comcast, AT&T and Sony",01-07-20
Netflix Shares Up Near 6% on Golden Globes Dominance,01-07-19
"TiVo Enters The Streaming War, Confirms Launch Of Video Player",01-07-20
Top Performing ETFs of the Decade,01-07-20
"Analyst Actions: Barclays Lowers Netflix Multiple on Cash-Flow, Cuts Price Target to $375, Keeps at Overweight",01-07-19
"Buy Netflix Stock Because ‘The Witcher’ Is a Smash Hit, J.P. Morgan Says",01-07-20
New markets part of the story on Netflix in 2015,01-07-15
Netflix (NFLX) Dips More Than Broader Markets: What You Should Know,01-07-20
3 Cheap Tech Stocks Under $10 to Buy for 2020,01-07-20
Battle of the binge: Time Warner pressing for Netflix-like stacking rights,01-07-16
Adam Sandler stars in the majestically frantic Uncut Gems,01-07-20
"Murder, Mystery and Tea: Acorn Leads Anglophile Streaming Market",01-08-20
Bull of the Day: Sony (SNE),01-08-20
"Analyst Actions: Netflix Price Target CutTo $165 At Pivotal Research, Reiterated Buy",01-08-16
US Stocks Set For Sharply Higher Open as Jobs Added to Economy Blow Past Estimates,01-08-16
Netflix Stock Rises 3%,01-08-20
"Thinking about buying stock in Apple, Axsome Therapeutics, Luxoft, Netflix or QEP Resources?",01-08-19
AT&T's Xandr Enhances Portfolio With On-Demand Ad Service,01-08-20
Ghosn says he’s escaped ‘political persecution’ as he accuses Nissan executives of plotting against him,01-08-20
Medpace helps carry investment pro to victory in Courier stock contest,01-08-20
"Nice Try, Ghosn, But You Can't Try Yourself",01-08-20
NXST vs. NFLX: Which Stock Is the Better Value Option?,01-08-20
Netflix's stock surges toward 6-month high; 'Ozark' Season 3 release date unveiled,01-08-20
"IAC to Sell CollegeHumor, Which Will Cut Most of Its Workers",01-08-20
Venator Capital Thinks This Stock Is Overpriced,01-08-20
The Movie Biz: Golden Globes vs. Oscar gold,01-08-20
"Stocks End Higher After Trump Says Iran ""Standing Down"" After Attacks on Iraqi Bases",01-08-20
Canaccord Says 2020 to Bring 'Compelling Growth Opportunities' to Internet Stocks,01-08-20
Streaming roundup: Are Netflix's Oscar hopes fading?,01-08-20
Can Hulu catch up to Netflix?,01-09-19
Apple Notches Another All-Time High; China iPhone Sales Pop,01-09-20
"Dow Jones Futures: Stock Market Rally Refuses To 'Stand Down'; Netflix, Vertex, Lululemon Clear Buy Points",01-09-20
Streaming Competition Intensifies as TiVO Jumps on Bandwagon,01-09-20
MoviePass army up to 1.5M,01-09-18
Golden Globe Wins to Boost These Streaming Media Stocks,01-09-20
"Verizon, Breaker of the Cable Bundle? Not Really",01-09-20
Report: France's Canal Plus plans spring launch of Netflix rival,01-09-19
"Spiros Segalas Sells Tencent, Trims PayPal Position",01-09-20
"Great Deals on Ride Hailing, Food Delivery, and Streaming Won’t Last Forever. Here’s Why.",01-09-20
Market Chatter: Netflix Rival Canal Plus to Relaunch Streaming Service This Spring; Hulu CEO Says 'Absolutely Possible' to Catch Netflix,01-09-19
SNACS: The FAANG Of The Roaring 20s,01-09-20
"IBD 50 Stocks To Watch: Netflix Scores Big Hits, High Ratings As It Nears Buy Point",01-09-20
Netflix is the new cable for millennials,01-09-15
"In long-awaited update, Hulu reports 17M total subscribers",01-09-18
2020 is Taking Shape for Nio Stock Bulls Looking for More ‘Vroom’,01-10-20
Netflix and Twitter are on a list of tech stocks that have gotten cheaper in the past year,01-10-20
Blockchain watch: MoviePass owner hints at ICO,01-10-18
Street Color: Netflix in Play? Facebook May Make a Move,01-10-17
Risks for Roku Could Be Blessings in Disguise,01-10-20
What to Expect from Apple Stock in 2020?,01-10-20
"Thanks to streaming, we may never reach the peak of “peak TV”",01-10-20
Netflix +1.6% as UBS raises to Buy,01-10-19
Buy Netflix (NFLX) Stock with Earnings in Sight on Possible 2020 Comeback?,01-10-20
How Netflix and Disney Are Dealing With the Costly Problem of Password Sharing,01-11-20
Option implied volatility at CES 2018,01-11-18
Analyst Actions: UBS Upgrades Netflix To Buy From Neutral,01-11-19
