date,compound,neg,neu,pos
2014-11-13,0.0,0.0,1.0,0.0
2014-11-14,0.0,0.0,1.0,0.0
2014-11-19,-0.4404,0.225,0.775,0.0
2014-11-24,0.0,0.0,1.0,0.0
2014-11-28,0.0,0.0,2.0,0.0
2014-12-01,-0.4588,0.3,0.7,0.0
2014-12-02,0.4404,0.0,0.633,0.367
2014-12-03,-0.2732,0.231,0.769,0.0
2014-12-08,0.0,0.0,1.0,0.0
2014-12-09,-0.3818,0.191,1.8090000000000002,0.0
2014-12-12,0.0,0.0,1.0,0.0
2014-12-16,0.0,0.0,1.0,0.0
2014-12-17,0.0772,0.0,0.822,0.178
2014-12-19,-0.14359999999999998,0.342,3.495,0.163
2014-12-23,0.2732,0.154,0.629,0.217
2014-12-26,0.4019,0.0,1.7690000000000001,0.231
2014-12-28,0.0,0.0,1.0,0.0
2014-12-30,0.128,0.0,1.667,0.333
2014-12-31,-0.34,0.286,0.714,0.0
2015-01-02,0.0,0.0,1.0,0.0
2015-01-06,-0.296,0.196,0.804,0.0
2015-01-07,0.0,0.0,1.0,0.0
2015-01-08,0.0,0.0,1.0,0.0
2015-01-10,0.0,0.0,1.0,0.0
2015-01-12,0.34,0.0,1.6760000000000002,0.324
2015-01-13,-0.7998999999999999,0.619,1.381,0.0
2015-01-14,-0.5267,0.531,1.4689999999999999,0.0
2015-01-15,0.4019,0.0,0.722,0.278
2015-01-20,0.0,0.0,1.0,0.0
2015-01-21,0.3182,0.206,0.467,0.327
2015-01-26,0.0,0.0,1.0,0.0
2015-01-29,0.0,0.0,1.0,0.0
2015-01-31,0.0,0.0,1.0,0.0
2015-02-02,0.7184,0.0,0.538,0.462
2015-02-03,0.0,0.0,1.0,0.0
2015-02-06,-0.2732,0.149,0.851,0.0
2015-02-10,0.019600000000000006,0.31,2.372,0.318
2015-02-11,-0.14289999999999997,0.698,0.959,0.343
2015-02-12,-0.9061999999999999,0.848,1.96,0.192
2015-02-13,0.0,0.0,2.0,0.0
2015-02-14,-0.2188,0.216,1.6440000000000001,0.14
2015-02-17,-0.128,0.12,0.88,0.0
2015-02-19,0.0,0.0,1.0,0.0
2015-02-23,0.0,0.0,1.0,0.0
2015-02-24,0.5859,0.0,0.703,0.297
2015-02-26,0.0,0.0,1.0,0.0
2015-03-02,-0.296,0.268,0.732,0.0
2015-03-03,0.0,0.0,1.0,0.0
2015-03-04,0.0,0.0,2.0,0.0
2015-03-06,-0.3182,0.187,0.813,0.0
2015-03-09,-0.2732,0.344,0.656,0.0
2015-03-10,0.4019,0.0,1.7690000000000001,0.231
2015-03-12,0.0,0.0,1.0,0.0
2015-03-13,0.0,0.0,1.0,0.0
2015-03-14,0.0,0.0,1.0,0.0
2015-03-16,0.0,0.0,1.0,0.0
2015-03-17,0.0,0.0,1.0,0.0
2015-03-18,0.0,0.0,1.0,0.0
2015-03-19,0.0,0.0,1.0,0.0
2015-03-20,0.0,0.0,1.0,0.0
2015-03-24,0.7845,0.0,0.465,0.535
2015-03-25,0.0,0.0,1.0,0.0
2015-03-27,0.3182,0.122,0.65,0.228
2015-03-30,0.0,0.0,3.0,0.0
2015-04-01,0.0,0.167,0.667,0.167
2015-04-02,0.6932,0.162,2.209,0.628
2015-04-03,0.0,0.0,1.0,0.0
2015-04-06,0.0,0.0,1.0,0.0
2015-04-08,0.1531,0.211,0.526,0.263
2015-04-14,-0.296,0.268,0.732,0.0
2015-04-18,-0.5994,0.494,0.506,0.0
2015-04-20,0.4588,0.0,0.75,0.25
2015-04-21,0.0,0.0,1.0,0.0
2015-04-22,0.2732,0.0,1.792,0.208
2015-04-23,0.5991,0.139,1.222,0.638
2015-04-27,0.2732,0.0,0.811,0.189
2015-04-30,0.0,0.0,3.0,0.0
2015-05-01,2.1591,0.0,3.455,1.5450000000000002
2015-05-04,0.2732,0.0,0.826,0.174
2015-05-05,0.0,0.0,1.0,0.0
2015-05-06,0.46969999999999995,0.35,3.085,0.5640000000000001
2015-05-07,0.0,0.0,1.0,0.0
2015-05-08,0.0,0.0,1.0,0.0
2015-05-09,-0.3182,0.315,1.685,0.0
2015-05-12,0.4019,0.0,1.69,0.31
2015-05-13,0.0,0.0,1.0,0.0
2015-05-18,-0.2263,0.174,1.826,0.0
2015-05-21,0.25,0.117,0.663,0.219
2015-05-27,0.19790000000000002,0.216,1.5590000000000002,0.225
