headlines,date
Tesla faces lawsuit claiming racism,01-01-20
Tesla will face lawsuit claiming racism,01-01-20
Tesla Model 3 Dutch Registrations Quadruple in December,01-02-20
First customers to receive China-made Model 3s,01-02-20
Market Chatter: Court Rejects Tesla's Motion to Dismiss Racial Discrimination Lawsuit,01-02-20
Traffic Safety Agency to Probe Fatal Tesla Crash in California,01-02-20
Market Chatter: Tesla to Start Delivering Model 3 Sedans to the Public on Jan.7,01-02-20
Canaccord Genuity fires off Street-high PT on Tesla,01-02-20
"Tesla Q4 2018 Vehicle Production & Deliveries, Also Announcing $2,000 Price Reduction in US",01-02-19
"Tesla plunges after deliveries update, price cut",01-02-19
"Analyst Actions: Canaccord Genuity Lifts Tesla's Price Target to $515 From $375, Reiterates Buy Rating",01-02-20
TSLA and MT among premarket losers,01-02-19
"Thinking about investing in Apple, Alibaba, Netflix, NVIDIA and Tesla Motors in the new year?",01-02-18
"Tesla Cuts US Vehicle Prices by $2,000 as Fourth-Quarter Production, Deliveries Set Company Record",01-02-19
"Tesla Q4 Deliveries Miss Expectations, Lowers Price of All Models to Offset Federal Tax Credit Cut - Shares Off More Than 8.5%",01-02-19
"Stock Indexes Down to Start 2019 as Manufacturing in China, Europe, US Shows Signs of Slowing",01-02-19
Wedbush riding out Tesla 'early innings' story,01-02-19
Tesla Motors at $215 with gas at $2.23,01-02-15
Energous leads consumer gainers; Tesla and Cryoport among losers,01-02-19
"US Stocks Advance as Trading in 2020 Gets Underway, Fueled by Tech Stocks, China Stimulus News",01-02-20
Cowen cautions on Tesla Q4 Model 3 deliveries miss,01-02-18
Mid-Day Update: Global Growth Worries Plague Wall Street,01-02-19
Midday Report: US Stocks Extend Rally into 2020 After China Facilitates Bank Lending Before Signing of Partial Trade Deal,01-02-20
"Analyst Actions: Tesla's Outperform Rating Reiterated by Wedbush Following Company's Deliveries, Price Cut Announcement",01-02-19
Sector Update: Consumer Discretionary Stocks Stretching Out Gains in Afternoon Trade,01-02-19
"Analyst Actions: Goldman Sachs Keeps Tesla at Sell, Price Target $225 After Q4 Delivery Data - Stock Dives 7%",01-02-19
Sector Update: Consumer Staple Stocks Fade as Wednesday Trade Ends,01-02-19
Correction: Midday Report: US Stocks Extend Rally into 2020 After China Facilitates Bank Lending Before Signing of Partial Trade Deal,01-02-20
Close Update: Stocks Inch Higher to Start 2019 After Choppy Session,01-02-19
"Tesla Delivers 17,400 Vehicles in Q4 2015; Total 2015 Deliveries Were 50,580",01-03-16
Tesla slashes price of China-made Model 3,01-03-20
Tesla Cuts Price of Made-in-China Model 3s Ahead of Public Launch,01-03-20
Pre-Market Briefing: US Equities Eye Positive Start to New Year,01-03-17
Market Chatter: Tesla Motors Owner Sues Company Alleging Sudden Acceleration While Parking,01-03-17
Market Chatter: Tesla Motors Delays 5% Price Hike in UK By Two Weeks Amid High Demand,01-03-17
Tesla Achieves Record Sales for Model 3 Sedan In Norway in 2019,01-03-20
Record year for Tesla in Norway,01-03-20
Tesla Q4 2019 Vehicle Production & Deliveries,01-03-20
Tesla lower with China news in the mix,01-03-19
"--Tesla Says Achieved Q4 Record Production of Almost 105,000 Vehicles, Deliveries of Approximately 112,000 Vehicles",01-03-20
Tesla +1% after topping Q4 deliveries expectations,01-03-20
"--Tesla Produced Record 105,000 Vehicles in Q4, Deliveries at 112,000; Full-Year Output Rises 50% Annually to 367,500",01-03-20
"Tesla Reports Record Q4 Production, Deliveries; Shares Rise Almost 2% Pre Bell",01-03-20
Wedbush calls China the Tesla wildcard,01-03-20
Tesla seen posting upside margin surprise,01-03-19
Sector Update: Consumer Stocks Mostly Firmer Pre-Bell,01-03-17
Sector Update: Top Tech Stocks Trading Lower Pre-Market Friday,01-03-20
US Stocks Set for a Lower Open As US-Iran Airstrike Rattles Traders,01-03-20
"Research Alert: CFRA Maintains Hold Opinion On Shares Of Tesla, Inc.",01-03-20
Auto sector hits the skids,01-03-20
"Tesla Production, Deliveries Reach Records in Fourth Quarter, Full-Year Deliveries Rise 50%",01-03-20
US Stocks Slump as Financials Sell-Off Amid Geopolitical Tension,01-03-20
Ford charges ahead with EV and autonomous plans,01-03-17
Tesla Motors hits low end of Q4 delivery guidance,01-03-16
Global Jitters Weigh on US Equity Benchmarks While Oil Prices Surge Higher,01-03-20
