,date,tsla_compound,tsla_sentiment
0,2014-11-13,0.0,-1
1,2014-11-14,0.0,-1
2,2014-11-19,-0.4404,-1
3,2014-11-24,0.0,-1
4,2014-11-28,0.0,-1
5,2014-12-01,-0.4588,-1
6,2014-12-02,0.4404,1
7,2014-12-03,-0.2732,-1
8,2014-12-08,0.0,-1
9,2014-12-09,-0.3818,-1
10,2014-12-12,0.0,-1
11,2014-12-16,0.0,-1
12,2014-12-17,0.0772,1
13,2014-12-19,-0.14359999999999998,-1
14,2014-12-23,0.2732,1
15,2014-12-26,0.4019,1
16,2014-12-28,0.0,-1
17,2014-12-30,0.128,1
18,2014-12-31,-0.34,-1
19,2015-01-02,0.0,-1
20,2015-01-06,-0.29600000000000004,-1
21,2015-01-07,0.0,-1
22,2015-01-08,0.0,-1
23,2015-01-10,0.0,-1
24,2015-01-12,0.34,1
25,2015-01-13,-0.7998999999999999,-1
26,2015-01-14,-0.5267,-1
27,2015-01-15,0.4019,1
28,2015-01-20,0.0,-1
29,2015-01-21,0.3182,1
30,2015-01-26,0.0,-1
31,2015-01-29,0.0,-1
32,2015-01-31,0.0,-1
33,2015-02-02,0.7184,1
34,2015-02-03,0.0,-1
35,2015-02-06,-0.2732,-1
36,2015-02-10,0.01960000000000001,1
37,2015-02-11,-0.14289999999999994,-1
38,2015-02-12,-0.9062,-1
39,2015-02-13,0.0,-1
40,2015-02-14,-0.2188,-1
41,2015-02-17,-0.128,-1
42,2015-02-19,0.0,-1
43,2015-02-23,0.0,-1
44,2015-02-24,0.5859,1
45,2015-02-26,0.0,-1
46,2015-03-02,-0.29600000000000004,-1
47,2015-03-03,0.0,-1
48,2015-03-04,0.0,-1
49,2015-03-06,-0.3182,-1
50,2015-03-09,-0.2732,-1
51,2015-03-10,0.4019,1
52,2015-03-12,0.0,-1
53,2015-03-13,0.0,-1
54,2015-03-14,0.0,-1
55,2015-03-16,0.0,-1
56,2015-03-17,0.0,-1
57,2015-03-18,0.0,-1
58,2015-03-19,0.0,-1
59,2015-03-20,0.0,-1
60,2015-03-24,0.7845,1
61,2015-03-25,0.0,-1
62,2015-03-27,0.3182,1
63,2015-03-30,0.0,-1
64,2015-04-01,0.0,-1
65,2015-04-02,0.6932,1
66,2015-04-03,0.0,-1
67,2015-04-06,0.0,-1
68,2015-04-08,0.1531,1
69,2015-04-14,-0.29600000000000004,-1
70,2015-04-18,-0.5994,-1
71,2015-04-20,0.4588,1
72,2015-04-21,0.0,-1
73,2015-04-22,0.2732,1
74,2015-04-23,0.5991,1
75,2015-04-27,0.2732,1
76,2015-04-30,0.0,-1
77,2015-05-01,2.1591,1
78,2015-05-04,0.2732,1
79,2015-05-05,0.0,-1
80,2015-05-06,0.4697,1
81,2015-05-07,0.0,-1
82,2015-05-08,0.0,-1
83,2015-05-09,-0.3182,-1
84,2015-05-12,0.4019,1
85,2015-05-13,0.0,-1
86,2015-05-18,-0.2263,-1
87,2015-05-21,0.25,1
88,2015-05-27,0.1979,1
89,2015-06-01,0.6705,1
90,2015-06-05,-0.128,-1
91,2015-06-06,0.1027,1
92,2015-06-08,0.4767,1
93,2015-06-09,0.0,-1
94,2015-06-12,0.3818,1
95,2015-06-15,0.3818,1
