Date,Open,High,Low,Close,Adj Close,Volume
3/29/2010,29.71,29.82,29.55,29.59,23.34,33336000
3/30/2010,29.63,29.86,29.50,29.77,23.48,34954800
3/31/2010,29.64,29.72,29.17,29.29,23.10,63760000
4/1/2010,29.35,29.54,28.62,29.16,23.00,74768100
4/5/2010,29.13,29.43,29.03,29.27,23.08,34331200
4/6/2010,29.15,29.58,28.98,29.32,23.12,47366800
4/7/2010,29.16,29.56,29.14,29.35,23.15,58318800
4/8/2010,29.32,29.98,29.30,29.92,23.60,63713800
4/9/2010,29.95,30.41,29.90,30.34,23.93,54752500
4/12/2010,30.25,30.49,30.21,30.32,23.91,37068800
4/13/2010,30.15,30.50,30.13,30.45,24.01,41374600
4/14/2010,30.79,31.00,30.66,30.82,24.31,68941200
4/15/2010,30.82,30.95,30.71,30.87,24.34,52745400
4/16/2010,30.79,30.98,30.60,30.67,24.19,88703100
4/19/2010,30.77,31.25,30.76,31.04,24.48,64970300
4/20/2010,31.22,31.44,31.13,31.36,24.73,52199500
4/21/2010,31.33,31.50,31.23,31.33,24.71,55343100
4/22/2010,31.04,31.53,30.90,31.39,24.75,84847600
4/23/2010,31.12,31.58,30.65,30.96,24.42,126766600
4/26/2010,31.00,31.28,30.86,31.11,24.53,63649300
4/27/2010,30.95,31.25,30.75,30.85,24.33,68730900
4/28/2010,30.92,31.00,30.62,30.91,24.38,64557900
4/29/2010,30.93,31.43,30.67,31.00,24.45,52665200
4/30/2010,31.07,31.08,30.52,30.54,24.08,63214800
5/3/2010,30.67,31.06,30.58,30.86,24.34,43989500
5/4/2010,30.52,30.55,29.75,30.13,23.76,82085600
5/5/2010,29.77,30.09,29.69,29.85,23.54,66833800
5/6/2010,29.59,29.88,27.91,28.98,22.85,128613000
5/7/2010,28.93,28.95,27.32,28.21,22.25,173718100
5/10/2010,29.01,29.48,28.71,28.94,22.82,86653300
5/11/2010,28.68,29.65,28.57,28.88,22.78,63789400
5/12/2010,28.98,29.58,28.92,29.44,23.22,47146800
5/13/2010,29.26,29.73,29.18,29.24,23.06,45188800
5/14/2010,29.20,29.21,28.64,28.93,22.81,63334000
5/17/2010,29.12,29.23,28.45,28.94,22.82,46053300
5/18/2010,28.87,29.00,28.40,28.60,22.66,52690600
5/19/2010,28.52,28.69,27.79,28.24,22.37,61746700
5/20/2010,27.65,27.84,27.04,27.11,21.48,87991100
5/21/2010,26.63,27.11,26.44,26.84,21.26,117596300
5/24/2010,26.85,26.86,26.26,26.27,20.81,73711700
5/25/2010,25.65,26.33,25.38,26.07,20.65,98373600
5/26/2010,26.23,26.61,24.56,25.01,19.81,176684100
5/27/2010,25.73,26.36,25.73,26.00,20.60,136433600
5/28/2010,25.84,26.12,25.66,25.80,20.44,67496900
6/1/2010,25.53,26.31,25.52,25.89,20.51,76152400
6/2/2010,26.06,26.48,25.73,26.46,20.96,65718800
6/3/2010,26.55,26.93,26.41,26.86,21.28,67837000
6/4/2010,26.10,26.57,25.62,25.79,20.43,89832200
6/7/2010,25.82,25.83,25.24,25.29,20.03,80456200
6/8/2010,25.25,25.26,24.65,25.11,19.89,87355000
6/9/2010,25.22,25.52,24.75,24.79,19.64,87794000
6/10/2010,25.13,25.15,24.78,25.00,19.80,78930900
6/11/2010,25.04,25.72,24.77,25.66,20.33,68057700
6/14/2010,25.86,25.96,25.47,25.50,20.20,50972400
6/15/2010,25.75,26.65,25.74,26.58,21.06,81641500
6/16/2010,26.47,26.58,26.23,26.32,20.85,48698000
6/17/2010,26.56,26.67,26.04,26.37,20.89,47995500
6/18/2010,26.37,26.53,26.17,26.44,20.95,52075600
6/21/2010,26.78,26.89,25.89,25.95,20.56,54625300
6/22/2010,26.16,26.45,25.76,25.77,20.41,55985400
6/23/2010,25.78,25.78,25.22,25.31,20.05,61466200
6/24/2010,25.46,25.72,24.93,25.00,19.80,85243400
6/25/2010,25.05,25.11,24.31,24.53,19.43,156256700
6/28/2010,24.51,24.61,24.12,24.31,19.26,73784800
6/29/2010,24.13,24.20,23.11,23.31,18.47,119882100
6/30/2010,23.30,23.68,22.95,23.01,18.23,81050500
7/1/2010,23.09,23.32,22.73,23.16,18.35,92239400
7/2/2010,23.36,23.48,23.05,23.27,18.43,62485100
7/6/2010,23.70,24.09,23.58,23.82,18.87,73592000
7/7/2010,23.82,24.32,23.61,24.30,19.25,79965300
7/8/2010,24.60,24.62,23.97,24.41,19.34,50758100
7/9/2010,24.33,24.41,24.15,24.27,19.23,53806100
7/12/2010,24.43,24.89,24.42,24.83,19.67,49854200
7/13/2010,25.14,25.30,24.90,25.13,19.91,61928700
7/14/2010,25.50,25.61,25.12,25.44,20.15,72808100
7/15/2010,25.50,25.59,24.98,25.51,20.21,56934700
7/16/2010,25.51,25.64,24.88,24.89,19.72,65064800
7/19/2010,24.96,25.30,24.91,25.23,19.99,38181800
7/20/2010,24.86,25.48,24.70,25.48,20.18,45530700
7/21/2010,25.60,25.65,24.98,25.12,19.90,73297300
7/22/2010,25.51,25.99,25.47,25.84,20.47,73016400
7/23/2010,25.84,26.02,25.25,25.81,20.45,108520100
7/26/2010,25.86,26.20,25.80,26.10,20.68,67249900
7/27/2010,26.14,26.24,25.96,26.16,20.72,60672100
7/28/2010,26.07,26.19,25.83,25.95,20.56,69704800
7/29/2010,26.13,26.41,25.60,26.03,20.62,69446200
7/30/2010,25.75,25.84,25.35,25.81,20.45,83534800
