,date,adobe_close,adobe_vol,adobe_intra_perc_change,adobe_intra_returns,adobe_pct_change,adobe_pct_returns,adobe_previous_close,adobe_opening_change,adobe_opening_returns,adobe_target,adobe_intra_target,adobe_open_target,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target,equinix_close,equinix_vol,equinix_intra_perc_change,equinix_intra_returns,equinix_pct_change,equinix_pct_returns,equinix_previous_close,equinix_opening_change,equinix_opening_returns,equinix_target,equinix_intra_target,equinix_open_target,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change,cac_open,cac_high,cac_low,cac_close,cac_vol,cac_perc_change,cac_return,dax_open,dax_high,dax_low,dax_close,dax_vol,dax_perc_change,dax_return,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
0,2017-04-28,133.74,1749200,-0.2548725637181435,1,0.0026990553306343035,1,133.38,0.014994751836864773,1,1,-1,1,18.1,14871500,-1.68539325842697,-1,,-1,,,-1,-1,-1,-1,417.7,568400,-1.7167904541580448,-1,0.016450090037475107,1,410.94,-0.07056991288266425,-1,1,-1,-1,150.25,30652200,-0.5016722408026756,-1,0.01726472579553162,1,147.7,1.2186865267434066,1,1,-1,1,924.99,7364700,2.5125681101988797,1,0.007197456390600765,1,918.38,3.315620984777548,1,1,1,1,143.65,20783460,0.30536470261641874,1,-0.019989084458998496,-1,0.2086375964948963,-1,1,1,152.2,6366200,0.333966341431484,1,-0.005748628168278147,-1,153.08,-0.24170368434805628,-1,-1,1,-1,905.96,3276300,0.5161091955285103,1,0.03627108950529023,1,874.25,4.164712610809262,1,1,1,1,314.070007,4505500,-1.3684989116305124,-1,0.017626290094509667,1,308.630005,0.38880924750010426,1,1,0,1,20987.390625,20987.759766,20926.75,20940.509766,329990000,-0.2233763112225905,-1,-1.0,-0.046634307271783824,5267.660156,5287.850098,5265.359863000001,5267.330078,122645300,-0.006266121773706119,-1,12417.88965,12462.11035,12414.09961,12438.00977,101811900,0.16202527617082996,1,1.7180000000000002,1,1.9036,1,-0.4767,0.43700000000000006,0.563,0.0,-1,0.0,-1,-0.9741,-1
1,2017-05-04,134.61,1810500,0.3848146229556589,1,-0.0017797552836483765,1,134.85,0.20763811642565902,1,-1,1,1,19.58,3256400,7.203791469194328,1,-0.026838966202783476,-1,20.12,4.870775347912526,1,-1,1,1,424.28,574900,-0.31920175915635346,-1,0.0025993666997494724,1,423.18,-0.05907651590339808,-1,1,-1,-1,150.85,36225500,-0.4528201371778696,-1,-0.006258234519104233,-1,151.8,-1.0737812911726112,-1,-1,-1,-1,937.53,2418400,0.7642233395078092,1,-0.003719328820547707,-1,941.03,0.3953115203553582,1,-1,1,1,146.53,23345970,-0.006825006825000617,-1,-0.01631310418904408,-1,-0.3671970624234952,-1,-1,-1,157.25,5582300,-1.066906613535572,-1,0.010669066135355676,1,155.59,0.0,-1,1,-1,-1,931.66,1422100,-0.6036260757825994,-1,0.004983603727994446,1,927.04,-0.10463410424576217,-1,1,-1,-1,295.459991,14152000,3.8966988427224867,1,-0.05002893238479278,-1,311.019989,-1.1510472402466765,-1,-1,1,-1,20987.830078,20990.789063,20847.949219,20951.470703,274720000,-0.1732402771743081,-1,1.0,0.20511781496533213,5309.390136999999,5372.419922,5304.459961,5372.419922,152534000,1.1871379456702493,1,12552.05957,12648.219729999999,12539.70996,12647.780270000001,102442000,0.7625895930957701,1,0.3744,1,1.0342,1,1.6902999999999997,0.5670000000000001,10.059,1.374,1,-0.2877,-1,0.8312,1
2,2017-05-05,134.84,1845500,0.25889488867519367,1,0.0017086397741623571,1,134.61,0.43087437783224425,1,1,1,1,19.97,1055100,0.3990024937655952,1,0.019918283963227923,1,19.58,2.4004085801838735,1,1,1,1,426.25,462200,-0.40278890092805847,-1,0.004643160177241423,1,424.28,0.06128028660319783,1,1,-1,1,150.24,17148500,0.7989435457246482,1,-0.004043752071594242,-1,150.85,0.3977461054027142,1,-1,1,1,934.15,2866400,0.6772849062220904,1,-0.003605217966358376,-1,937.53,0.31892312779324494,1,-1,1,1,148.96,27254850,-1.499046061597177,-1,-0.026468858244559024,-1,0.15696444414112454,-1,-1,1,156.6,5341700,1.2298959318826974,1,-0.004133545310015974,-1,157.25,0.826709062003187,1,-1,1,1,927.13,1911300,0.6866336739721886,1,-0.004862288817809035,-1,931.66,0.20179035270377557,1,-1,1,1,308.350006,8177300,-3.4731563758389288,-1,0.043626938985454666,1,295.459991,0.859679509026993,1,1,0,1,20929.039063,21006.939453,20905.0,21006.939453,260960000,0.3722119766966144,1,-1.0,-0.1732402771743081,5344.919922,5432.399902,5343.02002,5432.399902,138533800,1.636693931370747,1,12601.45996,12718.66016,12591.75,12716.88965,104480300,0.9160025137277747,1,-0.2732,-1,0.5414,1,-0.48200000000000004,0.462,4.413,0.125,-1,0.0,-1,1.1529,1
3,2017-05-09,135.6,1692700,-0.19951230325868746,1,0.003552397868561208,1,135.12,0.15541740674956184,1,1,-1,1,20.05,624300,-2.0356234096692223,-1,0.023481368044920847,1,19.59,0.30627871362939624,1,1,-1,1,425.91,341100,0.4045458797118982,1,-0.001711044440277476,-1,426.64,0.23438964935308457,1,-1,1,1,150.48,17453900,0.6667106739718921,1,-0.003839533960016017,-1,151.06,0.2846551039322169,1,-1,1,1,952.82,3262100,-0.002099076406391215,-1,0.003982972266711737,1,949.04,0.39618983393745166,1,1,-1,1,153.99,38907940,-0.07798791187366254,-1,0.004763147592326877,1,0.5620547676622533,1,-1,1,157.46,3911000,-0.871236386931463,-1,0.006906253996674883,1,156.38,-0.17905102954342061,-1,1,-1,-1,932.17,1581800,0.5101659640322415,1,-0.002279781654714763,-1,934.3,0.2836348068072451,1,-1,1,1,321.26001,9676500,-3.8399394944738074,-1,0.045802297953694504,1,307.190002,0.7129148037832267,1,1,0,1,21022.279297,21046.849609,20938.039063,20975.779297,273000000,-0.2211939026356472,-1,1.0,0.10013468097825899,5404.140136999999,5413.600098,5394.129883,5398.009765999999,103174700,-0.11343841655822323,-1,12732.74023,12783.23047,12703.95996,12749.12012,109857600,0.12864387165778343,1,0.0,-1,1.4305,1,0.0,0.0,1.0,0.0,-1,0.6588,1,-0.15900000000000006,-1
4,2017-05-10,136.15,1755400,-0.21345502723391138,1,0.0040560471976403,1,135.6,0.1917404129793653,1,1,-1,1,19.99,730900,0.8924144769459754,1,-0.0029925187032420197,-1,20.05,0.598503740648384,1,-1,1,1,425.05,366900,0.24173864063086106,1,-0.0020192059355262915,-1,425.91,0.0399145359348123,1,-1,1,1,150.29,12080700,-0.039938760567131915,-1,-0.0012626262626262985,-1,150.48,-0.1661350345560872,-1,-1,-1,-1,948.95,2096500,0.47718930256947606,1,-0.004061627589681205,-1,952.82,0.07136709976700216,1,-1,1,1,153.26,25779060,0.24083837792098195,1,-0.004481974667099653,-1,-0.2337814143775658,-1,1,-1,160.28,6869900,-1.5587378025598835,-1,0.017909310301028825,1,157.46,0.22862949320461398,1,1,-1,1,928.78,1173900,0.3433550076181941,1,-0.0036366757136573336,-1,932.17,-0.020382548247630892,-1,-1,1,-1,325.22000099999997,5741600,-1.138202208845629,-1,0.012326436147467978,1,321.26001,0.09337856896660894,1,1,0,1,20958.490234,20976.279297,20884.150391,20943.109375,283340000,-0.07338724702149164,-1,-1.0,-0.2211939026356472,5398.810059,5402.339844,5377.75,5400.459961,100058200,0.030560475030025527,1,12728.969729999999,12776.08008,12715.66992,12757.45996,104830700,0.22382196363351123,1,-0.5423,-1,0.03749999999999998,1,-0.4767,0.341,0.659,0.0,-1,0.0,-1,2.3488,1
5,2017-05-16,138.03,2271800,0.02172968274663272,1,0.0031250000000000444,1,137.6,0.33430232558140116,1,1,1,1,20.97,1445800,3.1408775981524237,1,-0.01779859484777524,-1,21.35,1.4051522248243427,1,-1,1,1,427.64,368500,0.5025593299208992,1,-0.005048742467602008,-1,429.81,-0.0023266094320725213,-1,-1,1,-1,149.78,14550800,0.21983878489108816,1,-0.002729875491044642,-1,150.19,-0.05326586323988554,-1,-1,1,-1,966.07,3126100,-0.527575442247664,-1,0.00845537960478926,1,957.97,0.3162938296606337,1,1,-1,1,155.47,19994270,0.3013979735795812,1,0.034742096505823605,1,0.15414258188825247,1,1,1,159.41,3464900,0.6791277258566999,1,-0.0038120234970629996,-1,160.02,0.2999625046869077,1,-1,1,1,943.0,969500,-0.3191489361702127,-1,0.006317496905280162,1,937.08,0.311606266273953,1,1,-1,1,317.01001,4152500,0.1826209916259335,1,0.0035773236105907102,1,315.880005,0.5413419567344893,1,1,1,1,20984.480469,21033.529297,20932.880859,20979.75,311580000,-0.022542702484278816,-1,1.0,0.2786734023025342,5398.149902,5417.169922,5389.870117,5406.100098,95519900,0.14727631029761237,1,12787.69043,12841.66016,12776.01953,12804.530270000001,77912000,0.13168789229127867,1,0.7547999999999999,1,1.5301999999999998,1,0.2732,0.0,4.721,0.27899999999999997,1,0.0516,1,0.0,-1
6,2017-05-17,134.33,3558500,2.0918367346938602,1,-0.026805766862276204,1,138.03,-0.6013185539375588,-1,-1,1,-1,20.1,985700,3.318903318903308,1,-0.04148783977110149,-1,20.97,-0.8583690987124449,-1,-1,1,-1,426.97,414000,-0.0867323019221764,-1,-0.0015667383780749722,-1,427.64,-0.24319521092506868,-1,-1,-1,-1,144.85,28300100,2.1283783783783825,1,-0.03291494191480848,-1,149.78,-1.188409667512352,-1,-1,1,-1,944.76,5145600,1.0411647638001522,1,-0.02205844296997117,-1,966.07,-1.1769333485151183,-1,-1,1,-1,150.25,50674280,2.18098958333333,1,-0.015012455749311648,-1,-1.2028043995626194,-1,1,-1,153.2,8184500,3.0931747738629984,1,-0.03895615080609749,-1,159.41,-0.8280534470861258,-1,-1,1,-1,919.62,2362100,1.7153483599987127,1,-0.024793213149522764,-1,943.0,-0.7773064687168654,-1,-1,1,-1,306.109985,6711900,2.6336809710702838,1,-0.03438385115977893,-1,317.01001,-0.8264707477218202,-1,-1,1,-1,20846.169922,20846.169922,20601.080078,20606.929688,423200000,-1.1476459939411634,-1,-1.0,-0.022542702484278816,5375.839844,5394.879883,5297.430176,5317.890136999999,118949500,-1.077965651537752,-1,12700.12012,12786.88965,12587.4502,12631.61035,105679600,-0.5394419056880444,-1,0.6908,1,0.2577999999999998,1,-1.1277,0.847,4.808999999999998,0.342,-1,0.0,-1,-0.8074,-1
7,2017-05-19,136.43,3721700,-0.9246930019233613,1,0.014047866805411147,1,134.54,0.47569496060652205,1,1,-1,1,20.01,689800,0.5467196819085459,1,-0.00497265042267514,-1,20.11,0.04972650422676063,1,-1,1,1,426.74,366400,-0.011718109165907655,-1,0.002301766253288262,1,425.76,0.2184329199549058,1,1,-1,1,148.06,16187900,0.2627147187605163,1,0.0027089259108763475,1,147.66,0.5350128673980713,1,1,1,1,959.84,3972100,0.31157824768393505,1,0.0014084653987000983,1,958.49,0.45383885069223706,1,1,1,1,153.06,26892850,0.20863215543095137,1,-0.0060393532047535725,-1,0.5506752327258447,-1,1,1,157.02,4091500,-0.5571565802113382,-1,0.008477842003853597,1,155.7,0.2890173410404734,1,1,-1,1,934.01,1393000,-0.2726872577753405,-1,0.004052717578259424,1,930.24,0.13222394220846428,1,1,-1,1,310.829987,4687600,1.4801942947702007,1,-0.007123270345130384,-1,313.059998,0.7794039531042202,1,-1,1,1,20698.279297,20857.130859,20687.939453,20804.839844,365180000,0.5148280466745956,1,1.0,0.4051047438418194,5299.399902,5334.450195,5292.120117,5324.399902,108705400,0.4717515277638317,1,12612.299809999999,12658.549809999999,12596.719729999999,12638.69043,118293100,0.2092451051558213,1,-0.6764,-1,0.4404,1,0.6611,0.409,3.8789999999999996,0.7120000000000001,1,0.0,-1,0.95,1
8,2017-05-23,139.52,2123600,-0.2586950273067071,1,0.004752988621633314,1,138.86,0.21604493734695587,1,1,-1,1,21.59,912800,-2.614068441064642,-1,0.03252032520325199,1,20.91,0.6217120994739311,1,1,-1,1,435.79,341000,0.0022946305644770317,1,0.0025536026502255282,1,434.68,0.2576608079506774,1,1,1,1,148.07,12817800,0.3029894963641375,1,-0.0011467889908257645,-1,148.24,0.18888289260658467,1,-1,1,1,971.54,2415600,0.3569157555742465,1,0.0008962881308787196,1,970.67,0.44814406543933805,1,1,1,1,153.8,19906170,0.7101355713363423,1,0.0029998695708883805,1,0.5909474641210446,1,1,1,157.95,3370900,-0.12678288431061085,-1,0.005026724357342749,1,157.16,0.3754135912445937,1,1,-1,1,948.82,1270800,-0.09494472107351791,-1,0.0073896332788312424,1,941.86,0.6434077251396115,1,1,-1,1,303.859985,4318400,2.1258797240640286,1,-0.020911940952242247,-1,310.350006,0.03543901977562542,1,-1,1,1,20908.669922,20961.140625,20896.220703,20937.910156,244950000,0.1398474131022287,1,1.0,0.12967627881742544,5317.120117,5368.879883,5314.47998,5348.160156,85536300,0.5837753956461826,1,12597.54004,12703.74023,12593.33008,12659.15039,88301200,0.48906651460820305,1,0.29600000000000004,1,0.4008,1,0.4588,0.0,0.667,0.33299999999999996,1,0.29600000000000004,1,1.2482000000000002,1
9,2017-05-24,141.12,1695100,-0.6705664146097858,1,0.011467889908256756,1,139.52,0.4730504587155938,1,1,-1,1,22.55,1185400,-4.640371229698376,-1,0.0444650301065308,1,21.59,-0.18527095877720773,-1,1,-1,-1,440.43,423500,-1.2622430680093828,-1,0.010647330136074773,1,435.79,-0.19504807361344287,-1,1,-1,-1,150.04,17862400,-1.0302336542993746,-1,0.013304518133315346,1,148.07,0.29715675018572146,1,1,-1,1,980.35,2446000,-0.44569672131147775,-1,0.009068077485229642,1,971.54,0.45906498960413744,1,1,-1,1,153.34,19201820,0.3250130005200208,1,-0.0034444661077532857,-1,0.026007802340697033,-1,1,1,157.75,2970800,0.378907483422794,1,-0.001266223488445628,-1,157.95,0.2532446976891457,1,-1,1,1,954.96,1024800,-0.2077693131020607,-1,0.006471195801100338,1,948.82,0.4384393246348062,1,1,-1,1,310.22000099999997,5033300,-1.2103979899383859,-1,0.020930745455016053,1,303.859985,0.8721204274396407,1,1,0,1,20949.210938,21022.820313,20933.580078,21012.419922,283180000,0.30172489162990535,1,1.0,0.1398474131022287,5336.97998,5353.009765999999,5326.589844,5341.339844,79667800,0.08169159367916565,1,12631.38965,12662.049809999999,12617.75977,12642.87012,71515700,0.09088841622426258,1,1.1391,1,0.7903,1,0.6124,0.0,2.737,0.263,1,-0.5098,-1,1.2866,1
