,date,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change
1,2010-03-31,10907.339844,10907.419922,10832.830078,10856.629883,197060000,-0.46491593482250787,-1,1.0,0.11381706076538853
2,2010-04-01,10857.30957,10956.389648,10857.30957,10927.070313,159520000,0.6425232931808238,1,-1.0,-0.46491593482250787
3,2010-04-05,10927.450195,10988.05957,10923.969727,10973.549805,139480000,0.4218697791099941,1,1.0,0.6425232931808238
4,2010-04-06,10972.490234,10987.379883,10927.519531,10969.990234,159960000,-0.022784253589521124,-1,1.0,0.4218697791099941
5,2010-04-07,10961.950195,10962.660156,10845.450195,10897.519531,187000000,-0.5877664362075632,-1,-1.0,-0.022784253589521124
6,2010-04-08,10896.990234,10949.360352,10844.089844,10927.070313,158930000,0.2760402492253843,1,-1.0,-0.5877664362075632
7,2010-04-09,10926.919922,11000.980469,10926.919922,10997.349609,150660000,0.64455205586526,1,1.0,0.2760402492253843
8,2010-04-12,10996.75,11029.769531,10992.209961,11005.969727,153960000,0.08384047104826148,1,1.0,0.64455205586526
9,2010-04-13,11006.719727,11038.919922,10947.769531,11019.419922,183950000,0.11538583079248638,1,1.0,0.08384047104826148
10,2010-04-14,11020.700195,11125.219727,11020.629883,11123.110352,223920000,0.9292527261240887,1,1.0,0.11538583079248638
11,2010-04-15,11122.959961,11154.549805,11096.200195,11144.570313,203720000,0.19428598211061826,1,1.0,0.9292527261240887
12,2010-04-16,11143.660156,11153.790039,10973.919922,11018.660156,373950000,-1.1217140351565473,-1,1.0,0.19428598211061826
13,2010-04-19,11018.360352,11095.299805,10977.849609,11092.049805,214850000,0.6687878290949625,1,-1.0,-1.1217140351565473
14,2010-04-20,11093.110352,11146.080078,11081.469727,11117.05957,175170000,0.21589272296098533,1,1.0,0.6687878290949625
15,2010-04-21,11116.910156,11153.719727,11071.339844,11124.919922,188880000,0.07205028994208612,1,1.0,0.21589272296098533
16,2010-04-22,11119.780273,11149.860352,11016.400391,11134.290039,214700000,0.13048608555000374,1,1.0,0.07205028994208612
17,2010-04-23,11132.179688,11205.639648,11105.650391,11204.280273,207380000,0.6476771577602309,1,1.0,0.13048608555000374
18,2010-04-26,11205.110352,11258.009766,11187.650391,11205.030273,191920000,-0.0007146649830636735,-1,1.0,0.6476771577602309
19,2010-04-27,11203.669922,11218.860352,10973.169922,10991.990234,263400000,-1.8893781187210377,-1,-1.0,-0.0007146649830636735
20,2010-04-28,10988.870117,11078.519531,10965.379883,11045.269531,236760000,0.5132412468207128,1,-1.0,-1.8893781187210377
21,2010-04-29,11045.639648,11197.320313,11041.639648,11167.320313,194310000,1.1016171890238353,1,1.0,0.5132412468207128
22,2010-04-30,11168.230469,11197.929688,10999.69043,11008.610352,255130000,-1.42923373083196,-1,1.0,1.1016171890238353
23,2010-05-03,11009.599609,11177.669922,11009.599609,11151.830078,178080000,1.2918768533937526,1,-1.0,-1.42923373083196
24,2010-05-04,11149.480469,11149.480469,10869.25,10926.769531,242100000,-1.9975005886527661,-1,1.0,1.2918768533937526
25,2010-05-05,10918.400391,10946.790039,10814.839844,10866.830078,218830000,-0.4723248017402585,-1,-1.0,-1.9975005886527661
26,2010-05-06,10868.120117,10879.759766,9869.620117,10520.320313,459890000,-3.200183658772495,-1,-1.0,-0.4723248017402585
27,2010-05-07,10519.419922,10579.120117,10241.230469,10380.429688,428730000,-1.3212727986009853,-1,-1.0,-3.200183658772495
28,2010-05-10,10386.179688,10835.169922,10386.030273,10785.139648,313350000,3.84125801771898,1,-1.0,-1.3212727986009853
29,2010-05-11,10780.0,10874.540039,10685.379883,10748.259766,223950000,-0.2944363079777438,-1,1.0,3.84125801771898
30,2010-05-12,10742.150391,10909.080078,10742.150391,10896.910156,196630000,1.4406776982908533,1,-1.0,-0.2944363079777438
31,2010-05-13,10896.610352,10920.269531,10771.69043,10782.950195,201480000,-1.0430781071210709,-1,1.0,1.4406776982908533
32,2010-05-14,10780.679688,10780.75,10537.25,10620.160156,256500000,-1.488955582074059,-1,-1.0,-1.0430781071210709
33,2010-05-17,10616.980469,10660.969727,10436.05957,10625.830078,221910000,0.08335335103837029,1,-1.0,-1.488955582074059
34,2010-05-18,10625.450195,10718.860352,10482.200195,10510.950195,246370000,-1.0776013994576914,-1,1.0,0.08335335103837029
35,2010-05-19,10505.700195,10522.519531,10324.660156,10444.370117,266340000,-0.5837790614773873,-1,-1.0,-1.0776013994576914
