,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
0,2012-05-21,34.03,168192700,6.8436901177114695,1,-0.10986136541982727,-1,38.23,-4.446769552707288,-1,-1,1,-1,218.11,3579800,-1.9062748212867413,-1,0.019920505026888025,1,213.85,0.08417114800093842,1,1,-1,1,80.18,157250007,-5.00261917234155,-1,0.007666205856478703,1,0.7786722977431747,1,-1,1,10.25,25143300,-2.7054108216432824,-1,0.026026026026026106,1,9.99,-0.10010010010009797,-1,1,-1,-1,305.91,6173800,-2.2665730618794604,-1,0.02283669921091369,1,299.08,0.01671793500067252,1,1,-1,1,28.77,1475200,-4.314720812182745,-1,0.043904246876061315,1,27.559998999999998,0.07257257157375298,1,1,0,1
1,2012-05-22,31.0,101786600,4.937135847899415,1,-0.089039083161916,-1,34.03,-4.17278871583897,-1,-1,1,-1,215.33,3733100,1.3650313773991067,1,-0.012745862179634138,-1,218.11,0.09169685021318996,1,-1,1,1,79.57,173417772,2.20009832841692,1,-0.02380076064286607,-1,1.4716887004240367,-1,1,1,9.67,40014800,5.750487329434697,1,-0.05658536585365859,-1,10.25,0.09756097560975402,1,-1,1,1,299.28,6126600,2.0584481460876463,1,-0.021673041090517042,-1,305.91,-0.11114380046419921,-1,-1,1,-1,30.799999,2366200,-2.325578073089695,-1,0.07055957594716711,1,28.77,4.622871046228717,1,1,0,1
2,2012-05-23,32.0,73600000,-2.0082881734140865,-1,0.032258064516129004,1,31.0,1.1935483870967774,1,1,-1,1,217.28,4243800,-1.1969633459084315,-1,0.009055867737890688,1,215.33,-0.2879301537175519,-1,1,-1,-1,81.51,145594164,-2.3480662983425473,-1,0.00928677563150071,1,0.08797285409074701,1,-1,1,10.27,44100000,-6.535269709543558,-1,0.06204756980351589,1,9.67,-0.3102378490175735,-1,1,-1,-1,303.59,6379900,-1.2979646312979602,-1,0.014401229617749367,1,299.28,0.14033680834002138,1,1,-1,1,31.02,1220400,-1.5052389236007564,-1,0.007142889842301603,1,30.799999,-0.7792208045201625,-1,1,0,-1
3,2012-05-24,33.03,50237200,-0.24279210925644396,-1,0.032187500000000036,1,32.0,2.968750000000009,1,1,-1,1,215.24,3141100,0.8019172273942211,1,-0.009388807069219407,-1,217.28,-0.13807069219440876,-1,-1,1,-1,80.76,123856147,1.8354199586726523,1,0.0053529192082659716,1,0.9324009324009211,1,1,1,10.04,20742400,1.7612524461839676,1,-0.022395326192794607,-1,10.27,-0.4868549172346537,-1,-1,1,-1,300.7,3796600,0.9029791721592437,1,-0.009519417635626914,-1,303.59,-0.04940874205341983,-1,-1,1,-1,30.280001000000002,1075600,3.1039967999999933,1,-0.02385554480980001,-1,31.02,0.7414571244358492,1,-1,1,1
4,2012-05-25,31.91,37149800,3.00911854103343,1,-0.03390856796851349,-1,33.03,-0.393581592491682,-1,-1,1,-1,212.89,2171400,0.9767896181217836,1,-0.010918044973053487,-1,215.24,-0.11614941460695039,-1,-1,1,-1,80.33,81958125,0.40912472105132447,1,-0.017370030581039808,-1,-0.12382367508668712,-1,1,-1,10.03,33371100,0.5946481665014915,1,-0.0009960159362549792,-1,10.04,0.49800796812749715,1,-1,1,1,294.66,7190500,1.5765916226868764,1,-0.02008646491519772,-1,300.7,-0.43897572331226914,-1,-1,1,-1,29.809998999999998,757000,1.1604807692307773,1,-0.015521862102977013,-1,30.280001000000002,-0.39630447832548626,-1,-1,1,-1
5,2012-05-29,28.84,78063400,8.38627700127065,1,-0.09620808523973678,-1,31.91,-1.3475399561266053,-1,-1,1,-1,214.75,2693900,-0.2099860009332658,-1,0.008736906383578491,1,212.89,0.662313871013211,1,1,-1,1,81.75,94973228,-0.2329573320254999,-1,-0.01196519216823777,-1,1.5311838665504844,-1,-1,1,9.92,31997000,2.2660098522167527,1,-0.010967098703888234,-1,10.03,1.1964107676969193,1,-1,1,1,296.06,5230900,0.2459651605512376,1,0.004751238715807959,1,294.66,0.7228670331907946,1,1,1,1,31.690001000000002,1650000,-5.598137287570812,-1,0.06306615441349073,1,29.809998999999998,0.6709191771526188,1,1,0,1
6,2012-05-30,28.19,57267900,1.7770034843205507,1,-0.022538141470180295,-1,28.84,-0.48543689320388544,-1,-1,1,-1,209.23,4078200,1.3717356462713288,1,-0.025704307334109444,-1,214.75,-1.215366705471485,-1,-1,1,-1,82.74,132188320,-1.7587012667568471,-1,0.0025445292620864812,1,-0.5382262996941868,1,-1,-1,9.62,32890900,1.6359918200409014,1,-0.030241935483870996,-1,9.92,-1.4112903225806508,-1,-1,1,-1,293.02,3827600,-0.013652809065452801,-1,-0.010268188880632412,-1,296.06,-1.0403296629061622,-1,-1,-1,-1,30.41,1307200,2.15572715572715,1,-0.04039132090907793,-1,31.690001000000002,-1.9249005388166567,-1,-1,1,-1
7,2012-05-31,29.6,111639200,-3.6777583187390563,-1,0.050017736786094336,1,28.19,1.2770485987938964,1,1,-1,1,212.91,4944000,-1.6373878174527436,-1,0.017588299956985187,1,209.23,0.11948573340343163,1,1,-1,1,82.53,122817347,0.5183220829315244,1,0.029822810082355877,1,0.2658931592941732,1,1,1,9.06,53803400,4.9317943336830945,1,-0.058212058212058104,-1,9.62,-0.9355509355509342,-1,-1,1,-1,289.35,5958800,1.33328786742139,1,-0.012524742338406836,-1,293.02,0.08190567196778688,1,-1,1,1,29.5,1118700,1.8955769870302637,1,-0.029924366984544593,-1,30.41,-1.1180532719500158,-1,-1,1,-1
8,2012-06-01,27.72,41855500,4.049844236760131,1,-0.06351351351351364,-1,29.6,-2.3986486486486513,-1,-1,1,-1,208.22,3951500,0.10554596046823972,1,-0.02202808698511105,-1,212.91,-2.099478652951951,-1,-1,1,-1,80.14,130080689,1.4389374000737938,1,-0.005830542116362691,-1,-1.4782503332121637,-1,1,-1,8.99,35578200,-3.214695752009177,-1,-0.007726269315673329,-1,9.06,-3.863134657836641,-1,-1,-1,-1,284.42,6138700,0.14394551135764078,1,-0.0170381890444099,-1,289.35,-1.5621219975807978,-1,-1,1,-1,28.15,885800,1.3319347587825305,1,-0.045762711864406835,-1,29.5,-3.288132203389823,-1,-1,1,-1
9,2012-06-04,26.9,35230300,1.102941176470591,1,-0.029581529581529598,-1,27.72,-1.8759018759018746,-1,-1,1,-1,214.57,4299600,-3.4570877531340347,-1,0.030496590145038915,1,208.22,-0.39381423494380613,-1,1,-1,-1,80.61,138991972,-0.49869093629224,-1,0.0026119402985074203,1,0.0873471425006154,1,-1,1,9.29,35291200,-2.765486725663717,-1,0.03337041156840925,1,8.99,0.5561735261401438,1,1,-1,1,288.21,4883500,-1.4645308924485014,-1,0.013325363898459841,1,284.42,-0.13008930454961132,-1,1,-1,-1,27.879998999999998,1030900,0.5351480365626964,1,-0.009591509769094175,-1,28.15,-0.42628419182947225,-1,-1,1,-1
10,2012-06-05,25.87,42473400,3.1086142322097317,1,-0.038289962825278745,-1,26.9,-0.743494423791819,-1,-1,1,-1,213.21,3543900,0.2992751928922078,1,-0.006338257911171152,-1,214.57,-0.3355548305914149,-1,-1,1,-1,80.4,96944429,-0.2743826390621088,-1,-0.015188633023027864,-1,-0.5334325766033899,-1,-1,-1,9.26,24048500,0.32292787944025153,1,-0.0032292787944024903,-1,9.29,0.0,-1,-1,1,-1,284.14,4697200,0.8756323042037297,1,-0.01412164740987476,-1,288.21,-0.541271989174561,-1,-1,1,-1,27.91,630900,-0.2514367816091964,-1,0.0010760760787689172,1,27.879998999999998,-0.14346844130086991,-1,1,0,-1
11,2012-06-06,26.81,61489200,-2.8385116992711867,-1,0.036335523772709655,1,25.87,0.7730962504831824,1,1,-1,1,217.64,2710100,-1.4024134557144812,-1,0.020777637071431876,1,213.21,0.6660100370526651,1,1,-1,1,81.64,100135800,-0.6534336086795723,-1,-0.0003673319456348745,-1,0.8830845771144201,-1,-1,1,9.41,30676800,-0.3198294243070294,-1,0.016198704103671746,1,9.26,1.2958963282937472,1,1,-1,1,289.2,4207200,-0.7104053489343792,-1,0.017808122756387768,1,284.14,1.062856338424734,1,1,-1,1,29.219998999999998,909900,-3.617014056134245,-1,0.04693654604084552,1,27.91,1.0390576854174138,1,1,0,1
