,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change,cac_open,cac_high,cac_low,cac_close,cac_vol,cac_perc_change,cac_return,dax_open,dax_high,dax_low,dax_close,dax_vol,dax_perc_change,dax_return,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
0,2015-01-15,74.05,34134000,3.075916230366503,1,-0.02923439958049301,-1,76.28,0.15731515469324142,1,-1,1,1,286.95,4419200,2.397959183673473,1,-0.02155010740955432,-1,293.27,0.24891737988884582,1,-1,1,1,106.82,59808470,2.8909090909090973,1,0.007830927445985347,1,0.18214936247723393,1,1,1,46.25,11669000,0.6444683136412399,1,-0.001511226252158937,-1,46.32,0.49654576856648713,1,-1,1,1,500.42,2715800,0.7477339891707455,1,0.0018418418418417737,1,499.5,0.9389389389389385,1,1,1,1,191.869995,5216500,1.347118069126487,1,-0.0042555762701170785,-1,192.690002,0.9341444710763998,1,-1,1,1,17436.300781,17517.410156,17298.039063,17320.710938,94520000,-0.6629264111224645,-1,-1.0,-1.0333924544941409,4262.939941,4338.72998,4119.350098,4323.200195,187411300,1.413584400296873,1,9933.450195,10063.17969,9637.330078,10032.61035,147822300,0.9982448500110631,1,0.6486,1,-0.1027,-1,0.0,0.0,1.0,0.0,-1,0.4019,1,1.1457,1
1,2015-03-24,85.31,32576500,-0.7082989021367118,-1,0.010422835485017101,1,84.43,0.3316356745232582,1,1,-1,1,374.09,2228200,-0.026738682852473567,-1,-0.0027192023673057175,-1,375.11,-0.29857908346885037,-1,-1,-1,-1,126.69,32747200,0.42442820089602,1,0.026827686821202734,1,0.015722034431263448,1,1,1,62.61,16888900,-2.404317958783119,-1,0.031296326799538754,1,60.71,0.7082852907264037,1,1,-1,1,568.63,2583200,-1.3564578802894751,-1,0.020366781510192444,1,557.28,0.6711168532873976,1,1,-1,1,201.720001,3649900,-0.06945083768775281,-1,0.010469348032125625,1,199.630005,0.976805565876731,1,1,0,1,18110.869141,18149.240234,18010.439453,18011.140625,87190000,-0.5506556047839274,-1,-1.0,-0.11408564534475853,5040.859863000001,5103.299805,5032.779785,5088.279785,130680800,0.9407109756821885,1,11821.20996,12030.58984,11797.66992,12005.69043,104205600,1.560588726739783,1,0.0,-1,-0.15200000000000002,-1,0.29600000000000004,0.0,0.82,0.18,1,0.7845,1,-0.3020999999999999,-1
2,2015-04-23,82.41,73728100,2.0095124851367396,1,-0.026231832683445533,-1,84.63,-0.6262554649651437,-1,-1,1,-1,389.99,7980000,0.05637989800363149,1,0.0004874294510004429,1,389.8,0.10518214468957622,1,1,1,1,129.67,45596690,-1.0678098207326392,-1,-0.004682222904513478,-1,-0.24879489970455076,-1,-1,-1,79.87,12687500,-0.2636203866432437,-1,0.0025103552152629938,1,79.67,-0.01255177607632122,-1,1,-1,-1,545.5,4184800,-1.1083926453143569,-1,0.014147874100652658,1,537.89,0.3030359367156845,1,1,-1,1,218.600006,4411200,-0.1511898080141179,-1,-0.0038279073657682128,-1,219.440002,-0.5331744391799598,-1,-1,0,-1,18031.900391,18133.029297,17966.769531,18058.689453,100240000,0.1485648291034852,1,1.0,0.48716000982234087,5217.080078,5226.169922,5146.680176,5178.910156,128135000,-0.7316338148796965,-1,11887.13965,11940.20996,11675.58008,11723.58008,89480500,-1.375937145653029,-1,-0.4739,-1,0.7697,1,0.5849,0.125,0.486,0.389,1,0.5991,1,0.4215,1
3,2015-05-06,78.1,28663000,-0.16673079389508202,-1,0.00696235172769466,1,77.56,0.5286230015471849,1,1,-1,1,419.1,2552500,0.5528794817644648,1,-0.004962131104726986,-1,421.19,0.056981409815049996,1,-1,1,1,125.01,72037370,1.2247155499367866,1,-0.001995848634839481,-1,0.60413354531002,-1,1,1,80.08,11504500,1.1724052819943267,1,-0.008788216363411427,-1,80.79,0.2970664686223479,1,-1,1,1,524.22,1567000,1.3214366388073153,1,-0.012396382818387175,-1,530.8,0.0828937452901384,1,-1,1,1,230.42999300000002,5270900,1.5677116215024716,1,-0.01081778936447031,-1,232.94999700000002,0.49367203898267614,1,-1,1,1,17934.810547,18019.75,17733.119141,17841.980469,100430000,-0.5175972043681867,-1,-1.0,-0.743694727306621,4968.140136999999,5013.209961,4936.339844,4981.589844,169169600,0.2707191550382121,1,11377.58008,11457.92969,11239.86035,11350.15039,101726700,-0.2410854488136376,-1,0.0,-1,0.0,-1,0.4588,0.0,0.7859999999999999,0.214,1,0.4697,1,0.2023,1
4,2015-07-17,94.97,54001600,-2.6148028092922764,-1,0.04534947716015414,1,90.85,1.871216290588886,1,1,-1,1,483.01,4932200,-1.1115763031191128,-1,0.01583662824934806,1,475.48,0.4668966097417284,1,1,-1,1,129.62,45970470,-0.4183452122714534,-1,-0.018550768531839124,-1,0.44354524939695095,-1,-1,1,114.77,25136900,2.1902164649735876,1,-0.008980226232622401,-1,115.81,1.3211294361454116,1,-1,1,1,672.93,11164900,-3.687211093990747,-1,0.16052427351901333,1,579.85,11.925497973613862,1,1,-1,1,274.660004,5004100,-0.7926620183486293,-1,0.029923545858200118,1,266.679993,2.1823935626096915,1,1,0,1,18117.580078,18121.119141,18032.060547,18086.449219,106510000,-0.17182680504778164,-1,1.0,0.23282150194929527,5138.97998,5138.97998,5110.47998,5124.390136999999,102644300,-0.2839054259168501,-1,11747.469729999999,11753.17969,11649.94043,11673.41992,69953700,-0.6303468891764373,-1,-0.4164999999999999,-1,0.4588,1,0.7096,0.0,0.537,0.46299999999999997,1,0.0,-1,0.0,-1
5,2015-07-27,94.17,38585400,2.4953406502381412,1,-0.02867457452294997,-1,96.95,-0.381640020629195,-1,-1,1,-1,531.41,7491000,-0.6935101847465596,-1,0.0037588304181934706,1,529.42,-0.31543953760718507,-1,1,-1,-1,122.77,44371580,0.2599723779348504,1,-0.004944075214783572,-1,-1.132530120481925,-1,1,-1,106.43,11302600,1.261712589293997,1,-0.02661423083958292,-1,109.34,-1.4175964880190206,-1,-1,1,-1,627.26,2675400,-1.008051529790659,-1,0.00593367117839505,1,623.56,-0.41054589774840367,-1,1,-1,-1,253.00999500000003,4694200,3.589527969846035,1,-0.04672020200112725,-1,265.410004,-1.1227952809193997,-1,-1,1,-1,17561.779297,17561.779297,17399.169922,17440.589844,117860000,-0.6900750257162436,-1,-1.0,-0.9165925133673033,5030.890136999999,5033.910156,4924.290039,4927.600098,117642300,-2.053116569577745,-1,11287.76953,11297.5,11052.86035,11056.40039,88788400,-2.0497330263971016,-1,0.4881999999999999,1,1.2726,1,-0.0258,0.14800000000000002,0.71,0.142,-1,0.0,-1,0.0,-1
6,2015-08-06,95.12,42271300,2.1197777320436324,1,-0.013687266694317635,-1,96.44,0.7673164661966084,1,-1,1,1,529.46,3820500,1.8245874281475838,1,-0.014059328504124613,-1,537.01,0.42643526191317915,1,-1,1,1,115.13,52828890,0.7243252565318646,1,-0.0033760387811634374,-1,0.4939341421143788,-1,1,1,126.45,24716700,-0.12669253305883013,-1,0.02214857327621056,1,123.71,2.085522593161436,1,1,-1,1,642.68,1572600,0.3596899224806279,1,-0.0017086582372860537,-1,643.78,0.18950573177172753,1,-1,1,1,246.13000499999998,14623800,1.3665096159556382,1,-0.08884610948717087,-1,270.130005,-7.622260252058995,-1,-1,1,-1,17542.609375,17572.039063,17362.859375,17419.75,96170000,-0.7003483482627567,-1,-1.0,-0.08413175099362603,5186.549805,5217.799805,5177.950195,5192.109863000001,85599700,0.10720147707134448,1,11605.58984,11669.86035,11574.969729999999,11585.09961,69557600,-0.17655483506214664,-1,-0.34,-1,0.6115,1,0.0,0.0,1.0,0.0,-1,-1.0206,-1,-0.022000000000000002,-1
7,2015-09-25,92.77,28961600,3.1527299300553397,1,-0.017371041203262383,-1,94.41,1.4617095646647704,1,-1,1,1,524.25,4031000,3.376522844978537,1,-0.01779859484777513,-1,533.75,1.652459016393452,1,-1,1,1,114.71,56005550,1.485743730676747,1,0.02018854500177869,1,1.2521739130434761,1,1,1,102.24,19066600,2.905982905982908,1,-0.014649190439475768,-1,103.76,1.484194294525821,1,-1,1,1,611.97,2174000,2.826428696190666,1,-0.022099712368168656,-1,625.8,0.6343879833812763,1,-1,1,1,256.910004,3773400,3.638266211222352,1,-0.023601364844963668,-1,263.119995,1.3263872249617432,1,-1,1,1,16205.070313,16465.230469,16205.070313,16314.669922,130790000,0.6763291172644662,1,-1.0,-0.3431731580338192,4423.120117,4514.419922,4413.709961,4480.660156,134147500,1.3008925255917827,1,9594.530273,9745.769531,9585.330078,9688.530273,124073000,0.9797248778767806,1,0.0,-1,0.1779,1,0.0,0.0,1.0,0.0,-1,0.6249,1,0.6369,1
8,2015-09-29,86.67,42281800,2.727272727272719,1,-0.028472144378432818,-1,89.21,-0.12330456226880332,-1,-1,1,-1,496.07,4457500,1.9624505928853768,1,-0.01585128754513354,-1,504.06,0.38487481649009997,1,-1,1,1,109.06,73230280,3.3413099353008917,1,-0.01124206708975517,-1,0.3468516542155822,-1,1,1,98.35,17405900,1.2847535882766248,1,-0.011259676284306908,-1,99.47,0.16085251834723693,1,-1,1,1,594.97,2309500,0.3867532815429858,1,0.00013447864311055824,1,594.89,0.4017549462925896,1,1,1,1,246.649994,3703200,1.5212061381121011,1,-0.007164992352594157,-1,248.42999300000002,0.8171372447770288,1,-1,1,1,16001.759766,16118.889647999998,15942.370116999999,16049.129883000001,121160000,0.2960306722055198,1,-1.0,-1.9086934338467194,4297.189941,4377.220215,4278.569824,4343.72998,148574600,1.0830342535235968,1,9346.040039,9536.629883,9325.049805,9450.400391,116110100,1.1166264167980813,1,1.0626,1,0.7353000000000001,1,-0.9176,0.414,1.5859999999999999,0.0,-1,1.0957,1,0.4588,1
9,2015-09-30,89.9,36169100,-1.6508367254636003,-1,0.03726779739240804,1,86.67,2.042229145032879,1,1,-1,1,511.89,4004700,-1.2761158594491906,-1,0.03189066059225509,1,496.07,1.888846332170864,1,1,-1,1,110.3,66300930,-0.11799945538712485,-1,0.006570542069720631,1,1.017788373372455,1,-1,1,103.26,17027600,-3.3530177159443584,-1,0.04992374173868841,1,98.35,1.586171835282158,1,1,-1,1,608.42,2413400,-0.8520090173716991,-1,0.022606181824293525,1,594.97,1.3967090777686177,1,1,-1,1,248.399994,4929600,1.4285738095238125,1,0.007095074164080506,1,246.649994,2.1690679627585996,1,1,1,1,16057.080078,16297.599609,16057.080078,16284.700195,145740000,1.4175685485424192,1,1.0,0.2960306722055198,4433.759765999999,4474.720215,4413.080078,4455.290039,160356000,0.48559854697371574,1,9674.610352,9732.540039,9596.950195,9660.44043,113184200,-0.14646504080724898,-1,0.2338,1,0.7184,1,-0.4588,0.2,0.8,0.0,-1,0.7547999999999999,1,-0.3535,-1
