,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
0,2015-01-15,0.6486,1,-0.1027,-1,0.0,0.0,1.0,0.0,-1,0.4019,1,1.1457,1
1,2015-03-24,0.0,-1,-0.15200000000000002,-1,0.29600000000000004,0.0,0.82,0.18,1,0.7845,1,-0.3020999999999999,-1
2,2015-04-23,-0.4739,-1,0.7697,1,0.5849,0.125,0.486,0.389,1,0.5991,1,0.4215,1
3,2015-05-06,0.0,-1,0.0,-1,0.4588,0.0,0.7859999999999999,0.214,1,0.4697,1,0.2023,1
4,2015-07-17,-0.4164999999999999,-1,0.4588,1,0.7096,0.0,0.537,0.46299999999999997,1,0.0,-1,0.0,-1
5,2015-07-27,0.4881999999999999,1,1.2726,1,-0.0258,0.14800000000000002,0.71,0.142,-1,0.0,-1,0.0,-1
6,2015-08-06,-0.34,-1,0.6115,1,0.0,0.0,1.0,0.0,-1,-1.0206,-1,-0.022000000000000002,-1
7,2015-09-25,0.0,-1,0.1779,1,0.0,0.0,1.0,0.0,-1,0.6249,1,0.6369,1
8,2015-09-29,1.0626,1,0.7353000000000001,1,-0.9176,0.414,1.5859999999999999,0.0,-1,1.0957,1,0.4588,1
9,2015-09-30,0.2338,1,0.7184,1,-0.4588,0.2,0.8,0.0,-1,0.7547999999999999,1,-0.3535,-1
10,2015-10-02,0.5920000000000001,1,0.1779,1,0.0,0.0,1.0,0.0,-1,1.2094,1,2.4127,1
11,2015-10-09,0.0,-1,0.4588,1,0.8689,0.0,0.546,0.45399999999999996,1,-0.7608999999999999,-1,1.5125,1
12,2015-10-14,0.6808,1,0.3182,1,-0.5868,0.325,2.675,0.0,-1,0.6227999999999999,1,0.6808,1
13,2015-10-15,0.6696,1,2.2759,1,1.5545,0.0,4.338,0.662,1,0.0,-1,1.2855,1
14,2015-10-19,-0.29600000000000004,-1,-0.5106,-1,-0.9176,0.48100000000000004,1.519,0.0,-1,-0.4588,-1,0.7906,1
15,2015-10-21,1.0382,1,0.3212,1,-0.4588,0.25,0.75,0.0,-1,0.7096,1,2.8893,1
16,2015-10-23,1.1187,1,5.866200000000001,1,-1.8199,1.301,6.169,0.53,-1,0.0,-1,1.9091,1
17,2015-10-27,-0.4588,-1,0.7184,1,-0.4588,0.214,0.7859999999999999,0.0,-1,-0.0258,-1,0.765,1
18,2015-11-04,-0.6486,-1,0.16300000000000006,1,0.9897,0.382,11.864,0.754,1,0.1910000000000001,1,0.0,-1
19,2015-11-24,0.1483,1,-1.3794999999999995,-1,0.7184,0.0,0.647,0.353,1,-0.4588,-1,2.6176,1
20,2015-12-02,0.25960000000000005,1,0.1779,1,0.9084,0.0,1.645,0.355,1,-0.2263,-1,0.0,-1
21,2015-12-03,0.0,-1,0.0,-1,-0.4083,0.462,2.29,0.248,-1,-0.0993,-1,0.4404,1
22,2015-12-10,0.4588,1,2.241,1,0.4588,0.0,1.769,0.231,1,0.5096,1,0.4263,1
23,2015-12-21,0.128,1,0.7184,1,0.0,0.0,1.0,0.0,-1,-0.2732,-1,0.4588,1
24,2016-01-12,-0.5615,-1,2.1029,1,1.2177,0.0,1.361,0.639,1,0.29600000000000004,1,1.1496,1
25,2016-02-03,-0.3861,-1,0.06420000000000015,1,-1.2267,0.9640000000000001,3.699,0.337,-1,-0.3816,-1,-0.128,-1
26,2016-02-10,0.26670000000000005,1,2.009,1,-0.4588,0.273,0.727,0.0,-1,0.732,1,0.6369,1
27,2016-02-11,-0.9176,-1,0.802,1,0.6810999999999999,0.214,3.3289999999999997,0.457,1,0.10829999999999997,1,0.32,1
28,2016-02-23,-0.4588,-1,-2.2685,-1,-5.5368,3.2020000000000004,13.107000000000001,0.691,-1,0.6369,1,0.0,-1
29,2016-02-24,-0.3044,-1,0.29599999999999993,1,0.743,0.0,1.578,0.42200000000000004,1,0.29600000000000004,1,0.8402,1
30,2016-02-29,-0.7694,-1,1.9219,1,-0.1779,0.159,0.841,0.0,-1,0.0,-1,-0.4404,-1
31,2016-03-01,-0.4019,-1,1.9879,1,0.7506,0.0,0.584,0.41600000000000004,1,0.29600000000000004,1,1.0009,1
32,2016-03-04,-0.06969999999999997,-1,0.1779,1,-0.29600000000000004,0.196,1.804,0.0,-1,0.03760000000000008,1,0.0,-1
33,2016-03-18,0.4588,1,0.3558,1,-0.3818,0.302,1.6980000000000002,0.0,-1,0.8755999999999999,1,0.3182,1
