,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1,2012-05-21,34.03,168192700,6.8436901177114695,1,-0.10986136541982727,-1,38.23,-4.446769552707288,-1,-1,1,-1
2,2012-05-22,31.0,101786600,4.937135847899415,1,-0.089039083161916,-1,34.03,-4.17278871583897,-1,-1,1,-1
3,2012-05-23,32.0,73600000,-2.0082881734140865,-1,0.032258064516129004,1,31.0,1.1935483870967774,1,1,-1,1
4,2012-05-24,33.03,50237200,-0.24279210925644396,-1,0.032187500000000036,1,32.0,2.968750000000009,1,1,-1,1
5,2012-05-25,31.91,37149800,3.00911854103343,1,-0.03390856796851349,-1,33.03,-0.393581592491682,-1,-1,1,-1
6,2012-05-29,28.84,78063400,8.38627700127065,1,-0.09620808523973678,-1,31.91,-1.3475399561266053,-1,-1,1,-1
7,2012-05-30,28.19,57267900,1.7770034843205507,1,-0.022538141470180295,-1,28.84,-0.48543689320388544,-1,-1,1,-1
8,2012-05-31,29.6,111639200,-3.6777583187390563,-1,0.050017736786094336,1,28.19,1.2770485987938964,1,1,-1,1
9,2012-06-01,27.72,41855500,4.049844236760131,1,-0.06351351351351364,-1,29.6,-2.3986486486486513,-1,-1,1,-1
10,2012-06-04,26.9,35230300,1.102941176470591,1,-0.029581529581529598,-1,27.72,-1.8759018759018746,-1,-1,1,-1
11,2012-06-05,25.87,42473400,3.1086142322097317,1,-0.038289962825278745,-1,26.9,-0.743494423791819,-1,-1,1,-1
12,2012-06-06,26.81,61489200,-2.8385116992711867,-1,0.036335523772709655,1,25.87,0.7730962504831824,1,1,-1,1
13,2012-06-07,26.31,26159500,2.5555555555555602,1,-0.01864975755315179,-1,26.81,0.7086907870197736,1,-1,1,1
14,2012-06-08,27.1,38034000,-2.0715630885122436,-1,0.03002660585328787,1,26.31,0.9122006841505208,1,1,-1,1
15,2012-06-11,27.01,28219600,0.625459896983069,1,-0.0033210332103320583,-1,27.1,0.295202952029514,1,-1,1,1
16,2012-06-12,27.4,15816800,0.29112081513828914,1,0.01443909663087739,1,27.01,1.7400962606442016,1,1,1,1
17,2012-06-13,27.27,17102800,1.4099783080260324,1,-0.0047445255474452,-1,27.4,0.9489051094890568,1,-1,1,1
18,2012-06-14,28.29,16855000,-2.314647377938519,-1,0.037403740374037486,1,27.27,1.3934726806013897,1,1,-1,1
19,2012-06-15,30.01,43563800,-5.26131182041389,-1,0.06079886885825392,1,28.29,0.7776599505125572,1,1,-1,1
20,2012-06-18,31.41,42978900,-4.839786381842455,-1,0.04665111629456842,1,30.01,-0.1666111296234612,-1,1,-1,-1
21,2012-06-19,31.91,30849000,-1.173113506658215,-1,0.015918497293855527,1,31.41,0.4138809296402388,1,1,-1,1
22,2012-06-20,31.6,15553600,1.0025062656641612,1,-0.009714822939517309,-1,31.91,0.03133813851457713,1,-1,1,1
23,2012-06-21,31.84,21875300,-0.536785601515624,-1,0.0075949367088608,1,31.6,0.22151898734177303,1,1,-1,1
24,2012-06-22,33.05,74834000,-1.974699166923791,-1,0.03800251256281406,1,31.84,1.7902010050251154,1,1,-1,1
25,2012-06-25,32.06,24352900,2.434570906877654,1,-0.029954614220877307,-1,33.05,-0.5748865355521868,-1,-1,1,-1
26,2012-06-26,33.1,24858700,-1.2542061792597239,-1,0.032439176543979986,1,32.06,1.965065502183392,1,1,-1,1
27,2012-06-27,32.23,28568000,0.7085643869377818,1,-0.02628398791540798,-1,33.1,-1.9335347432024186,-1,-1,1,-1
28,2012-06-28,31.36,17713300,1.877346683354197,1,-0.026993484331368167,-1,32.23,-0.8377288240769347,-1,-1,1,-1
29,2012-06-29,31.1,19526900,2.5689223057644117,1,-0.008290816326530503,-1,31.36,1.785714285714293,1,-1,1,1
30,2012-07-02,30.77,14122000,1.5360000000000014,1,-0.010610932475884294,-1,31.1,0.4823151125401884,1,-1,1,1
31,2012-07-03,31.2,8763600,-0.9382076997735334,-1,0.013974650633734154,1,30.77,0.4549886252843698,1,1,-1,1
32,2012-07-05,31.47,10032100,-0.47892720306512954,-1,0.008653846153846123,1,31.2,0.3846153846153878,1,1,-1,1
33,2012-07-06,31.73,10945600,-0.9223918575063587,-1,0.008261836669844369,1,31.47,-0.09532888465204191,-1,1,-1,-1
34,2012-07-09,32.17,17785200,-0.21806853582554603,-1,0.013867002836432496,1,31.73,1.1660888748818183,1,1,-1,1
35,2012-07-10,31.47,14269500,2.9602220166512514,1,-0.021759403170655944,-1,32.17,0.8082064034814982,1,-1,1,1
36,2012-07-11,30.97,13030300,1.6200762388818346,1,-0.015888147442008282,-1,31.47,0.03177629488402149,1,-1,1,1
37,2012-07-12,30.81,11300700,-0.3583061889250796,-1,-0.0051662899580239285,-1,30.97,-0.8718114304165309,-1,-1,-1,-1
38,2012-07-13,30.72,8108300,1.0309278350515474,1,-0.0029211295034079487,-1,30.81,0.746510873093153,1,-1,1,1
39,2012-07-16,28.25,24672100,7.377049180327869,1,-0.08040364583333326,-1,30.72,-0.7161458333333297,-1,-1,1,-1
40,2012-07-17,28.09,30438600,1.369382022471912,1,-0.005663716814159336,-1,28.25,0.8141592920353997,1,-1,1,1
41,2012-07-18,29.11,16841800,-2.8258565877781727,-1,0.03631185475258092,1,28.09,0.783196867212527,1,1,-1,1
42,2012-07-19,29.0,13685100,1.3940836450187015,1,-0.0037787701820679587,-1,29.11,1.0305736860185528,1,-1,1,1
43,2012-07-20,28.76,11869100,0.8275862068965464,1,-0.008275862068965467,-1,29.0,0.0,-1,-1,1,-1
44,2012-07-23,28.75,12390700,-2.2403982930298683,-1,-0.0003477051460362146,-1,28.76,-2.2253129346314346,-1,-1,-1,-1
