,date,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target
1,2010-03-30,282.3,3970500,-0.6919674703952053,-1,0.007602527037156026,1,280.17,0.06781596887603873,1,1,-1,1
2,2010-03-31,282.5,6084200,-0.3659359789675534,-1,0.000708466170740385,1,282.3,-0.2940134608572384,-1,1,-1,-1
3,2010-04-01,283.34,4221100,0.4462246583043598,1,0.0029734513274335406,1,282.5,0.7469026548672615,1,1,1,1
4,2010-04-05,284.44,3817200,-0.021098530135734678,-1,0.003882261593844971,1,283.34,0.3670501870544295,1,1,-1,1
5,2010-04-06,283.05,4135600,0.21856382416187986,1,-0.004886795106173514,-1,284.44,-0.27070735480241237,-1,-1,1,-1
6,2010-04-07,280.72,5181200,0.6617360840793899,1,-0.008231761172937557,-1,283.05,-0.16251545663311653,-1,-1,1,-1
7,2010-04-08,282.69,3909500,-0.7412422935747065,-1,0.007017668851524439,1,280.72,-0.03918495297806128,-1,1,-1,-1
8,2010-04-09,282.05,4128600,0.2263964059570506,1,-0.0022639640595705224,-1,282.69,0.0,-1,-1,1,-1
9,2010-04-12,285.3,4722400,-0.948269761517234,-1,0.011522779648998505,1,282.05,0.2020918276901234,1,1,-1,1
10,2010-04-13,292.29,7853900,-2.485974754558216,-1,0.024500525762355396,1,285.3,-0.03505082369436478,-1,1,-1,-1
11,2010-04-14,293.4,6830900,0.1803150409961656,1,0.0037975982756850435,1,292.29,0.5610865920832003,1,1,1,1
12,2010-04-15,296.54,13574200,-0.5288494135195614,-1,0.010702113156101145,1,293.4,0.5385139740968101,1,1,-1,1
13,2010-04-16,274.05,24562600,2.2820467106436007,1,-0.07584137047278616,-1,296.54,-5.425912187226016,-1,-1,1,-1
14,2010-04-19,274.02,7817100,-0.24510700567037094,-1,-0.00010946907498643466,-1,274.05,-0.25542784163473403,-1,-1,-1,-1
15,2010-04-20,276.48,5977000,-0.1557688824488342,-1,0.008977446901686115,1,274.02,0.7408218378220677,1,1,-1,1
16,2010-04-21,276.12,4800800,0.3860168115732866,1,-0.0013020833333333703,-1,276.48,0.2567997685185111,1,-1,1,1
17,2010-04-22,272.51,6585900,0.8946430519693189,1,-0.013074025785890231,-1,276.12,-0.41648558597710317,-1,-1,1,-1
18,2010-04-23,271.48,4194300,0.41085840058694223,1,-0.0037796778099885575,-1,272.51,0.03302631096107733,1,-1,1,1
19,2010-04-26,264.83,8770300,2.4459424614137997,1,-0.02449535877412712,-1,271.48,-0.0036835125976097333,-1,-1,1,-1
20,2010-04-27,263.54,7718100,-0.01897605222210003,-1,-0.004871049352414669,-1,264.83,-0.5059849714911359,-1,-1,-1,-1
21,2010-04-28,263.61,6837700,0.547045951859952,1,0.0002656143279957668,1,263.54,0.5767625407907648,1,1,1,1
22,2010-04-29,265.01,6140700,0.2559373706198979,1,0.0053108759151776486,1,263.61,0.7890444216835416,1,1,1,1
23,2010-04-30,261.87,4888900,1.0205238689193743,1,-0.011848609486434403,-1,265.01,-0.16603147051054593,-1,-1,1,-1
24,2010-05-03,264.31,3729500,-0.7778243794562933,-1,0.009317600336044674,1,261.87,0.15274754649252578,1,1,-1,1
25,2010-05-04,252.24,12198000,3.8279701082812125,1,-0.045666073928341655,-1,264.31,-0.7680375316862886,-1,-1,1,-1
26,2010-05-05,253.93,9198600,-1.7551592867160872,-1,0.006699968284173741,1,252.24,-1.0664446558832847,-1,1,-1,-1
27,2010-05-06,248.4,10037600,1.984768969735233,1,-0.021777655259323403,-1,253.93,-0.1969046587642264,-1,-1,1,-1
28,2010-05-07,245.65,10216000,1.3651877133105825,1,-0.01107085346215786,-1,248.4,0.2616747181964596,1,-1,1,1
29,2010-05-10,259.85,8286800,-1.4920126547670391,-1,0.057805821290453974,1,245.65,4.225524119682462,1,1,-1,1
30,2010-05-11,253.57,6670000,1.2846965391053884,1,-0.024167789109101556,-1,259.85,-1.146815470463736,-1,-1,1,-1
31,2010-05-12,251.75,7732400,1.2977338665412068,1,-0.00717750522538152,-1,253.57,0.5876089442757461,1,-1,1,1
32,2010-05-13,254.49,6676400,1.0882661588091302,1,0.010883813306852064,1,251.75,2.2005958291956387,1,1,1,1
33,2010-05-14,252.82,8262800,0.43712834245658794,1,-0.006562143895634476,-1,254.49,-0.22004793901528635,-1,-1,1,-1
34,2010-05-17,253.04,5608400,-0.23768024084930847,-1,0.000870184320860723,1,252.82,-0.15030456451229945,-1,1,-1,-1
35,2010-05-18,248.25,5672100,2.2830151544971504,1,-0.01892981346822631,-1,253.04,0.399146380018977,1,-1,1,1
36,2010-05-19,246.29,6917100,0.3681229773462769,1,-0.007895266868076622,-1,248.25,-0.4229607250755333,-1,-1,1,-1
37,2010-05-20,236.62,9863400,2.073418035839917,1,-0.03926265784238092,-1,246.29,-1.8920784441105998,-1,-1,1,-1
38,2010-05-21,235.14,19454100,-0.6377059704686414,-1,-0.0062547544586256665,-1,236.62,-1.2551770771701456,-1,-1,-1,-1
39,2010-05-24,237.69,8723600,0.7433081388065316,1,0.010844603215105941,1,235.14,1.841456153780732,1,1,1,1
40,2010-05-25,237.64,6057300,-1.9039451114922803,-1,-0.0002103580293659757,-1,237.69,-1.8890151037065124,-1,-1,-1,-1
41,2010-05-26,236.85,6977200,1.3659267896556038,1,-0.0033243561689950685,-1,237.64,1.047803400100997,1,-1,1,1
42,2010-05-27,244.31,5639200,-1.1342468021691472,-1,0.03149672788684832,1,236.85,1.992822461473506,1,1,-1,1
