,date,msft_close,msft_vol,msft_intra_perc_change,msft_intra_returns,msft_pct_change,msft_pct_returns,msft_previous_close,msft_opening_change,msft_opening_returns,msft_target,msft_intra_target,msft_open_target
1,2010-03-30,29.77,34954800,-0.4724940938238291,-1,0.006083136194660277,1,29.59,0.13518080432578286,1,1,-1,1
2,2010-03-31,29.29,63760000,1.1808367071525014,1,-0.016123614376889472,-1,29.77,-0.43668122270742027,-1,-1,1,-1
3,2010-04-01,29.16,74768100,0.6473594548552003,1,-0.004438374871969963,-1,29.29,0.2048480710140057,1,-1,1,1
4,2010-04-05,29.27,34331200,-0.4806041881222128,-1,0.0037722908093278384,1,29.16,-0.10288065843621788,-1,1,-1,-1
5,2010-04-06,29.32,47366800,-0.5831903945111551,-1,0.001708233686368299,1,29.27,-0.40997608472839425,-1,1,-1,-1
6,2010-04-07,29.35,58318800,-0.6515775034293596,-1,0.0010231923601637938,1,29.32,-0.5457025920873129,-1,1,-1,-1
7,2010-04-08,29.92,63713800,-2.0463847203274264,-1,0.019420783645655915,1,29.35,-0.10221465076661375,-1,1,-1,-1
8,2010-04-09,30.34,54752500,-1.3021702838063458,-1,0.014037433155080103,1,29.92,0.1002673796791363,1,1,-1,1
9,2010-04-12,30.32,37068800,-0.23140495867768687,-1,-0.0006591957811470373,-1,30.34,-0.29663810151614983,-1,-1,-1,-1
10,2010-04-13,30.45,41374600,-0.9950248756218929,-1,0.004287598944590965,1,30.32,-0.5606860158311402,-1,1,-1,-1
11,2010-04-14,30.82,68941200,-0.0974342318934756,-1,0.012151067323481257,1,30.45,1.1165845648604265,1,1,-1,1
12,2010-04-15,30.87,52745400,-0.16223231667748444,-1,0.0016223231667749083,1,30.82,0.0,-1,1,-1,-1
13,2010-04-16,30.67,88703100,0.38973692757387934,1,-0.006478781988985993,-1,30.87,-0.25915127955944883,-1,-1,1,-1
14,2010-04-19,31.04,64970300,-0.8774780630484225,-1,0.012063906097163235,1,30.67,0.3260515161395431,1,1,-1,1
15,2010-04-20,31.36,52199500,-0.4484304932735444,-1,0.010309278350515427,1,31.04,0.5798969072164939,1,1,-1,1
16,2010-04-21,31.33,55343100,0.0,-1,-0.000956632653061229,-1,31.36,-0.09566326530612608,-1,-1,-1,-1
17,2010-04-22,31.39,84847600,-1.1275773195876335,-1,0.0019150973507819913,1,31.33,-0.9256303862112965,-1,1,-1,-1
18,2010-04-23,30.96,126766600,0.5141388174807203,1,-0.013698630136986245,-1,31.39,-0.8601465434851849,-1,-1,1,-1
19,2010-04-26,31.11,63649300,-0.3548387096774175,-1,0.004844961240310086,1,30.96,0.12919896640826598,1,1,-1,1
20,2010-04-27,30.85,68730900,0.32310177705976695,1,-0.008357441337190519,-1,31.11,-0.5143040822886537,-1,-1,1,-1
21,2010-04-28,30.91,64557900,0.0323415265200568,1,0.0019448946515396859,1,30.85,0.2269043760129669,1,1,1,1
22,2010-04-29,31.0,52665200,-0.22631749110895663,-1,0.002911679068262618,1,30.91,0.06470397929472524,1,1,-1,1
23,2010-04-30,30.54,63214800,1.705825555197944,1,-0.014838709677419404,-1,31.0,0.22580645161290416,1,-1,1,1
24,2010-05-03,30.86,43989500,-0.6194978806651377,-1,0.010478061558611751,1,30.54,0.42567125081860696,1,1,-1,1
25,2010-05-04,30.13,82085600,1.2778505897771972,1,-0.023655217109526894,-1,30.86,-1.1017498379779647,-1,-1,1,-1
26,2010-05-05,29.85,66833800,-0.26872690628149765,-1,-0.009293063391968004,-1,30.13,-1.1948224361101873,-1,-1,-1,-1
27,2010-05-06,28.98,128613000,2.0615072659682308,1,-0.029145728643216073,-1,29.85,-0.8710217755443938,-1,-1,1,-1
28,2010-05-07,28.21,173718100,2.488765986864842,1,-0.02657004830917875,-1,28.98,-0.17253278122843585,-1,-1,1,-1
29,2010-05-10,28.94,86653300,0.24129610479145222,1,0.02587734845799372,1,28.21,2.8358738036157414,1,1,1,1
30,2010-05-11,28.88,63789400,-0.6973500697350046,-1,-0.0020732550103663705,-1,28.94,-0.8984105044920578,-1,-1,-1,-1
31,2010-05-12,29.44,47146800,-1.5873015873015903,-1,0.01939058171745156,1,28.88,0.34626038781163926,1,1,-1,1
32,2010-05-13,29.24,45188800,0.06835269993165799,1,-0.006793478260869623,-1,29.44,-0.6114130434782599,-1,-1,1,-1
33,2010-05-14,28.93,63334000,0.9246575342465739,1,-0.010601915184678457,-1,29.24,-0.1367989056087522,-1,-1,1,-1
34,2010-05-17,28.94,46053300,0.6181318681318672,1,0.0003456619426200902,1,28.93,0.6567576909782278,1,1,1,1
35,2010-05-18,28.6,52690600,0.935226879113265,1,-0.011748445058742174,-1,28.94,-0.24187975120939972,-1,-1,1,-1
36,2010-05-19,28.24,61746700,0.9817671809256702,1,-0.012587412587412694,-1,28.6,-0.2797202797202862,-1,-1,1,-1
37,2010-05-20,27.11,87991100,1.9529837251356208,1,-0.04001416430594895,-1,28.24,-2.0892351274787533,-1,-1,1,-1
38,2010-05-21,26.84,117596300,-0.788584303417202,-1,-0.00995942456658061,-1,27.11,-1.7705643673921079,-1,-1,-1,-1
39,2010-05-24,26.27,73711700,2.1601489757914405,1,-0.021236959761549934,-1,26.84,0.037257824143075866,1,-1,1,1
40,2010-05-25,26.07,98373600,-1.6374269005848021,-1,-0.007613247049866767,-1,26.27,-2.360106585458702,-1,-1,-1,-1
41,2010-05-26,25.01,176684100,4.65116279069767,1,-0.04065976217874945,-1,26.07,0.6137322593018801,1,-1,1,1
42,2010-05-27,26.0,136433600,-1.0493587252234728,-1,0.03958416633346662,1,25.01,2.8788484606157487,1,1,-1,1
43,2010-05-28,25.8,67496900,0.1547987616099038,1,-0.007692307692307665,-1,26.0,-0.6153846153846159,-1,-1,1,-1
44,2010-06-01,25.89,76152400,-1.4101057579318428,-1,0.0034883720930232176,1,25.8,-1.046511627906975,-1,1,-1,-1
45,2010-06-02,26.46,65718800,-1.53491941673063,-1,0.022016222479722014,1,25.89,0.6566241792197688,1,1,-1,1
46,2010-06-03,26.86,67837000,-1.1676082862523494,-1,0.015117157974300799,1,26.46,0.3401360544217682,1,1,-1,1
47,2010-06-04,25.79,89832200,1.1877394636015413,1,-0.03983618763961283,-1,26.86,-2.8294862248696875,-1,-1,1,-1
48,2010-06-07,25.29,80456200,2.05267234701782,1,-0.019387359441644048,-1,25.79,0.11632415664986868,1,-1,1,1
49,2010-06-08,25.11,87355000,0.5544554455445567,1,-0.007117437722419906,-1,25.29,-0.1581652827204395,-1,-1,1,-1
50,2010-06-09,24.79,87794000,1.704996034892941,1,-0.012743926722421306,-1,25.11,0.43807248108323155,1,-1,1,1
51,2010-06-10,25.0,78930900,0.5173099880620733,1,0.008471157724889045,1,24.79,1.3715207745058486,1,1,1,1
52,2010-06-11,25.66,68057700,-2.476038338658151,-1,0.02639999999999998,1,25.0,0.1599999999999966,1,1,-1,1
53,2010-06-14,25.5,50972400,1.3921113689095106,1,-0.00623538581449723,-1,25.66,0.7794232268121563,1,-1,1,1
54,2010-06-15,26.58,81641500,-3.2233009708737796,-1,0.04235294117647048,1,25.5,0.9803921568627451,1,1,-1,1
55,2010-06-16,26.32,48698000,0.5666792595390956,1,-0.009781790820165503,-1,26.58,-0.41384499623777066,-1,-1,1,-1
56,2010-06-17,26.37,47995500,0.715361445783124,1,0.0018996960486321601,1,26.32,0.9118541033434591,1,1,1,1
57,2010-06-18,26.44,52075600,-0.2654531664770583,-1,0.0026545316647705874,1,26.37,0.0,-1,1,-1,-1
58,2010-06-21,25.95,54625300,3.099327856609417,1,-0.01853252647503789,-1,26.44,1.2859304084720116,1,-1,1,1
59,2010-06-22,25.77,55985400,1.4908256880733965,1,-0.006936416184971095,-1,25.95,0.8092485549132981,1,-1,1,1
60,2010-06-23,25.31,61466200,1.82311869666409,1,-0.017850213426464867,-1,25.77,0.03880481179666886,1,-1,1,1
61,2010-06-24,25.0,85243400,1.8067556952081727,1,-0.012248123271434208,-1,25.31,0.592651126037148,1,-1,1,1
62,2010-06-25,24.53,156256700,2.075848303393212,1,-0.018799999999999928,-1,25.0,0.20000000000000281,1,-1,1,1
63,2010-06-28,24.31,73784800,0.815993472052235,1,-0.008968609865470989,-1,24.53,-0.08153281695882418,-1,-1,1,-1
64,2010-06-29,23.31,119882100,3.398259428097805,1,-0.0411353352529823,-1,24.31,-0.7404360345536805,-1,-1,1,-1
65,2010-06-30,23.01,81050500,1.2446351931330435,1,-0.01287001287001277,-1,23.31,-0.042900042900034366,-1,-1,1,-1
66,2010-07-01,23.16,92239400,-0.3031615417929852,-1,0.006518904823989535,1,23.01,0.34767492394610294,1,1,-1,1
67,2010-07-02,23.27,62485100,0.38527397260273916,1,0.004749568221070755,1,23.16,0.8635578583765081,1,1,1,1
68,2010-07-06,23.82,73592000,-0.5063291139240548,-1,0.023635582294800228,1,23.27,1.8478727975934666,1,1,-1,1
69,2010-07-07,24.3,79965300,-2.0151133501259464,-1,0.02015113350125941,1,23.82,0.0,-1,1,-1,-1
70,2010-07-08,24.41,50758100,0.7723577235772409,1,0.004526748971193317,1,24.3,1.2345679012345707,1,1,1,1
71,2010-07-09,24.27,53806100,0.24660912453760264,1,-0.005735354362966016,-1,24.41,-0.32773453502663596,-1,-1,1,-1
72,2010-07-12,24.83,49854200,-1.6373311502251273,-1,0.02307375360527386,1,24.27,0.6592501030078292,1,1,-1,1
73,2010-07-13,25.13,61928700,0.039777247414485135,1,0.012082158679017407,1,24.83,1.248489730165132,1,1,1,1
74,2010-07-14,25.44,72808100,0.23529411764705382,1,0.01233585356148037,1,25.13,1.4723438121766852,1,1,1,1
75,2010-07-15,25.51,56934700,-0.03921568627451593,-1,0.0027515723270439274,1,25.44,0.23584905660376854,1,1,-1,1
76,2010-07-16,24.89,65064800,2.4304194433555506,1,-0.02430419443355547,-1,25.51,0.0,-1,-1,1,-1
