,date,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target
1,2010-03-30,10.72,7662200,-0.1869158878504799,-1,0.015151515151515138,1,10.56,1.3257575757575641,1,1,-1,1
2,2010-03-31,10.53,5714800,0.7540056550424135,1,-0.017723880597015018,-1,10.72,-1.026119402985086,-1,-1,1,-1
3,2010-04-01,10.71,13577200,-1.8060836501901263,-1,0.017094017094017255,1,10.53,-0.09496676163342628,-1,1,-1,-1
4,2010-04-05,11.43,16663500,-5.833333333333323,-1,0.0672268907563025,1,10.71,0.8403361344537801,1,1,-1,1
5,2010-04-06,11.91,27422500,-3.655352480417754,-1,0.04199475065616798,1,11.43,0.5249343832021041,1,1,-1,1
6,2010-04-07,11.39,25214700,2.89855072463768,1,-0.04366078925272876,-1,11.91,-1.511335012594456,-1,-1,1,-1
7,2010-04-08,11.69,13912500,-3.268551236749109,-1,0.026338893766461702,1,11.39,-0.6145741878841113,-1,1,-1,-1
8,2010-04-09,11.77,11563300,-1.640759930915367,-1,0.006843455945252375,1,11.69,-0.9409751924721937,-1,1,-1,-1
9,2010-04-12,11.88,9430400,-1.0204081632653146,-1,0.009345794392523477,1,11.77,-0.08496176720475605,-1,1,-1,-1
10,2010-04-13,12.34,17424400,-3.6974789915966344,-1,0.03872053872053871,1,11.88,0.16835016835016475,1,1,-1,1
11,2010-04-14,12.51,18056500,-0.7246376811594192,-1,0.013776337115072979,1,12.34,0.6482982171799033,1,1,-1,1
12,2010-04-15,12.4,11999400,0.4815409309791372,1,-0.008792965627497984,-1,12.51,-0.3996802557953552,-1,-1,1,-1
13,2010-04-16,12.19,10971800,1.2955465587044546,1,-0.01693548387096777,-1,12.4,-0.4032258064516186,-1,-1,1,-1
14,2010-04-19,12.11,13470800,0.5747126436781632,1,-0.00656275635767023,-1,12.19,-0.08203445447087603,-1,-1,1,-1
15,2010-04-20,12.44,12414500,-2.3868312757201573,-1,0.02725020644095788,1,12.11,0.33030553261767903,1,1,-1,1
16,2010-04-21,12.43,24311700,1.661392405063298,1,-0.000803858520900258,-1,12.44,1.6077170418006517,1,-1,1,1
17,2010-04-22,14.32,90442100,-10.153846153846157,-1,0.1520514883346742,1,12.43,4.585679806918748,1,1,-1,1
18,2010-04-23,14.25,29817900,0.2799160251924363,1,-0.004888268156424624,-1,14.32,-0.20949720670391855,-1,-1,1,-1
19,2010-04-26,15.45,47215000,-7.6655052264808345,-1,0.08421052631578951,1,14.25,0.7017543859649098,1,1,-1,1
20,2010-04-27,14.58,34263600,2.864756828780811,1,-0.05631067961165048,-1,15.45,-2.847896440129447,-1,-1,1,-1
21,2010-04-28,14.2,22770300,2.0689655172413843,1,-0.026063100137174278,-1,14.58,-0.5486968449931418,-1,-1,1,-1
22,2010-04-29,14.74,18078200,-2.36111111111111,-1,0.03802816901408468,1,14.2,1.4084507042253596,1,1,-1,1
23,2010-04-30,14.13,13059200,4.784366576819401,1,-0.04138398914518315,-1,14.74,0.6784260515603775,1,-1,1,1
24,2010-05-03,14.57,13974100,-2.0308123249299785,-1,0.03113941967445144,1,14.13,1.0615711252653826,1,1,-1,1
25,2010-05-04,14.19,15383900,0.6997900629811032,1,-0.026080988332189525,-1,14.57,-1.9217570350034394,-1,-1,1,-1
26,2010-05-05,14.03,14749700,-0.7178750897343836,-1,-0.01127554615926707,-1,14.19,-1.8322762508809005,-1,-1,-1,-1
27,2010-05-06,13.85,24448900,0.1441961067051159,1,-0.01282965074839626,-1,14.03,-1.1404133998574495,-1,-1,1,-1
28,2010-05-07,13.01,25908400,6.132756132756131,1,-0.06064981949458481,-1,13.85,0.07220216606498042,1,-1,1,1
29,2010-05-10,13.93,18567500,-1.3090909090909069,-1,0.07071483474250573,1,13.01,5.687932359723292,1,1,-1,1
30,2010-05-11,14.26,23100700,-4.3923865300146385,-1,0.023689877961234673,1,13.93,-1.9382627422828396,-1,1,-1,-1
31,2010-05-12,15.4,27244700,-5.987611837577433,-1,0.07994389901823284,1,14.26,1.8934081346423535,1,1,-1,1
32,2010-05-13,15.72,71549800,-1.4848289218850899,-1,0.020779220779220786,1,15.4,0.5844155844155835,1,1,-1,1
33,2010-05-14,14.37,34964300,4.644990046449907,1,-0.08587786259541996,-1,15.72,-4.1348600508905875,-1,-1,1,-1
34,2010-05-17,15.19,31577700,-4.758620689655169,-1,0.057063326374391155,1,14.37,0.9046624913013277,1,1,-1,1
35,2010-05-18,14.57,27498100,3.253652058432936,1,-0.04081632653061218,-1,15.19,-0.8558262014483148,-1,-1,1,-1
36,2010-05-19,14.37,22927100,0.41580041580041927,1,-0.013726835964310347,-1,14.57,-0.9608785175017197,-1,-1,1,-1
37,2010-05-20,13.57,28922600,1.808972503617945,1,-0.05567153792623514,-1,14.37,-3.8274182324286636,-1,-1,1,-1
38,2010-05-21,14.21,30009000,-8.805513016845332,-1,0.04716285924834196,1,13.57,-3.7582903463522457,-1,1,-1,-1
39,2010-05-24,14.52,18433100,-0.276243093922646,-1,0.02181562280084437,1,14.21,1.9000703729767736,1,1,-1,1
40,2010-05-25,15.0,23362500,-7.681263460157934,-1,0.03305785123966953,1,14.52,-4.0633608815427,-1,1,-1,-1
41,2010-05-26,14.97,33401900,2.4755700325732835,1,-0.0020000000000000018,-1,15.0,2.333333333333331,1,-1,1,1
42,2010-05-27,15.55,19626600,-0.7777057679844523,-1,0.03874415497661987,1,14.97,3.0728122912491584,1,1,-1,1
43,2010-05-28,15.88,28188300,-2.1221864951768494,-1,0.021221864951768588,1,15.55,0.0,-1,1,-1,-1
44,2010-06-01,15.33,15894900,1.7937219730941663,1,-0.0346347607052897,-1,15.88,-1.7002518891687741,-1,-1,1,-1
45,2010-06-02,15.83,18494000,-1.7352185089974266,-1,0.032615786040443684,1,15.33,1.5003261578604072,1,1,-1,1
46,2010-06-03,15.98,18261600,0.0625390869293295,1,0.009475679090334754,1,15.83,1.0107391029690471,1,1,1,1
47,2010-06-04,15.68,21744100,0.1273885350318444,1,-0.018773466833541974,-1,15.98,-1.7521902377972538,-1,-1,1,-1
48,2010-06-07,15.59,26215700,0.6373486297004438,1,-0.005739795918367374,-1,15.68,0.06377551020408027,1,-1,1,1
49,2010-06-08,15.76,24122700,0.6931316950220506,1,0.010904425914047389,1,15.59,1.796023091725461,1,1,1,1
50,2010-06-09,16.49,39731300,-2.168525402726133,-1,0.04631979695431454,1,15.76,2.4111675126903607,1,1,-1,1
51,2010-06-10,16.95,24768100,-0.5338078291814938,-1,0.027895694360218437,1,16.49,2.2437841115827837,1,1,-1,1
52,2010-06-11,17.24,28693700,-2.741358760429066,-1,0.017109144542772903,1,16.95,-1.0029498525073637,-1,1,-1,-1
53,2010-06-14,18.12,34783000,-2.7793533749291095,-1,0.05104408352668233,1,17.24,2.2621809744779617,1,1,-1,1
54,2010-06-15,17.64,31710700,1.2318029115341482,1,-0.026490066225165587,-1,18.12,-1.4348785871964764,-1,-1,1,-1
55,2010-06-16,17.81,30639700,-1.5393386545039884,-1,0.009637188208616587,1,17.64,-0.5668934240362893,-1,1,-1,-1
56,2010-06-17,17.98,18610900,-0.22296544035673993,-1,0.009545199326221221,1,17.81,0.7299270072992845,1,1,-1,1
57,2010-06-18,18.06,17446100,-0.38910505836576037,-1,0.004449388209121219,1,17.98,0.0556173526140045,1,1,-1,1
58,2010-06-21,17.0,26078500,5.607995558023329,1,-0.058693244739756345,-1,18.06,-0.276854928017703,-1,-1,1,-1
59,2010-06-22,16.63,27733300,2.577621558289404,1,-0.02176470588235302,-1,17.0,0.41176470588235464,1,-1,1,1
60,2010-06-23,16.82,14732900,0.0,-1,0.011425135297654876,1,16.63,1.1425135297654918,1,1,-1,1
61,2010-06-24,16.46,13636700,1.4371257485029847,1,-0.021403091557669396,-1,16.82,-0.713436385255654,-1,-1,1,-1
62,2010-06-25,16.85,18129300,-2.1831412977562343,-1,0.0236938031591738,1,16.46,0.18226002430132188,1,1,-1,1
63,2010-06-28,16.8,11553500,0.884955752212381,1,-0.0029673590504450953,-1,16.85,0.5934718100890081,1,-1,1,1
64,2010-06-29,16.08,20429500,2.486355366889025,1,-0.04285714285714304,-1,16.8,-1.8452380952381089,-1,-1,1,-1
65,2010-06-30,15.52,26104400,1.2094207511139483,1,-0.03482587064676612,-1,16.08,-2.3009950248756064,-1,-1,1,-1
66,2010-07-01,15.67,22759800,-0.8365508365508416,-1,0.009664948453608213,1,15.52,0.12886597938144057,1,1,-1,1
67,2010-07-02,15.3,11218200,3.2258064516129017,1,-0.02361199744735154,-1,15.67,0.8934269304403355,1,-1,1,1
68,2010-07-06,15.32,15773800,1.9833653230966122,1,0.0013071895424836555,1,15.3,2.1568627450980395,1,1,1,1
69,2010-07-07,16.93,28483700,-8.874598070739543,-1,0.10509138381201044,1,15.32,1.5013054830287234,1,1,-1,1
70,2010-07-08,16.71,26282900,2.565597667638471,1,-0.012994683992911926,-1,16.93,1.2994683992911924,1,-1,1,1
71,2010-07-09,16.79,12726000,-1.1445783132529983,-1,0.004787552363853864,1,16.71,-0.6582884500299188,-1,1,-1,-1
72,2010-07-12,17.05,13410600,-1.1869436201780372,-1,0.015485407980941224,1,16.79,0.35735556879096053,1,1,-1,1
73,2010-07-13,17.27,17581200,0.4610951008645639,1,0.012903225806451646,1,17.05,1.7595307917888603,1,1,1,1
74,2010-07-14,17.57,13643700,-2.03252032520326,-1,0.01737116386797921,1,17.27,-0.2895193977996567,-1,1,-1,-1
75,2010-07-15,17.3,15295700,0.4602991944763999,1,-0.015367103016505346,-1,17.57,-1.0813887307911285,-1,-1,1,-1
76,2010-07-16,16.91,14473200,1.9141531322505703,1,-0.02254335260115614,-1,17.3,-0.34682080924856806,-1,-1,1,-1
77,2010-07-19,16.99,13239100,-1.0107015457788238,-1,0.004730928444707239,1,16.91,-0.5322294500295675,-1,1,-1,-1
78,2010-07-20,17.2,17623900,-2.747909199522108,-1,0.012360211889346662,1,16.99,-1.4714537963507948,-1,1,-1,-1
79,2010-07-21,17.09,33055400,2.0068807339449624,1,-0.006395348837209269,-1,17.2,1.395348837209314,1,-1,1,1
80,2010-07-22,14.79,95617900,5.434782608695661,1,-0.13458162668227036,-1,17.09,-8.484493856056169,-1,-1,1,-1
81,2010-07-23,15.39,33507600,-2.6000000000000036,-1,0.04056795131845847,1,14.79,1.4198782961460505,1,1,-1,1
82,2010-07-26,14.68,32959500,5.290322580645164,1,-0.046133853151397064,-1,15.39,0.7147498375568514,1,-1,1,1
83,2010-07-27,14.87,22699600,0.8666666666666718,1,0.012942779291553075,1,14.68,2.1798365122615824,1,1,1,1
84,2010-07-28,14.33,34626900,3.3715441672285906,1,-0.03631472763954269,-1,14.87,-0.2689979825151254,-1,-1,1,-1
85,2010-07-29,14.0,35392700,2.506963788300832,1,-0.023028611304954594,-1,14.33,0.20935101186321955,1,-1,1,1
86,2010-07-30,14.65,30704800,-2.879213483146068,-1,0.046428571428571486,1,14.0,1.7142857142857157,1,1,-1,1
87,2010-08-02,14.55,24295600,2.086137281292051,1,-0.0068259385665528916,-1,14.65,1.4334470989761028,1,-1,1,1
88,2010-08-03,14.92,30139200,-3.3240997229916927,-1,0.02542955326460472,1,14.55,-0.7560137457044755,-1,1,-1,-1
89,2010-08-04,15.45,24243100,-2.9999999999999956,-1,0.03552278820375321,1,14.92,0.5361930294906171,1,1,-1,1
90,2010-08-05,15.79,24296300,-3.067885117493465,-1,0.022006472491909346,1,15.45,-0.8414239482200584,-1,1,-1,-1
91,2010-08-06,16.9,48693400,-8.821635544108174,-1,0.07029765674477506,1,15.79,-1.6466117796073452,-1,1,-1,-1
92,2010-08-09,16.7,21420000,0.9489916963226581,1,-0.011834319526627168,-1,16.9,-0.23668639053253934,-1,-1,1,-1
93,2010-08-10,17.86,90987400,-10.246913580246915,-1,0.06946107784431144,1,16.7,-2.9940119760479043,-1,1,-1,-1
94,2010-08-11,18.07,71350300,-3.6718301778542775,-1,0.011758118701007847,1,17.86,-2.407614781634937,-1,1,-1,-1
95,2010-08-12,19.01,71959300,-6.917885264341959,-1,0.05201992252351961,1,18.07,-1.6048699501936863,-1,1,-1,-1
96,2010-08-13,18.89,47224800,0.15856236786469946,1,-0.006312467122567167,-1,19.01,-0.47343503419252947,-1,-1,1,-1
97,2010-08-16,19.6,42668500,-4.199893673577899,-1,0.03758602435150871,1,18.89,-0.42350449973531945,-1,1,-1,-1
98,2010-08-17,19.0,59518900,4.66633216256899,1,-0.030612244897959218,-1,19.6,1.6836734693877462,1,-1,1,1
99,2010-08-18,17.96,59725400,2.5501899077590826,1,-0.054736842105263084,-1,19.0,-3.0000000000000018,-1,-1,1,-1
100,2010-08-19,18.32,46575900,-3.6199095022624466,-1,0.020044543429843964,1,17.96,-1.5590200445434361,-1,1,-1,-1
101,2010-08-20,18.57,24221400,-1.8092105263157996,-1,0.013646288209606894,1,18.32,-0.4366812227074336,-1,1,-1,-1
102,2010-08-23,18.13,26871600,2.7360515021459313,1,-0.023694130317716833,-1,18.57,0.37695207323640434,1,-1,1,1
103,2010-08-24,17.33,36478400,3.4002229654403733,1,-0.044125758411472704,-1,18.13,-1.0479867622724641,-1,-1,1,-1
104,2010-08-25,17.75,20053600,-3.5589264877479545,-1,0.024235429890363536,1,17.33,-1.0963646855164326,-1,1,-1,-1
105,2010-08-26,17.98,28499100,0.0,-1,0.012957746478873267,1,17.75,1.2957746478873262,1,1,-1,1
106,2010-08-27,18.01,21134400,0.22160664819944123,1,0.0016685205784205959,1,17.98,0.3893214682981106,1,1,1,1
107,2010-08-30,17.59,18643100,1.6769144773616584,1,-0.023320377568017858,-1,18.01,-0.6662965019433703,-1,-1,1,-1
108,2010-08-31,17.93,24219300,-2.9867892016082687,-1,0.01932916429789655,1,17.59,-1.0233086981239325,-1,1,-1,-1
109,2010-09-01,19.27,58268000,-3.048128342245991,-1,0.07473508087005021,1,17.93,4.294478527607359,1,1,-1,1
110,2010-09-02,19.71,36800400,-2.709744658676392,-1,0.02283341982356002,1,19.27,-0.4151530877010809,-1,1,-1,-1
111,2010-09-03,19.78,34800500,1.0999999999999943,1,0.003551496702181689,1,19.71,1.4713343480466723,1,1,1,1
112,2010-09-07,20.26,32400200,-2.842639593908641,-1,0.02426693629929222,1,19.78,-0.4044489383215462,-1,1,-1,-1
113,2010-09-08,20.86,38980200,-1.7064846416382147,-1,0.029615004935834133,1,20.26,1.2339585389930896,1,1,-1,1
114,2010-09-09,20.81,27959400,1.7932987258140753,1,-0.0023969319271333056,-1,20.86,1.5819750719079668,1,-1,1,1
115,2010-09-10,20.88,18475100,0.3341288782816243,1,0.0033637674195099443,1,20.81,0.672753483901973,1,1,1,1
116,2010-09-13,21.13,23407300,0.9840674789128436,1,0.011973180076628287,1,20.88,2.203065134099621,1,1,1,1
117,2010-09-14,20.95,20414100,0.7109004739336593,1,-0.008518693800283916,-1,21.13,-0.14197823000472118,-1,-1,1,-1
118,2010-09-15,20.45,24116400,2.340019102196762,1,-0.023866348448687402,-1,20.95,-0.04773269689736521,-1,-1,1,-1
119,2010-09-16,20.07,28531300,1.5693967631191776,1,-0.018581907090464478,-1,20.45,-0.2933985330073287,-1,-1,1,-1
