,close,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment,lag_1_tsla_close,lag_1_tsla_sentiment,lag_1_em_tweets3_sentiment,lag_2_tsla_close,lag_2_tsla_sentiment,lag_2_em_tweets3_sentiment,lag_3_close,lag_3_tsla_sentiment,lag_3_em_tweets3_sentiment
2014-11-12,253.98,0.0,0.0,0.0,0.0,258.68,-1.0,0.0,251.7,-1.0,0.0,249.1,0.0,0.0
2014-11-13,257.7,0.0,0.0,0.0,-1.0,253.98,0.0,0.0,258.68,-1.0,0.0,251.7,-1.0,0.0
2014-11-14,247.74,-0.4404,-1.0,-0.10329999999999996,-1.0,257.7,0.0,-1.0,253.98,0.0,0.0,258.68,-1.0,0.0
2014-11-15,248.71,0.0,0.0,0.0,0.0,247.74,-1.0,-1.0,257.7,0.0,-1.0,253.98,0.0,0.0
2014-11-16,242.78,0.0,0.0,0.2023,1.0,248.71,0.0,0.0,247.74,-1.0,-1.0,257.7,0.0,-1.0
2014-11-17,246.72,0.0,-1.0,0.5093,1.0,242.78,0.0,1.0,248.71,0.0,0.0,247.74,-1.0,-1.0
2014-11-18,248.09,0.0,0.0,0.0,0.0,246.72,-1.0,1.0,242.78,0.0,1.0,248.71,0.0,0.0
2014-11-19,248.44,0.0,0.0,0.0,0.0,248.09,0.0,0.0,246.72,-1.0,1.0,242.78,0.0,1.0
2014-11-20,244.52,0.0,-1.0,0.0,0.0,248.44,0.0,0.0,248.09,0.0,0.0,246.72,-1.0,1.0
2014-11-21,231.64,-0.4588,-1.0,0.0,0.0,244.52,-1.0,0.0,248.44,0.0,0.0,248.09,0.0,0.0
2014-11-22,231.43,0.4404,1.0,0.0,0.0,231.64,-1.0,0.0,244.52,-1.0,0.0,248.44,0.0,0.0
2014-11-23,229.3,-0.2732,-1.0,0.0,0.0,231.43,1.0,0.0,231.64,-1.0,0.0,244.52,-1.0,0.0
2014-11-24,228.28,0.0,0.0,0.0,0.0,229.3,-1.0,0.0,231.43,1.0,0.0,231.64,-1.0,0.0
2014-11-25,223.71,0.0,0.0,0.0,0.0,228.28,0.0,0.0,229.3,-1.0,0.0,231.43,1.0,0.0
2014-11-26,214.36,0.0,-1.0,1.3704,1.0,223.71,0.0,0.0,228.28,0.0,0.0,229.3,-1.0,0.0
2014-11-27,216.89,-0.3818,-1.0,0.0,0.0,214.36,-1.0,1.0,223.71,0.0,0.0,228.28,0.0,0.0
2014-11-28,209.84,0.0,0.0,0.0,0.0,216.89,-1.0,0.0,214.36,-1.0,1.0,223.71,0.0,0.0
2014-11-29,208.88,0.0,0.0,0.0,0.0,209.84,0.0,0.0,216.89,-1.0,0.0,214.36,-1.0,1.0
2014-11-30,207.0,0.0,-1.0,0.0,0.0,208.88,0.0,0.0,209.84,0.0,0.0,216.89,-1.0,0.0
2014-12-01,204.04,0.0,0.0,0.0,0.0,207.0,-1.0,0.0,208.88,0.0,0.0,209.84,0.0,0.0
2014-12-02,197.81,0.0,-1.0,0.0,0.0,204.04,0.0,0.0,207.0,-1.0,0.0,208.88,0.0,0.0
2014-12-03,205.82,0.0772,1.0,0.0,0.0,197.81,-1.0,0.0,204.04,0.0,0.0,207.0,-1.0,0.0
