,date,open,high,low,close,volume,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
0,2014-11-12,249.72,252.34,245.58,249.1,5870800,0.2482760682032676,1,-0.007885916776438462,-1,251.080002,-0.5416604226409236,-1,-1,1,-1,0.0,0.0,0.0,0.0
1,2014-11-13,250.62,255.75,250.25,251.7,6236000,-0.43093209701804014,-1,0.010437538889501273,1,249.100006,0.6101922775545857,1,1,-1,1,0.0,-1.0,0.0,0.0
2,2014-11-14,250.0,258.85,248.5,258.68,6101100,-3.471997200000009,-1,0.02773141073974661,1,251.69999700000002,-0.6754060469853818,-1,1,-1,-1,0.0,-1.0,0.0,0.0
3,2014-11-17,257.49,259.0,252.02,253.98,4025700,1.3631574571112368,1,-0.018169155432132825,-1,258.679993,-0.4600290057994732,-1,-1,1,-1,0.0,0.0,0.0,0.0
4,2014-11-18,255.86,259.99,255.51,257.7,4473000,-0.7191475778975052,-1,0.014646885812219734,1,253.979996,0.7402177453377009,1,1,-1,1,0.0,0.0,0.0,-1.0
5,2014-11-19,250.61,251.88,245.6,247.74,7918500,1.1452040974214812,1,-0.03864961791309518,-1,257.700012,-2.751265296797903,-1,-1,1,-1,-0.4404,-1.0,-0.10329999999999996,-1.0
6,2014-11-20,247.95,250.93,246.0,248.71,3587200,-0.3065174467414757,-1,0.003915403166315556,1,247.74000499999997,0.08476305633402106,1,1,-1,1,0.0,0.0,0.0,0.0
7,2014-11-21,252.21,252.78,242.17,242.78,7485100,3.738950770498158,1,-0.02384306152988836,-1,248.710007,1.4072614295732782,1,-1,1,1,0.0,0.0,0.2023,1.0
8,2014-11-24,245.2,247.6,240.64,246.72,4789700,-0.6199037596235955,-1,0.016228692710390513,1,242.77999900000003,0.9967863950769652,1,1,-1,1,0.0,-1.0,0.5093,1.0
9,2014-11-25,247.35,249.72,246.09,248.09,3159800,-0.29916716476650396,-1,0.005552833148699587,1,246.72000099999997,0.255352220106403,1,1,-1,1,0.0,0.0,0.0,0.0
10,2014-11-26,248.34,249.0,246.6,248.44,1981200,-0.04026979206362216,-1,0.001410802554085988,1,248.08999599999999,0.10076988352242952,1,1,-1,1,0.0,0.0,0.0,0.0
11,2014-11-28,245.35,246.69,242.52,244.52,2119700,0.33829304247092923,1,-0.01577844939801598,-1,248.440002,-1.2437594490117518,-1,-1,1,-1,0.0,-1.0,0.0,0.0
12,2014-12-01,241.16,242.47,229.01,231.64,8619400,3.947588672290782,1,-0.05267464742884587,-1,244.520004,-1.3741207038422858,-1,-1,1,-1,-0.4588,-1.0,0.0,0.0
13,2014-12-02,234.57,234.88,228.0,231.43,5887000,1.3386255302451993,1,-0.0009066050807572392,-1,231.63999900000002,1.2648972598208126,1,-1,1,1,0.4404,1.0,0.0,0.0
14,2014-12-03,226.25,229.72,225.5,229.3,5307700,-1.3480676243093814,-1,-0.00920360395983788,-1,231.42999300000002,-2.238254831559375,-1,-1,-1,-1,-0.2732,-1.0,0.0,0.0
15,2014-12-04,228.6,230.9,227.81,228.28,3855600,0.13998556063028952,1,-0.004448338363083004,-1,229.30000299999998,-0.3052756174625815,-1,-1,1,-1,0.0,0.0,0.0,0.0
16,2014-12-05,228.67,229.39,222.26,223.71,6063600,2.169060674063592,1,-0.020019239618097373,-1,228.27999900000003,0.17084238729121445,1,-1,1,1,0.0,0.0,0.0,0.0
17,2014-12-08,221.54,224.86,212.34,214.36,9225600,3.2409462069451385,1,-0.041795206774098426,-1,223.710007,-0.970012038844548,-1,-1,1,-1,0.0,-1.0,1.3704,1.0
18,2014-12-09,209.34,217.73,204.27,216.89,9431500,-3.6065745410638255,-1,0.011802565722137892,1,214.36000099999998,-2.341857145260975,-1,1,-1,-1,-0.3818,-1.0,0.0,0.0
19,2014-12-10,214.13,216.77,207.7,209.84,7314100,2.00346000085322,1,-0.03250497041129141,-1,216.88999900000002,-1.2725317039630002,-1,-1,1,-1,0.0,0.0,0.0,0.0
20,2014-12-11,210.53,215.43,208.23,208.88,6694400,0.7837334383875719,1,-0.004574871417744264,-1,209.83999599999999,0.3288233955170525,1,-1,1,1,0.0,0.0,0.0,0.0
21,2014-12-12,204.82,211.68,204.5,207.0,7173800,-1.0643457306394857,-1,-0.009000406716765497,-1,208.880005,-1.9436987278892528,-1,-1,-1,-1,0.0,-1.0,0.0,0.0
22,2014-12-15,209.29,209.8,202.67,204.04,5218300,2.5084811388951604,1,-0.014299550724637731,-1,207.0,1.106276811594194,1,-1,1,1,0.0,0.0,0.0,0.0
23,2014-12-16,200.89,203.68,195.37,197.81,8426100,1.5331778661614617,1,-0.030533205321174317,-1,204.03999299999998,-1.5438120506110744,-1,-1,1,-1,0.0,-1.0,0.0,0.0
24,2014-12-17,193.06,206.65,192.65,205.82,7367800,-6.609348975544896,-1,0.04049344866784743,1,197.809998,-2.4012941954531546,-1,1,-1,-1,0.0772,1.0,0.0,0.0
25,2014-12-18,212.38,218.44,211.8,218.26,7483300,-2.768617507095384,-1,0.06044110182155426,1,205.820007,3.187249915893734,1,1,-1,1,0.0,0.0,0.0,0.0
26,2014-12-19,220.19,220.4,214.5,219.29,6910500,0.4087419918366607,1,0.0047191332520646325,1,218.25999500000003,0.8842696986224894,1,1,1,1,-0.14359999999999998,-1.0,-0.5223,-1.0
27,2014-12-22,220.0,224.06,218.26,222.6,4799400,-1.1818209090909126,-1,0.015094227304754291,1,219.289993,0.32377537628905395,1,1,-1,1,0.0,0.0,0.0,0.0
28,2014-12-23,223.81,224.32,219.52,220.97,4505700,1.2689321412710255,1,-0.0073225739266153935,-1,222.600006,0.5435723123924802,1,-1,1,1,0.2732,1.0,0.0,0.0
29,2014-12-24,219.77,222.5,219.25,222.26,1332200,-1.1329985688128903,-1,0.005837869367616433,1,220.97000099999997,-0.5430587838029507,-1,1,-1,-1,0.0,0.0,0.0,0.0
