Date,Open,High,Low,Close,Adj Close,Volume
6/29/2010,19.00,25.00,17.54,23.89,23.89,18766300
6/30/2010,25.79,30.42,23.30,23.83,23.83,17187100
7/1/2010,25.00,25.92,20.27,21.96,21.96,8218800
7/2/2010,23.00,23.10,18.71,19.20,19.20,5139800
7/6/2010,20.00,20.00,15.83,16.11,16.11,6866900
7/7/2010,16.40,16.63,14.98,15.80,15.80,6921700
7/8/2010,16.14,17.52,15.57,17.46,17.46,7711400
7/9/2010,17.58,17.90,16.55,17.40,17.40,4050600
7/12/2010,17.95,18.07,17.00,17.05,17.05,2202500
7/13/2010,17.39,18.64,16.90,18.14,18.14,2680100
7/14/2010,17.94,20.15,17.76,19.84,19.84,4195200
7/15/2010,19.94,21.50,19.00,19.89,19.89,3739800
7/16/2010,20.70,21.30,20.05,20.64,20.64,2621300
7/19/2010,21.37,22.25,20.92,21.91,21.91,2486500
7/20/2010,21.85,21.85,20.05,20.30,20.30,1825300
7/21/2010,20.66,20.90,19.50,20.22,20.22,1252500
7/22/2010,20.50,21.25,20.37,21.00,21.00,957800
7/23/2010,21.19,21.56,21.06,21.29,21.29,653600
7/26/2010,21.50,21.50,20.30,20.95,20.95,922200
7/27/2010,20.91,21.18,20.26,20.55,20.55,619700
7/28/2010,20.55,20.90,20.51,20.72,20.72,467200
7/29/2010,20.77,20.88,20.00,20.35,20.35,616000
7/30/2010,20.20,20.44,19.55,19.94,19.94,426900
8/2/2010,20.50,20.97,20.33,20.92,20.92,718100
8/3/2010,21.00,21.95,20.82,21.95,21.95,1230500
8/4/2010,21.95,22.18,20.85,21.26,21.26,913000
8/5/2010,21.54,21.55,20.05,20.45,20.45,796200
8/6/2010,20.10,20.16,19.52,19.59,19.59,741900
8/9/2010,19.90,19.98,19.45,19.60,19.60,812700
8/10/2010,19.65,19.65,18.82,19.03,19.03,1281300
8/11/2010,18.69,18.88,17.85,17.90,17.90,797600
8/12/2010,17.80,17.90,17.39,17.60,17.60,691000
8/13/2010,18.18,18.45,17.66,18.32,18.32,634000
8/16/2010,18.45,18.80,18.26,18.78,18.78,485800
8/17/2010,18.96,19.40,18.78,19.15,19.15,447900
8/18/2010,19.59,19.59,18.60,18.77,18.77,601300
8/19/2010,18.54,19.25,18.33,18.79,18.79,579100
8/20/2010,18.65,19.11,18.51,19.10,19.10,296000
8/23/2010,19.09,20.39,19.00,20.13,20.13,1088100
8/24/2010,19.25,19.71,18.95,19.20,19.20,673100
8/25/2010,19.16,19.98,18.56,19.90,19.90,503300
8/26/2010,19.89,20.27,19.60,19.75,19.75,433800
8/27/2010,19.75,19.87,19.50,19.70,19.70,379600
8/30/2010,19.70,20.19,19.61,19.87,19.87,732800
8/31/2010,19.66,19.79,19.33,19.48,19.48,201100
9/1/2010,19.62,20.69,19.60,20.45,20.45,494900
9/2/2010,20.37,21.24,20.31,21.06,21.06,487100
9/3/2010,20.87,21.30,20.66,21.05,21.05,434600
9/7/2010,20.61,21.00,20.50,20.54,20.54,243400
9/8/2010,20.66,20.95,20.60,20.90,20.90,288400
9/9/2010,21.00,21.05,20.69,20.71,20.71,376200
9/10/2010,20.75,20.93,19.76,20.17,20.17,386600
9/13/2010,20.89,20.90,20.50,20.72,20.72,360800
9/14/2010,20.54,21.60,20.53,21.12,21.12,654700
9/15/2010,20.98,22.00,20.79,21.98,21.98,684600
9/16/2010,22.15,23.16,20.84,20.94,20.94,2684500
9/17/2010,21.02,21.32,19.80,20.23,20.23,1198500
9/20/2010,20.67,21.35,20.16,21.06,21.06,947500
9/21/2010,20.89,21.55,20.67,20.77,20.77,796000
9/22/2010,20.87,20.95,19.80,19.87,19.87,962900
9/23/2010,19.89,20.14,19.50,19.56,19.56,668100
9/24/2010,19.95,20.19,19.65,20.10,20.10,578900
9/27/2010,20.40,20.81,20.05,20.53,20.53,418600
9/28/2010,21.04,21.49,20.76,21.40,21.40,1214500
9/29/2010,21.19,22.03,21.13,21.98,21.98,1969300
9/30/2010,22.00,22.15,20.19,20.41,20.41,2195800
10/1/2010,20.69,20.75,20.31,20.60,20.60,597700
10/4/2010,20.43,21.17,20.30,20.99,20.99,643600
10/5/2010,21.15,21.28,21.01,21.12,21.12,332000
10/6/2010,21.06,21.26,20.32,20.46,20.46,313400
10/7/2010,20.57,20.64,20.34,20.43,20.43,141000
10/8/2010,20.43,20.79,20.39,20.43,20.43,267800
10/11/2010,20.44,20.70,20.07,20.24,20.24,171200
10/12/2010,20.20,20.28,20.03,20.24,20.24,244000
10/13/2010,20.64,20.85,20.36,20.54,20.54,318200
10/14/2010,21.00,21.03,20.40,20.75,20.75,294800
10/15/2010,20.89,20.90,20.25,20.54,20.54,284700
10/18/2010,20.52,20.64,20.22,20.23,20.23,162800
10/19/2010,20.20,20.41,20.00,20.05,20.05,245200
10/20/2010,20.16,20.69,20.04,20.65,20.65,312500
10/21/2010,20.61,20.95,20.45,20.75,20.75,417100
10/22/2010,20.68,20.93,20.55,20.72,20.72,161100
10/25/2010,20.94,20.98,20.73,20.85,20.85,118500
10/26/2010,20.80,21.87,20.51,21.36,21.36,660900
10/27/2010,21.25,21.38,20.65,21.00,21.00,356500
10/28/2010,21.39,21.50,20.96,21.19,21.19,224200
10/29/2010,21.14,21.85,21.05,21.84,21.84,280600
11/1/2010,21.94,22.75,21.31,21.41,21.41,455800
11/2/2010,21.68,21.88,21.05,21.25,21.25,322500
11/3/2010,21.28,22.50,21.16,21.77,21.77,372600
11/4/2010,22.60,25.33,22.15,24.90,24.90,1874000
11/5/2010,24.87,24.97,23.72,24.44,24.44,1011000
11/8/2010,24.50,25.00,24.03,24.98,24.98,509500
11/9/2010,25.00,25.69,24.05,24.63,24.63,956400
11/10/2010,24.48,29.97,24.05,29.36,29.36,3060500
11/11/2010,28.60,29.10,27.33,28.04,28.04,1945300
11/12/2010,28.25,30.50,28.07,29.84,29.84,2729100
11/15/2010,30.22,32.94,30.22,30.80,30.80,2622900
11/16/2010,31.00,31.40,28.42,29.67,29.67,1347600
11/17/2010,30.20,30.75,28.61,29.49,29.49,750000
11/18/2010,30.67,30.74,28.92,29.89,29.89,956100
11/19/2010,30.16,31.37,29.70,30.99,30.99,1150500
11/22/2010,31.57,33.45,31.50,33.40,33.40,1529700
11/23/2010,33.29,35.68,32.19,34.57,34.57,1577800
11/24/2010,35.27,35.97,34.33,35.47,35.47,1425000
11/26/2010,35.60,36.00,34.75,35.32,35.32,350600
11/29/2010,35.41,35.95,33.33,34.33,34.33,1145600
11/30/2010,33.74,35.33,33.41,35.33,35.33,2222600
12/1/2010,35.87,36.42,33.45,34.35,34.35,1299200
12/2/2010,34.01,34.30,31.20,32.35,32.35,2007000
12/3/2010,32.01,32.25,30.87,31.49,31.49,1160100
12/6/2010,31.35,31.45,29.56,30.31,30.31,1274400
12/7/2010,30.49,32.40,30.05,31.56,31.56,1311300
12/8/2010,32.48,32.49,31.52,32.37,32.37,660000
12/9/2010,32.51,32.72,31.65,32.05,32.05,406000
12/10/2010,32.05,32.92,31.13,31.52,31.52,429400
12/13/2010,31.64,31.77,30.40,30.55,30.55,410400
12/14/2010,30.29,30.39,27.76,28.53,28.53,1765700
12/15/2010,28.67,29.97,28.53,29.60,29.60,742900
12/16/2010,30.00,30.91,29.65,30.81,30.81,790100
12/17/2010,31.34,31.54,30.71,31.36,31.36,813000
12/20/2010,31.64,32.19,31.26,31.70,31.70,523400
12/21/2010,31.80,32.69,31.71,32.26,32.26,777700
12/22/2010,32.25,32.86,31.70,32.63,32.63,833300
12/23/2010,31.26,32.48,29.92,30.09,30.09,1552600
12/27/2010,28.02,28.58,25.06,25.55,25.55,9301900
12/28/2010,25.85,26.75,25.00,26.41,26.41,4056300
12/29/2010,27.03,28.01,26.50,27.73,27.73,3319200
12/30/2010,27.70,27.90,26.38,26.50,26.50,2041100
12/31/2010,26.57,27.25,26.50,26.63,26.63,1417900
1/3/2011,26.84,27.00,25.90,26.62,26.62,1283000
1/4/2011,26.66,26.95,26.02,26.67,26.67,1187400
1/5/2011,26.48,26.90,26.19,26.83,26.83,1446700
1/6/2011,26.83,28.00,26.81,27.88,27.88,2061200
1/7/2011,28.00,28.58,27.90,28.24,28.24,2247900
1/10/2011,28.17,28.68,28.05,28.45,28.45,1342700
1/11/2011,28.59,28.71,26.92,26.96,26.96,1710200
1/12/2011,27.01,27.40,26.52,26.96,26.96,964400
1/13/2011,26.96,26.97,26.16,26.22,26.22,723600
1/14/2011,26.15,26.58,25.61,25.75,25.75,1192000
1/18/2011,25.48,25.64,24.75,25.64,25.64,1621700
1/19/2011,25.27,25.47,23.75,24.03,24.03,2371500
1/20/2011,24.03,24.45,22.37,22.62,22.62,2279900
1/21/2011,23.12,23.59,22.71,23.04,23.04,1217000
1/24/2011,23.53,24.81,23.23,24.49,24.49,1645100
1/25/2011,24.65,24.89,24.02,24.68,24.68,1271500
1/26/2011,24.71,24.88,24.10,24.75,24.75,1079900
1/27/2011,24.74,25.08,24.53,24.92,24.92,895700
1/28/2011,24.88,24.88,23.75,24.01,24.01,1048400
1/31/2011,24.05,24.12,23.50,24.10,24.10,830300
2/1/2011,24.31,24.73,23.54,23.91,23.91,707800
2/2/2011,24.16,24.18,23.67,23.94,23.94,569500
2/3/2011,23.82,23.90,23.15,23.63,23.63,512000
2/4/2011,23.44,23.67,23.22,23.46,23.46,544000
2/7/2011,23.26,23.26,22.88,23.07,23.07,895100
2/8/2011,23.78,25.25,23.00,24.49,24.49,3504900
2/9/2011,24.13,24.18,22.79,23.21,23.21,2635600
2/10/2011,23.26,23.64,22.81,23.22,23.22,836100
2/11/2011,23.25,23.75,22.94,23.25,23.25,634500
2/14/2011,23.64,24.14,23.05,23.08,23.08,1283100
2/15/2011,23.01,23.17,22.56,22.84,22.84,953700
2/16/2011,23.10,24.97,23.07,24.73,24.73,4115100
2/17/2011,24.63,25.49,23.55,23.60,23.60,2618400
2/18/2011,23.33,23.49,22.96,23.18,23.18,2370700
2/22/2011,22.88,23.00,21.78,21.87,21.87,2064600
2/23/2011,22.18,22.50,21.11,21.83,21.83,1605600
2/24/2011,21.78,22.58,21.50,22.53,22.53,1055300
2/25/2011,22.81,23.85,22.69,23.61,23.61,1346300
2/28/2011,23.74,24.10,23.50,23.89,23.89,1051200
3/1/2011,24.05,24.32,23.70,23.94,23.94,1106400
3/2/2011,23.82,24.28,23.73,24.02,24.02,663300
3/3/2011,24.48,24.79,24.06,24.36,24.36,640200
3/4/2011,24.48,24.99,23.78,24.95,24.95,1580100
3/7/2011,24.93,25.40,24.70,24.94,24.94,2033600
3/8/2011,24.60,24.96,24.00,24.66,24.66,1399900
3/9/2011,24.66,24.99,24.27,24.72,24.72,924800
3/10/2011,24.44,24.49,23.73,24.01,24.01,1017000
3/11/2011,23.85,24.25,23.53,24.07,24.07,930800
3/14/2011,23.82,24.00,23.20,23.25,23.25,1166000
3/15/2011,22.20,22.96,21.80,22.95,22.95,1318800
3/16/2011,22.86,23.25,22.69,22.82,22.82,1169700
3/17/2011,23.24,23.43,22.64,22.81,22.81,922600
3/18/2011,23.19,23.19,22.51,22.96,22.96,687900
3/21/2011,23.05,23.05,22.54,22.73,22.73,411700
3/22/2011,22.73,22.86,22.00,22.19,22.19,582900
3/23/2011,22.11,22.27,21.77,22.21,22.21,422800
3/24/2011,22.14,22.38,21.98,22.33,22.33,462200
3/25/2011,22.43,23.00,22.40,22.75,22.75,568000
3/28/2011,22.70,23.54,22.55,23.25,23.25,1058100
3/29/2011,23.30,24.00,23.21,23.92,23.92,755400
3/30/2011,24.11,24.49,23.01,23.71,23.71,1223300
3/31/2011,26.55,28.71,26.50,27.75,27.75,11517800
4/1/2011,27.45,28.18,26.57,26.66,26.66,2864800
4/4/2011,26.83,27.00,25.23,25.83,25.83,2609300
4/5/2011,25.90,27.00,25.69,26.70,26.70,3180900
4/6/2011,26.99,27.01,25.80,26.49,26.49,1288300
4/7/2011,26.85,27.94,26.45,27.24,27.24,2810300
4/8/2011,27.58,27.60,26.36,26.49,26.49,1946400
4/11/2011,26.47,26.53,25.02,25.27,25.27,1369400
4/12/2011,25.08,25.21,24.30,24.65,24.65,1357400
4/13/2011,25.13,25.69,24.81,24.93,24.93,1211500
4/14/2011,24.87,25.28,24.20,25.14,25.14,983400
4/15/2011,25.65,26.18,25.41,25.58,25.58,943500
4/18/2011,25.13,25.62,24.36,25.03,25.03,1033900
4/19/2011,25.26,25.26,24.65,25.16,25.16,548700
4/20/2011,25.70,26.09,25.30,25.75,25.75,837200
4/21/2011,25.85,26.98,25.59,26.74,26.74,1386100
4/25/2011,26.70,26.73,25.97,26.39,26.39,800900
4/26/2011,26.66,27.25,26.31,26.93,26.93,1400000
4/27/2011,26.93,27.36,26.63,27.08,27.08,996900
4/28/2011,27.07,27.69,26.72,27.66,27.66,1600000
4/29/2011,27.69,27.87,27.42,27.60,27.60,726000
5/2/2011,27.60,27.80,27.06,27.45,27.45,784600
5/3/2011,27.38,27.39,26.50,26.87,26.87,913900
5/4/2011,26.78,27.00,25.75,26.69,26.69,1044500
5/5/2011,27.20,27.44,26.17,26.44,26.44,1218500
5/6/2011,26.90,27.70,26.62,27.12,27.12,981700
5/9/2011,27.00,28.00,26.85,27.91,27.91,916400
5/10/2011,28.24,28.95,27.91,28.33,28.33,1535300
5/11/2011,28.20,28.30,26.92,27.07,27.07,962500
5/12/2011,27.07,27.74,26.65,27.67,27.67,628000
5/13/2011,28.00,28.19,27.30,27.55,27.55,661500
5/16/2011,27.99,27.99,26.55,26.60,26.60,755700
5/17/2011,27.00,27.00,25.72,25.96,25.96,1234200
5/18/2011,26.10,26.47,25.52,26.35,26.35,729500
5/19/2011,27.03,28.44,26.60,28.20,28.20,2655100
5/20/2011,28.26,28.28,27.35,27.97,27.97,842500
5/23/2011,27.62,27.62,26.62,26.82,26.82,863600
5/24/2011,27.02,27.50,26.60,26.72,26.72,613700
5/25/2011,26.90,29.01,26.17,28.98,28.98,4693100
5/26/2011,28.82,29.76,28.10,29.48,29.48,3336900
5/27/2011,29.54,29.67,28.82,29.55,29.55,1687100
5/31/2011,29.69,30.28,29.55,30.14,30.14,3290500
6/1/2011,30.00,30.10,28.38,28.52,28.52,1529900
6/2/2011,28.52,29.32,28.51,28.76,28.76,986300
6/3/2011,29.95,31.50,29.50,30.13,30.13,6209200
6/6/2011,30.10,30.13,28.26,28.70,28.70,2331100
6/7/2011,28.94,29.39,28.26,28.37,28.37,1222100
6/8/2011,28.44,28.60,27.02,27.12,27.12,1695900
6/9/2011,27.43,28.10,27.10,27.62,27.62,1603200
6/10/2011,27.52,28.30,27.35,27.86,27.86,1566600
6/13/2011,28.07,28.88,27.88,28.43,28.43,1713400
6/14/2011,28.54,29.70,28.52,28.60,28.60,1573400
6/15/2011,28.44,28.45,27.07,27.32,27.32,1345000
6/16/2011,27.67,28.00,25.74,26.50,26.50,1842200
6/17/2011,26.87,27.70,26.14,26.50,26.50,1714000
6/20/2011,26.29,26.46,25.50,26.01,26.01,1537800
6/21/2011,26.24,27.73,26.00,27.53,27.53,1496000
6/22/2011,27.37,28.25,27.10,27.21,27.21,1475600
6/23/2011,27.20,27.72,26.21,27.71,27.71,1170000
6/24/2011,27.64,27.97,27.26,27.57,27.57,3608500
6/27/2011,27.73,28.28,27.31,27.46,27.46,1809400
6/28/2011,27.79,28.25,27.67,28.11,28.11,889200
6/29/2011,28.50,29.09,28.07,28.29,28.29,1461800
6/30/2011,28.50,29.33,28.40,29.13,29.13,946700
7/1/2011,29.07,29.60,28.80,29.02,29.02,854900
7/5/2011,29.02,29.52,28.71,29.14,29.14,996000
7/6/2011,29.14,29.14,28.55,28.96,28.96,926900
7/7/2011,29.14,30.00,29.01,29.73,29.73,1327900
7/8/2011,29.89,29.89,28.59,28.81,28.81,1240600
7/11/2011,28.40,28.53,28.00,28.35,28.35,975800
7/12/2011,28.37,29.09,28.00,28.17,28.17,1045400
7/13/2011,28.43,29.03,27.90,28.64,28.64,1066000
7/14/2011,28.53,28.96,27.25,27.61,27.61,1159000
7/15/2011,27.79,27.83,27.40,27.58,27.58,709000
7/18/2011,27.34,27.45,26.63,27.23,27.23,851900
7/19/2011,27.58,28.11,27.54,27.89,27.89,1026100
7/20/2011,28.00,30.44,27.80,28.69,28.69,3048300
7/21/2011,28.91,29.16,28.10,28.70,28.70,1011500
7/22/2011,28.70,29.54,28.55,29.29,29.29,583500
7/25/2011,29.01,29.25,28.44,28.49,28.49,673300
7/26/2011,28.31,28.77,27.97,28.00,28.00,760600
7/27/2011,28.50,28.50,27.51,27.64,27.64,958500
7/28/2011,27.60,28.55,27.54,28.17,28.17,938700
