date,tavg,dewpoint,preciptotal,wetbulb
2007-05-01,67.0,51,0.0,56.0
2007-05-01,68.0,51,0.0,57.0
2007-05-02,51.0,42,0.0,47.0
2007-05-02,52.0,42,0.0,47.0
2007-05-03,56.0,40,0.0,48.0
2007-05-03,58.0,40,0.0,50.0
2007-05-04,58.0,41,0.0,50.0
2007-05-04,64.5,42,0.0,50.0
2007-05-05,60.0,38,0.0,49.0
2007-05-05,60.0,39,0.0,50.0
2007-05-06,59.0,30,0.0,46.0
2007-05-06,60.0,30,0.0,46.0
2007-05-07,65.0,41,0.0,54.0
2007-05-07,67.0,39,0.0,53.0
2007-05-08,68.0,58,0.0,62.0
2007-05-08,70.0,57,0.0,63.0
2007-05-09,69.0,59,0.13,63.0
2007-05-09,70.0,60,0.02,63.0
2007-05-10,70.0,52,0.0,60.0
2007-05-10,71.0,52,0.0,61.0
2007-05-11,61.0,42,0.0,51.0
2007-05-11,61.0,44,0.0,51.0
2007-05-12,55.0,36,0.0,46.0
2007-05-12,56.0,37,0.0,46.0
2007-05-13,56.0,33,0.0,46.0
2007-05-13,57.0,32,0.0,46.0
2007-05-14,73.0,47,0.0,59.0
2007-05-14,72.0,45,0.0,58.0
2007-05-15,69.0,56,0.38,61.0
2007-05-15,69.0,56,0.6,61.0
2007-05-16,55.0,43,0.14,48.0
2007-05-16,55.0,42,0.07,47.0
2007-05-17,53.0,32,0.0,43.0
2007-05-18,57.0,30,0.0,46.0
2007-05-18,57.0,31,0.0,47.0
2007-05-19,68.0,39,0.0,53.0
2007-05-19,68.0,37,0.0,53.0
2007-05-20,56.0,40,0.07,44.0
2007-05-20,57.0,41,0.11,45.0
2007-05-21,62.0,50,0.0,56.0
2007-05-21,63.0,50,0.0,57.0
2007-05-22,71.0,46,0.0,58.0
2007-05-22,74.0,44,0.0,58.0
2007-05-23,75.0,49,0.0,61.0
2007-05-23,78.0,48,0.0,61.0
2007-05-24,76.0,54,0.02,63.0
2007-05-24,77.0,53,0.0,63.0
2007-05-25,63.0,44,0.0,53.0
2007-05-25,62.0,46,0.09,53.0
2007-05-26,57.0,55,1.01,56.0
2007-05-26,60.0,55,0.28,57.0
2007-05-27,66.0,47,0.04,56.0
2007-05-27,67.0,49,0.08,57.0
2007-05-28,65.0,47,0.0,56.0
2007-05-28,65.0,49,0.0,57.0
2007-05-29,74.0,58,0.0,65.0
2007-05-29,77.0,59,0.0,66.0
2007-05-30,77.0,58,0.0,65.0
2007-05-30,80.0,57,0.0,66.0
2007-05-31,72.0,61,0.01,65.0
2007-05-31,74.0,61,0.53,66.0
2007-06-01,74.0,63,0.19,66.0
2007-06-01,77.0,63,0.21,67.0
2007-06-02,73.0,63,0.04,67.0
2007-06-02,75.0,62,0.0,67.0
2007-06-03,70.0,60,0.01,63.0
2007-06-03,71.0,60,0.32,64.0
2007-06-04,65.0,58,0.39,60.0
2007-06-04,64.0,57,0.31,60.0
2007-06-05,56.0,48,0.42,51.0
2007-06-05,57.0,47,0.27,52.0
2007-06-06,58.0,48,0.01,55.0
2007-06-06,61.0,47,0.0,55.0
2007-06-07,81.0,62,0.0,69.0
2007-06-07,82.0,61,0.0,68.0
2007-06-08,69.0,53,0.0,61.0
2007-06-08,72.0,54,0.0,62.0
2007-06-09,66.0,47,0.0,57.0
2007-06-09,68.0,49,0.0,58.0
2007-06-10,68.0,51,0.0,59.0
2007-06-10,71.0,50,0.0,60.0
2007-06-11,72.0,52,0.0,61.0
2007-06-11,75.0,51,0.0,61.0
2007-06-12,73.0,50,0.0,60.0
2007-06-12,74.0,51,0.0,61.0
2007-06-13,74.0,53,0.0,62.0
2007-06-13,77.0,53,0.0,62.0
2007-06-14,77.0,55,0.0,64.0
2007-06-14,79.0,54,0.0,63.0
2007-06-15,77.0,56,0.0,64.0
2007-06-15,78.0,56,0.0,65.0
2007-06-16,80.0,60,0.0,67.0
2007-06-16,80.0,61,0.0,68.0
2007-06-17,81.0,64,0.0,70.0
2007-06-17,81.0,65,0.16,70.0
2007-06-18,79.0,65,0.28,70.0
2007-06-18,81.0,65,0.02,70.0
2007-06-19,73.0,55,0.58,63.0
2007-06-19,73.0,55,0.93,63.0
2007-06-20,73.0,52,0.0,61.0
2007-06-20,74.0,50,0.0,61.0
2007-06-21,69.0,51,0.01,60.0
2007-06-21,73.0,51,0.0,61.0
2007-06-22,69.0,50,0.0,58.0
2007-06-22,69.0,49,0.0,58.0
2007-06-23,65.0,58,0.05,61.0
2007-06-23,65.0,60,0.34,62.0
2007-06-24,70.0,62,0.0,65.0
2007-06-25,77.0,66,0.0,70.0
2007-06-25,77.0,67,0.0,70.0
2007-06-26,81.0,69,0.16,72.0
2007-06-26,82.0,69,0.0,72.0
2007-06-27,81.0,70,0.15,72.0
2007-06-27,80.0,69,0.35,72.0
2007-06-28,66.0,55,0.0,60.0
2007-06-28,67.0,56,0.0,61.0
2007-06-29,63.0,55,0.0,59.0
2007-06-29,64.0,56,0.0,60.0
2007-06-30,67.0,46,0.0,56.0
2007-06-30,68.0,49,0.0,58.0
2007-07-01,65.0,52,0.0,58.0
2007-07-01,69.0,51,0.0,59.0
2007-07-02,66.0,50,0.0,58.0
2007-07-02,68.0,50,0.0,59.0
