id,saleprice,overall_qual,year_built,year_remod/add,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,garage_area
109,130500,6,1976,2005,725.0,725,1479,2.0,475.0
544,220000,7,1996,1997,913.0,913,2122,3.0,559.0
153,109000,5,1953,2007,1057.0,1057,1057,2.0,246.0
318,174000,5,2006,2007,384.0,744,1444,2.0,400.0
255,138500,6,1900,1993,676.0,831,1445,2.0,484.0
138,190000,6,1966,2002,1517.0,1888,1888,2.0,578.0
2827,140000,6,2005,2006,547.0,1072,1072,3.0,525.0
145,142000,5,1959,1959,1188.0,1188,1188,2.0,531.0
1942,112500,5,1952,1952,924.0,924,924,1.0,420.0
1956,135000,5,1969,1969,1040.0,1040,2080,1.0,504.0
1044,85400,6,1971,1971,483.0,483,987,1.0,264.0
2752,183600,7,2005,2005,1208.0,1208,1208,2.0,632.0
807,131000,5,1880,2007,0.0,1288,2016,1.0,576.0
1177,200000,8,1999,2000,960.0,962,1607,3.0,480.0
1480,193000,7,2007,2007,1351.0,1361,1361,2.0,610.0
324,173500,5,2004,2005,1430.0,1430,1430,2.0,624.0
1311,98000,5,1916,1950,624.0,624,1344,1.0,513.0
770,139000,5,1963,1963,1121.0,1121,1121,2.0,480.0
2063,143500,6,1977,1977,660.0,1285,1285,1.0,528.0
69,215200,7,2009,2009,756.0,764,1547,2.0,614.0
2062,129000,5,1968,1968,894.0,894,894,1.0,450.0
351,278000,8,2000,2000,1501.0,1659,1659,3.0,499.0
2393,344133,8,2005,2006,1209.0,1209,2253,2.0,575.0
12,185000,6,1992,2007,1168.0,1187,1187,3.0,420.0
2339,145000,5,1955,1955,1056.0,1056,1056,2.0,572.0
624,187500,6,1961,1961,1453.0,1453,1453,3.0,530.0
86,138500,5,1965,2009,894.0,894,894,2.0,336.0
1534,198000,5,1937,1995,942.0,1265,1938,2.0,240.0
2243,119600,5,1895,2006,957.0,1034,1991,2.0,0.0
1957,122900,5,1949,2006,672.0,672,924,1.0,576.0
380,278000,8,1981,1981,2524.0,2524,2524,3.0,542.0
2860,230000,8,1929,1950,792.0,792,1517,1.0,400.0
2517,270000,8,1995,1996,1494.0,1494,1494,2.0,481.0
1933,125000,6,1952,1952,948.0,948,948,1.0,410.0
820,297000,8,2007,2008,1705.0,1718,1718,3.0,826.0
675,113500,6,1958,1958,160.0,1142,1142,1.0,384.0
2910,127000,5,1977,1977,757.0,925,1475,2.0,336.0
21,190000,6,1977,1977,1844.0,1844,1844,2.0,546.0
1873,175500,7,1973,1973,1242.0,1242,1242,1.0,528.0
2125,146000,5,1994,1994,990.0,990,990,2.0,384.0
1489,147500,5,1965,1965,1256.0,1256,1256,2.0,276.0
2383,465000,10,2006,2006,2076.0,2076,2076,3.0,850.0
983,165500,5,1978,1978,1097.0,1110,1110,2.0,602.0
1325,131500,5,1954,1954,1050.0,1050,1795,2.0,352.0
1378,129500,5,1965,1965,1040.0,1040,1040,2.0,384.0
1537,257076,8,1935,1950,608.0,983,1873,1.0,786.0
905,117000,5,1941,1960,984.0,984,1604,2.0,660.0
1532,149000,7,1931,2000,776.0,851,1502,1.0,270.0
132,128000,5,1954,1954,1056.0,1063,1063,2.0,280.0
1078,155000,7,2003,2004,764.0,764,1626,2.0,474.0
2511,166000,6,2000,2000,756.0,768,1524,2.0,440.0
